dataset_id,exposure,clone_splitting_score,control,permutation_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_lineage_entropy,clone_label_shuffle,0.9411764705882353,False
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_lineage_entropy,time_label_shuffle,0.9504950495049505,False
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_lineage_entropy,branch_label_shuffle,0.9470198675496688,False
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.9502487562189055,False
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,terminal_lineage_entropy,clone_label_shuffle,0.5686274509803921,False
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,terminal_lineage_entropy,time_label_shuffle,0.5643564356435643,False
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,terminal_lineage_entropy,branch_label_shuffle,0.5629139072847682,False
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.527363184079602,False
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_lineage_entropy,clone_label_shuffle,0.6078431372549019,False
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_lineage_entropy,time_label_shuffle,0.6237623762376238,False
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_lineage_entropy,branch_label_shuffle,0.5894039735099338,False
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.5920398009950248,False
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_lineage_entropy,clone_label_shuffle,0.0784313725490196,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_lineage_entropy,time_label_shuffle,0.10891089108910891,False
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_lineage_entropy,branch_label_shuffle,0.10596026490066225,False
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.10945273631840796,False
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_lineage_entropy,clone_label_shuffle,0.0392156862745098,True
