dataset_id,exposure,clone_splitting_score,score_primary,expected_direction,observed_direction,effect_size,ci_low,ci_high,p_value,whether_supports_original_hypothesis,whether_supports_revised_hypothesis,permutation_q
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,clone_branch_count,False,positive,negative,-0.11991204944854175,-0.3779349633010584,0.12927310105620668,0.4494081934942501,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,clone_branch_count,False,context_dependent,positive,0.1014640418410738,-0.08382751094172267,0.28723725692074675,0.5225814986011459,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,clone_branch_count,False,positive,negative,-0.2398240988970835,-0.425313773953675,-0.12117504367958683,0.12607725356987243,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,clone_branch_count,False,positive,negative,-0.29516812171948736,-0.49560426269516344,-0.12833714683587877,0.0577352659226705,False,False,0.2600284391079367
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,clone_fate_diversification_index,False,positive,positive,0.05247335927807384,-0.1096575473675915,0.1946937689732725,0.7413765399002209,False,False,0.9617857814921785
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,clone_fate_diversification_index,False,positive,positive,0.02173582664656615,-0.16619849137626613,0.20317601106970537,0.8913238977918202,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,clone_fate_diversification_index,False,positive,positive,0.24633936866108305,0.04975614681552426,0.42691687805808437,0.11580531879813881,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,clone_fate_diversification_index,False,positive,positive,0.010319028812006154,-0.3325083450152356,0.3867571009180565,0.948286728776941,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,clone_fate_diversification_index,False,positive,negative,-0.11504619356364308,-0.3779349633010584,0.12927310105620668,0.4681465186207786,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,clone_fate_diversification_index,False,context_dependent,positive,0.09792099681180307,-0.08382751094172267,0.2828614107905902,0.5372777835350971,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,clone_fate_diversification_index,False,positive,negative,-0.23865498550320613,-0.4200367295446156,-0.12042992976178264,0.12799051579972592,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,clone_fate_diversification_index,False,positive,negative,-0.2931043290218769,-0.4902211444155575,-0.12833714683587877,0.05958985062890216,False,False,0.2600284391079367
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,clone_state_transition_entropy,False,positive,positive,0.4013748035481073,0.11180838523102594,0.6430352130337036,0.008425891656591892,False,False,0.13481426650547026
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,clone_state_transition_entropy,False,positive,positive,0.5277352947620233,0.27110762215154655,0.6976205077657018,0.00032868425804513467,False,False,0.015776844386166465
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,clone_state_transition_entropy,False,positive,positive,0.053693722242549924,-0.2882218341352621,0.37968641568109934,0.7355761202513653,False,False,0.9617857814921785
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,clone_state_transition_entropy,False,positive,positive,0.00047432616822040566,-0.3728048075557849,0.3786422014165844,0.9976213394747406,False,False,0.9976213394747407
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,clone_state_transition_entropy,False,positive,positive,0.32965668691318195,0.037052622349726415,0.5961480903450762,0.033011680373483315,False,False,0.2600284391079367
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,clone_state_transition_entropy,False,context_dependent,positive,0.30982985308156896,0.005053730446042386,0.6060392846212505,0.045850498128985666,False,False,0.2600284391079367
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,clone_state_transition_entropy,False,positive,negative,-0.37784822560437514,-0.5947660096214817,-0.09754045085864371,0.01362280312362727,False,False,0.16347363748352722
