tf_name,mean_stimulus_response_norm,max_stimulus_response_norm,mean_fate_displacement,mean_recovery_probability,mean_alignment_with_normal_transition,n_system_stage_tests,matched_global_grn_targets,matched_system_targets
Eya1,0.5978487176554543,2.410886526107788,0.5978486977872395,0.2132440645227132,0.022912808206109775,21,10,27
Lef1,0.5926972542490277,2.093505620956421,0.5926972357999711,0.1916980609507864,0.07457424786740116,21,10,24
Rfx4,0.5322697623854592,1.8787325620651245,0.5322697709004084,0.29303210585972334,0.009175125420803116,21,10,0
Satb2,0.49094643337385996,1.272017240524292,0.4909464340834391,0.22738400598461042,0.0460059152346297,21,10,33
Nrg1,0.4886919075534457,1.713106632232666,0.48869189336186364,0.23605870393158443,-0.04626772443519994,21,10,17
Eya4,0.4779685913097291,1.8521252870559692,0.4779685742798306,0.2488205161478301,0.019920005318930463,21,10,23
Pax3,0.45177765829222544,1.6693612337112427,0.45177769164244336,0.265531817668884,0.04635351868568077,21,10,19
Zbtb16,0.4278111961625871,1.527681589126587,0.42781119474342894,0.28409321322833503,0.05980727249628953,21,10,26
Prox1,0.41991078214985983,1.4548720121383667,0.41991078498817624,0.28612996095000254,0.020917291919301664,21,10,0
Satb1,0.3672958676304136,1.296004295349121,0.3672958775645211,0.4021573081190176,0.03240568860478345,21,10,25
Glis3,0.3610150267680486,1.3376250267028809,0.36101503315426053,0.3323350106452566,0.016158999476049627,21,10,0
Otx2,0.34858025042783647,1.458093523979187,0.34858023481709616,0.37627155261388245,-0.052557805220463445,21,10,0
