dataset_id,condition,lineage,module_name,feature_type,basis_method,reconstruction_error,n_time_points
GSE212050_strict_sample_13285,control,neural,cell_cycle,module_score,spline,1.232595164407831e-32,4
GSE212050_strict_sample_13285,control,neural,endothelial,module_score,dct,5.416677968589101e-35,4
GSE212050_strict_sample_13285,control,neural,endothelial,module_score,wavelet,9.027796614315168e-36,4
GSE212050_strict_sample_13285,control,neural,endothelial,module_score,spline,1.504632769052528e-35,4
GSE212050_strict_sample_13285,control,neural,erythroid,module_score,dct,2.71833068627654e-38,4
GSE212050_strict_sample_13285,control,neural,erythroid,module_score,wavelet,1.5428363354542524e-38,4
GSE212050_strict_sample_13285,control,neural,erythroid,module_score,spline,2.350988701644575e-38,4
GSE212050_strict_sample_13285,control,neural,extraembryonic_mesoderm,module_score,dct,6.788903053965006e-33,4
GSE212050_strict_sample_13285,control,neural,extraembryonic_mesoderm,module_score,wavelet,2.407412430484045e-34,4
GSE212050_strict_sample_13285,control,neural,extraembryonic_mesoderm,module_score,spline,1.5407439555097887e-33,4
GSE212050_strict_sample_13285,control,neural,haematoendothelial,module_score,dct,2.482644068936671e-35,4
GSE212050_strict_sample_13285,control,neural,haematoendothelial,module_score,wavelet,0.0,4
GSE212050_strict_sample_13285,control,neural,haematoendothelial,module_score,spline,6.018531076210112e-36,4
GSE212050_strict_sample_13285,control,neural,intermediate,module_score,dct,1.0977800683007244e-32,4
GSE212050_strict_sample_13285,control,neural,intermediate,module_score,wavelet,2.5037089277034066e-33,4
GSE212050_strict_sample_13285,control,neural,intermediate,module_score,spline,8.474091755303838e-33,4
GSE212050_strict_sample_13285,control,neural,latent_1,latent_dimension,dct,7.32062920045099e-28,4
GSE212050_strict_sample_13285,control,neural,latent_1,latent_dimension,wavelet,2.524354896707238e-29,4
GSE212050_strict_sample_13285,control,neural,latent_1,latent_dimension,spline,6.310887241768094e-29,4
GSE212050_strict_sample_13285,control,neural,latent_2,latent_dimension,dct,4.81482486096809e-31,4
GSE212050_strict_sample_13285,control,neural,latent_2,latent_dimension,wavelet,5.007417855406813e-32,4
GSE212050_strict_sample_13285,control,neural,latent_2,latent_dimension,spline,8.450980595971191e-31,4
GSE212050_strict_sample_13285,control,neural,latent_3,latent_dimension,dct,7.395570986446986e-31,4
GSE212050_strict_sample_13285,control,neural,latent_3,latent_dimension,wavelet,3.697785493223493e-32,4
GSE212050_strict_sample_13285,control,neural,latent_3,latent_dimension,spline,2.465190328815662e-32,4
GSE212050_strict_sample_13285,control,neural,latent_4,latent_dimension,dct,1.486817917066946e-31,4
GSE212050_strict_sample_13285,control,neural,latent_4,latent_dimension,wavelet,5.623715437610729e-32,4
GSE212050_strict_sample_13285,control,neural,latent_4,latent_dimension,spline,2.2186712959340957e-31,4
GSE212050_strict_sample_13285,control,neural,latent_5,latent_dimension,dct,6.717643646022679e-31,4
GSE212050_strict_sample_13285,control,neural,latent_5,latent_dimension,wavelet,8.011868568650901e-32,4
GSE212050_strict_sample_13285,control,neural,latent_5,latent_dimension,spline,2.742524240807424e-31,4
GSE212050_strict_sample_13285,control,neural,mesoderm,module_score,dct,9.62964972193618e-34,4
GSE212050_strict_sample_13285,control,neural,mesoderm,module_score,wavelet,2.046300565911438e-34,4
