perturbation,external_cell_type,stage,stage_num,cell_type,devvcell_system,transfer_confidence,response_norm,source_response_norm,transfer_method,response_latent_01,response_latent_02,response_latent_03,response_latent_04,response_latent_05,response_latent_06
Satb2,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.1959336269629697,1.1959336269629697,rdeg_proxy_quick,-0.001250557762105008,1.1959336269629697,-0.04855811060098744,0.09480615968293762,0.4206654303282767,0.39378956642368
Rfx4,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.1059481250693886,1.1059481250693886,rdeg_proxy_quick,-0.0014361394266597734,1.1059481250693886,-0.08368094157019161,0.08770608479158949,0.3781238506921752,0.3641931160589366
Eya1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.091243892033446,1.091243892033446,rdeg_proxy_quick,-0.000599037531064812,1.091243892033446,-0.013556425831946281,0.08654588505298609,0.22447193024788376,0.3593568580613476
Lef1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0779022314187252,1.0779022314187252,rdeg_proxy_quick,-0.00068673537229185,1.0779022314187252,-0.0,0.08549319559139379,0.24245047199761466,0.3549687534460751
Prox1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0490803089582263,1.0490803089582263,rdeg_proxy_quick,-0.0005482618580572244,1.0490803089582263,-0.0,0.08321907583125532,0.21213488509829154,0.3454891530708119
Eya4,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0214758943301754,1.0214758943301754,rdeg_proxy_quick,-0.0008090262708719624,1.0214758943301754,-0.0,0.08104102039936169,0.29627998293675634,0.3364099939819055
Glis3,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0122001991830425,1.0122001991830425,rdeg_proxy_quick,-0.0006296883278991795,1.0122001991830425,-0.0,0.08030914549920451,0.23127831962194648,0.33335919529496516
Pax3,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0101178142157496,1.0101178142157496,rdeg_proxy_quick,-0.0011300200223922539,1.0101178142157496,-0.0,0.08014484026214665,0.3066900813556592,0.33267429381608404
Nrg1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.009961335888401,1.009961335888401,rdeg_proxy_quick,-0.0008171163685619549,1.009961335888401,-0.0,0.08013249374165535,0.2528872282657293,0.3326228277137556
Zbtb16,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9904429979077082,0.9904429979077082,rdeg_proxy_quick,-0.000836041668662781,0.9904429979077082,-0.0,0.07859244941783244,0.28218439712602417,0.32620319889475946
Satb1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9826155815816933,0.9826155815816933,rdeg_proxy_quick,-0.0008063235576264328,0.9826155815816933,-0.079711634029075,0.07797484723802586,0.28251261215208123,0.3236287426334492
Otx2,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9821810372552243,0.9821810372552243,rdeg_proxy_quick,-0.0007419478485826259,0.9821810372552243,-0.0,0.0779405606341106,0.2644081536878877,0.3234858199479167
Prdm16,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9778990006892145,0.9778990006892145,rdeg_proxy_quick,-0.0006074341235216415,0.9778990006892145,-0.0,0.07760269753765185,0.22859620690280696,0.3220774477099555
Dach2,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9740306179941244,0.9740306179941244,rdeg_proxy_quick,-0.0008996288082562304,0.9740306179941244,-0.18266535659595373,0.07729747273737216,0.27783008833503436,0.32080512723590326
Hoxd4,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9504168996313701,0.9504168996313701,rdeg_proxy_quick,-0.0007983574073295975,0.9504168996313701,-0.0,0.07543429294384237,0.2587248771631885,0.3130385178516849
Rorb,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9080251225433765,0.9080251225433765,rdeg_proxy_quick,-0.0006153019960038209,0.9080251225433765,-0.0,0.07208947865966975,0.1975614372883124,0.2990957592955139
Satb2,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,1.0264902336563881,1.0264902336563881,rdeg_proxy_quick,-0.001250557762105008,1.0264902336563881,-0.04855811060098744,0.08714404480016075,0.4206654303282767,0.3437666032142578
Rfx4,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.9365047317628071,0.9365047317628071,rdeg_proxy_quick,-0.0014361394266597734,0.9365047317628071,-0.08368094157019161,0.08061778905385303,0.3781238506921752,0.31474397199455484
Eya1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.9218004987268646,0.9218004987268646,rdeg_proxy_quick,-0.000599037531064812,0.9218004987268646,-0.013556425831946281,0.07955135520254933,0.22447193024788376,0.3100014798842655
Lef1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.9084588381121439,0.9084588381121439,rdeg_proxy_quick,-0.00068673537229185,0.9084588381121439,-0.0,0.07858374278254994,0.24245047199761466,0.3056984523105859
Prox1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.879636915651645,0.879636915651645,rdeg_proxy_quick,-0.0005482618580572244,0.879636915651645,-0.0,0.07649341452833942,0.21213488509829154,0.29640264344125067
Eya4,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.852032501023594,0.852032501023594,rdeg_proxy_quick,-0.0008090262708719624,0.852032501023594,-0.0,0.07449138680388628,0.29627998293675634,0.28749951205978475
Glis3,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8427568058764611,0.8427568058764611,rdeg_proxy_quick,-0.0006296883278991795,0.8427568058764611,-0.0,0.07381866111495736,0.23127831962194648,0.2845078625840726
Pax3,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8406744209091684,0.8406744209091684,rdeg_proxy_quick,-0.0011300200223922539,0.8406744209091684,-0.0,0.07366763482102291,0.3066900813556592,0.28383624004831504
Nrg1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8405179425818198,0.8405179425818198,rdeg_proxy_quick,-0.0008171163685619549,0.8405179425818198,-0.0,0.0736562861308279,0.2528872282657293,0.28378577177628284
