stage,stage_num,donor_id,niche_cells,target_cells,tbx4_high_niche_cells,glis3_high_target_cells,mean_tbx4_niche,mean_glis3_target,n_cells,niche_fraction,target_fraction,tbx4_high_niche_fraction,glis3_high_target_fraction,tbx4_glis3_niche_cooccurrence
Theiler stage 20,20,embryo_41,102,7,102,4,0.3235294117647059,9.714285714285714,2420,0.04214876033057851,0.002892561983471074,1.0,0.5714285714285714,0.5714285714285714
Theiler stage 20,20,embryo_42,112,13,112,3,0.08035714285714286,9.153846153846153,1758,0.06370875995449374,0.00739476678043231,1.0,0.23076923076923078,0.23076923076923078
Theiler stage 20,20,embryo_43,85,3,85,1,0.15294117647058825,8.0,1963,0.043301069791136015,0.0015282730514518594,1.0,0.3333333333333333,0.3333333333333333
Theiler stage 21,21,embryo_44,37,2,37,0,0.08108108108108109,3.5,1148,0.032229965156794424,0.0017421602787456446,1.0,0.0,0.0
Theiler stage 21,21,embryo_45,62,2,62,0,0.08064516129032258,3.5,1333,0.046511627906976744,0.0015003750937734434,1.0,0.0,0.0
Theiler stage 21,21,embryo_46,65,1,65,0,0.26153846153846155,10.0,1619,0.04014823965410747,0.0006176652254478073,1.0,0.0,0.0
Theiler stage 21,21,embryo_47,34,4,34,1,0.14705882352941177,10.75,963,0.035306334371754934,0.004153686396677051,1.0,0.25,0.25
Theiler stage 21,21,embryo_48,9,0,9,0,0.1111111111111111,,398,0.022613065326633167,0.0,1.0,,0.0
Theiler stage 21,21,embryo_49,43,5,43,0,0.13953488372093023,6.4,847,0.05076741440377804,0.0059031877213695395,1.0,0.0,0.0
Theiler stage 21,21,embryo_50,9,1,9,0,0.0,2.0,314,0.028662420382165606,0.0031847133757961785,1.0,0.0,0.0
Theiler stage 21,21,embryo_51,9,0,9,0,0.0,,417,0.02158273381294964,0.0,1.0,,0.0
Theiler stage 21,21,embryo_52,38,2,38,0,0.05263157894736842,5.5,866,0.04387990762124711,0.0023094688221709007,1.0,0.0,0.0
Theiler stage 22,22,embryo_53,81,7,81,2,0.18518518518518517,5.0,2662,0.0304282494365139,0.002629601803155522,1.0,0.2857142857142857,0.2857142857142857
Theiler stage 22,22,embryo_54,76,7,76,0,0.2236842105263158,3.0,2549,0.02981561396626128,0.002746174970576697,1.0,0.0,0.0
Theiler stage 22,22,embryo_55,63,4,63,0,0.2857142857142857,2.0,2534,0.024861878453038673,0.0015785319652722968,1.0,0.0,0.0
Theiler stage 22,22,embryo_56,46,13,46,1,0.15217391304347827,2.3076923076923075,1646,0.027946537059538274,0.007897934386391251,1.0,0.07692307692307693,0.07692307692307693
