tf,system_or_cell_type,system_process,ot_grn_evidence_score,n_system_specific_edges,sum_abs_system_weight,mean_abs_system_weight,max_abs_system_weight,n_positive_edges,n_negative_edges,top_system_targets,biological_process_proxy,grn_n_direct_targets,grn_mean_abs_weight,top_grn_targets,global_effect_score,developmental_delay_score,mean_temporal_sensitivity,peak_sensitivity_stage,peak_sensitivity,mutual_information,p_value,significant,mean_out_degree,mass_shift_mean
Ebf1,erythroid progenitor cell,definitive erythroid differentiation,0.3566348889262427,7,0.5296211615204809,0.07566016593149727,0.08023601770401,7,0,Gpr39(+0.080); Itgb6(+0.080); Etv1(+0.078); Cyp7b1(+0.078); Cadps2(+0.077); Eya4(+0.076); Dkk2(+0.061),definitive erythroid differentiation; neural adhesion and axon guidance,10,0.0721684,"Lhx6(activator,0.082); Gp5(activator,0.080); Abcb1a(activator,0.079); Grem2(activator,0.072); Adgrf5(activator,0.072); 4930578C19Rik(activator,0.070); Nxph2(activator,0.070); Arhgap36(activator,0.068)",0.0096595603972673,0.0012478495482355,,,,0.0404811780569391,0.104,False,10.25,32549.20524597168
Ebf1,primitive erythroid progenitor,primitive erythroid differentiation,0.3506069004672643,6,0.5090340003371236,0.08483900005618727,0.0883390828967094,6,0,Kcnip1(+0.088); Cpm(+0.087); Otx2(+0.085); Tfap2d(+0.084); Cyyr1(+0.084); Bcl6(+0.082),primitive erythroid differentiation; neural regionalization,10,0.0721684,"Lhx6(activator,0.082); Gp5(activator,0.080); Abcb1a(activator,0.079); Grem2(activator,0.072); Adgrf5(activator,0.072); 4930578C19Rik(activator,0.070); Nxph2(activator,0.070); Arhgap36(activator,0.068)",0.0096595603972673,0.0012478495482355,,,,0.0404811780569391,0.104,False,10.25,32549.20524597168
Ebf2,neural cell,neural patterning / neuronal differentiation,0.3503913359849384,8,0.5867618694901463,0.07334523368626829,0.1139584556221962,5,3,Mecom(+0.114); Otx2(+0.093); Col23a1(-0.072); Klf9(-0.072); Isl1(+0.063); Bmp8a(-0.059); Nkx2-1(+0.057); Dbx1(+0.056),neural patterning / neuronal differentiation; neural regionalization; myogenic / mesoderm morphogenesis,10,0.0848092,"Mecom(activator,0.105); Gm44536(activator,0.100); Otx2(activator,0.093); Six3os1(activator,0.086); Coq8a(repressor,0.080); Dlk1(activator,0.080); Cntn6(activator,0.078); Sv2c(repressor,0.077)",0.0061583998613059,0.0009722698596306,,,,0.0305167033138769,0.364,False,12.375,5131.910202026367
Bcl11b,erythroid progenitor cell,definitive erythroid differentiation,0.3488750136809395,3,0.2566197514533996,0.0855399171511332,0.0873185023665428,3,0,Pou6f2(+0.087); Sparcl1(+0.085); Mrc1(+0.084),definitive erythroid differentiation,10,0.1673023,"Cntnap2(activator,0.389); Cdh10(activator,0.303); Egfem1(activator,0.165); Cdh8(activator,0.139); Edil3(activator,0.137); Kcnq3(activator,0.132); Gm44593(activator,0.131); C130073E24Rik(activator,0.093)",0.0076353135518729,0.0013845451176166,,,,0.0565912927210264,0.004,True,8.875,5661.721481323242
Ebf1,myotube,muscle fiber maturation,0.34746742104213735,7,0.4983118548989295,0.0711874078427042,0.0949224680662155,7,0,Kcnq5(+0.095); Angpt1(+0.073); Frem1(+0.068); Lef1(+0.066); Prdm16(+0.066); Pdgfd(+0.065); A830018L16Rik(+0.064),muscle fiber maturation; Wnt/FGF signaling; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis,10,0.0721684,"Lhx6(activator,0.082); Gp5(activator,0.080); Abcb1a(activator,0.079); Grem2(activator,0.072); Adgrf5(activator,0.072); 4930578C19Rik(activator,0.070); Nxph2(activator,0.070); Arhgap36(activator,0.068)",0.0096595603972673,0.0012478495482355,,,,0.0404811780569391,0.104,False,10.25,32549.20524597168
Nrg1,muscle precursor cell,mesoderm-to-muscle precursor specification,0.34179503897048924,2,0.2504203245043753,0.12521016225218765,0.1259662210941314,2,0,Svep1(+0.126); Eya4(+0.124),mesoderm-to-muscle precursor specification; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis,10,0.145708,"Epha3(activator,0.306); Nkain2(activator,0.138); March1(activator,0.131); Csmd1(activator,0.130); Rgs20(activator,0.128); Nrxn3(activator,0.127); Pcdh15(activator,0.125); Dgkb(activator,0.124)",0.0195853877812623,0.002594020217657,,,,0.0358542270159847,0.144,False,8.375,6159.672926902771
Zbtb16,cardiac muscle cell,cardiac muscle differentiation,0.33857393395260116,5,0.4260449856519696,0.08520899713039391,0.0925284475088119,5,0,Hamp(+0.093); Sftpd(+0.088); Gm10444(+0.083); Foxn4(+0.081); RP24-240O5.1(+0.081),cardiac muscle differentiation,10,0.1201146,"Scube2(activator,0.148); Klk9(activator,0.130); Slit3(activator,0.124); Pappa(activator,0.121); Hoxd4(activator,0.118); Spon1(activator,0.117); Rnf220(activator,0.117); Trabd2b(activator,0.112)",0.0160443168133497,0.0026541005354374,,,,0.0282783685474151,0.396,False,9.125,25665.518112182617
Bcl11b,muscle precursor cell,mesoderm-to-muscle precursor specification,0.3382339046501933,3,0.22027757391333558,0.07342585797111185,0.1118123456835746,3,0,Tbx15(+0.112); Pdgfd(+0.068); Adam12(+0.041),mesoderm-to-muscle precursor specification; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis,10,0.1673023,"Cntnap2(activator,0.389); Cdh10(activator,0.303); Egfem1(activator,0.165); Cdh8(activator,0.139); Edil3(activator,0.137); Kcnq3(activator,0.132); Gm44593(activator,0.131); C130073E24Rik(activator,0.093)",0.0076353135518729,0.0013845451176166,,,,0.0565912927210264,0.004,True,8.875,5661.721481323242
Zbtb16,myotube,muscle fiber maturation,0.33330143308329846,5,0.40803801268339135,0.08160760253667827,0.0916193798184394,5,0,Rorc(+0.092); Gm42614(+0.090); Scgb3a1(+0.083); Bmp8a(+0.073); Slco1a1(+0.070),muscle fiber maturation,10,0.1201146,"Scube2(activator,0.148); Klk9(activator,0.130); Slit3(activator,0.124); Pappa(activator,0.121); Hoxd4(activator,0.118); Spon1(activator,0.117); Rnf220(activator,0.117); Trabd2b(activator,0.112)",0.0160443168133497,0.0026541005354374,,,,0.0282783685474151,0.396,False,9.125,25665.518112182617
Foxo3,neural cell,neural patterning / neuronal differentiation,0.33304427226542005,8,0.5198720544576643,0.06498400680720803,0.0791490152478218,7,1,Nr1h4(+0.079); 4930417O13Rik(+0.078); Ano3(-0.076); St6galnac5(+0.071); Klf9(+0.069); Bmp8a(+0.066); Kcnip1(+0.048); Pde10a(+0.032),neural patterning / neuronal differentiation,10,0.0896083,"Thsd7a(repressor,0.100); Opcml(activator,0.095); Cpne4(activator,0.092); Cdh20(activator,0.091); Hck(activator,0.091); Coq8a(activator,0.087); Rnf213(activator,0.086); Ehhadh(activator,0.085)",0.0076123396866023,0.0014094278449192,,,,0.0478752014594719,0.028,True,7.375,11142.438095092772
