tf_name,devvcell_priority_score,response_amplitude_proxy,fate_displacement_proxy,feedback_cost,recovery_probability_proxy,global_effect_score,developmental_delay_score,mass_shift_mean,window_sensitivity,peak_stage,peak_sensitivity,best_rescuer_tf,best_rescue_fraction,n_affected_genes
Klf9,0.21060678728130014,0.031398229017680954,0.23296950324662186,1.0,0.0820849986238988,0.0010297485860064,0.0001769567315932,1369.8801879882812,,,,not_observed,0.0,21
Nr4a3,0.20915946339098068,0.02532298668503187,0.23304985239416226,1.0,0.0820849986238988,0.0008600839064456,0.0002069140027742,1265.8060455322266,,,,not_observed,0.0,3
Prdm6,0.20742154284433412,0.02922644467970115,0.2238833481514569,1.0,0.0820849986238988,0.0009690966689959,0.00014948718308,1181.754623413086,,,,not_observed,0.0,16
Maf,0.1985086331213417,0.02053262935230071,0.19890759402484348,1.0,0.0820849986238988,0.0007263025036081,0.000109950757178,714.3021240234375,,,,not_observed,0.0,11
Pou4f1,0.1958333596459271,0.02137303505775556,0.18370576723603796,1.0,0.0820849986238988,0.0007497727056033,0.0001131568715209,488.2882843017578,,,,not_observed,0.0,6
Bcl6,0.18803056049572614,0.006840103440568312,0.17172408427675523,1.0,0.0820849986238988,0.0003439082065597,9.869944187812509e-05,378.7510070800781,,,,not_observed,0.0,1
Runx1,0.1871362586264681,0.00530886492411974,0.17201697939683172,1.0,0.0820849986238988,0.0003011449589394,7.985824049683288e-05,401.4441833496094,,,,not_observed,0.0,1
Tal1,0.18081785859355695,0.002041353305796842,0.14934597664201743,1.0,0.0820849986238988,0.0002098924160236,5.091186540084891e-05,249.21421813964844,,,,not_observed,0.0,0
Stat4,0.17680000636784374,0.00851333439055732,0.1142866151232119,1.0,0.0820849986238988,0.0003906369092874,8.384640386793762e-05,96.27310180664062,,,,not_observed,0.0,2
Lhx9,0.17437934392209192,0.005975417124850992,0.1046531837246718,1.0,0.0820849986238988,0.0003197599144186,0.0001016639726003,72.27606201171875,,,,not_observed,0.0,1
Nkx2-1,0.16505205730999228,0.0013627926295062419,0.0728753994483256,1.0,0.0820849986238988,0.000190942097106,4.032920332974754e-05,38.81208801269531,,,,not_observed,0.0,0
Dlx1,0.15024044627879668,0.0,0.0006011156969917411,1.0,0.0820849986238988,0.0001528830762254,4.57618989457842e-05,5.72076416015625,,,,not_observed,0.0,0
