tf_name,mean_stimulus_response_norm,max_stimulus_response_norm,mean_fate_displacement,mean_recovery_probability,mean_alignment_with_normal_transition,n_system_stage_tests,matched_global_grn_targets,matched_system_targets
Eya1,0.5958168513718105,2.484384298324585,0.5958168364706493,0.209611873655306,0.04002821525292737,21,10,27
Lef1,0.5798512356621879,2.175321340560913,0.5798512455962953,0.20240164766848365,0.076687016477254,21,10,24
Rfx4,0.5144440971669697,1.9090559482574463,0.5144441092298144,0.3044823326177447,0.01819926571278345,21,10,0
Nrg1,0.49680569767951965,1.8145509958267212,0.49680571329025996,0.23567682673055587,-0.0471715815143571,21,10,17
Satb2,0.4787890783378056,1.3015632629394531,0.47878908685275484,0.2362938396414675,0.06786691288774212,21,10,33
Eya4,0.4559225816102255,1.6392019987106323,0.4559225574845359,0.2542995587812241,0.014766629896171037,21,10,23
Pax3,0.43719370166460675,1.6158320903778076,0.4371936995358694,0.2764574545678843,0.030485182424031552,21,10,19
Zbtb16,0.4325255446490787,1.6271858215332031,0.4325255772897175,0.2786597004830537,0.04655270246855382,21,10,26
Prox1,0.4122302007107508,1.434717059135437,0.4122301808425358,0.2856993255687832,0.012635155580937862,21,10,0
Glis3,0.36524381807872225,1.299821376800537,0.36524383368946256,0.33187819551953796,0.02540467574449611,21,10,0
Satb1,0.3597352689220792,1.3242045640945435,0.35973524834428516,0.4099849469965419,0.015575568879111892,21,10,25
Otx2,0.3454945200965518,1.3623239994049072,0.34549454918929506,0.3768197191412173,-0.030847950217624504,21,10,0
