model,n_strata,mean_pair_latent_mse,ci95_low_pair_latent_mse,ci95_high_pair_latent_mse,mean_centroid_latent_mse,ci95_low_centroid_latent_mse,ci95_high_centroid_latent_mse,mean_rbf_mmd,ci95_low_rbf_mmd,ci95_high_rbf_mmd
context_residual_mlp,6,0.31390176713466644,0.15473505854606626,0.48789317657550174,0.017845217720605364,0.009488616643163,0.026183980827530165,0.02956926822662348,0.01335936784744255,0.05484777688980098
ridge,6,0.3254404825468858,0.16419974962870276,0.4966559017387513,0.020748994313180415,0.011443198968966768,0.02922646920972808,0.04451610644658404,0.0272859930992126,0.07327618449926367
mlp,6,0.3301703842977683,0.16415679082274434,0.5281897746026516,0.017716054183741368,0.009321144161125,0.025864241233405885,0.026277581850687612,0.013871649901072133,0.046883145968119246
identity,6,0.38130854070186615,0.22094353536764777,0.552999841670195,0.022964146764328033,0.012898199881116517,0.03212813815722857,0.03776681423187251,0.02059870958328242,0.057012871404488796
mean_shift,6,0.3855854372183482,0.2235221167405446,0.5486687223116556,0.027241044289742864,0.014759198688746688,0.039870915003120865,0.04443850119908647,0.02187242110570267,0.06700458129247026
