run_name,seed,pairing_method,latent_dim,max_pairs_per_transition,model,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
transition_seed7_nearest,7,nearest,48,350,ridge,mesoderm_muscle,17,18,350,0.2189891934394836,0.0038590291514992,0.0110799074172973
transition_seed7_nearest,7,nearest,48,350,ridge,neural,14,15,350,0.0907300487160682,0.0017012380994856,0.0142507553100585
transition_seed7_nearest,7,nearest,48,350,ridge,neural,17,18,350,0.2697791755199432,0.0022259124089032,0.0087616443634033
transition_seed7_nearest,7,nearest,48,350,context_residual_mlp,erythroid,14,15,350,0.0902347341179847,0.0017169195925816,0.0041182041168212
transition_seed7_nearest,7,nearest,48,350,context_residual_mlp,erythroid,17,18,350,0.045026633888483,0.0018748342990875,0.0059170722961425
transition_seed7_nearest,7,nearest,48,350,context_residual_mlp,mesoderm_muscle,14,15,350,0.1108329072594642,0.0014531398192048,0.0038752555847167
transition_seed7_nearest,7,nearest,48,350,context_residual_mlp,mesoderm_muscle,17,18,350,0.2260223478078842,0.0024137848522514,0.0027301311492919
transition_seed7_nearest,7,nearest,48,350,context_residual_mlp,neural,14,15,350,0.1004742085933685,0.0010023912182077,0.0049808025360107
transition_seed7_nearest,7,nearest,48,350,context_residual_mlp,neural,17,18,350,0.2994195520877838,0.0013642855919897,0.0043164491653442
transition_seed42_sinkhorn,42,sinkhorn,48,350,identity,erythroid,14,15,350,0.4289548695087433,0.0442266017198562,0.0478272438049316
transition_seed42_sinkhorn,42,sinkhorn,48,350,identity,erythroid,17,18,350,0.1240552440285682,0.0380812659859657,0.0707920789718627
transition_seed42_sinkhorn,42,sinkhorn,48,350,identity,mesoderm_muscle,14,15,350,0.2445408701896667,0.0109538370743393,0.0232970714569091
transition_seed42_sinkhorn,42,sinkhorn,48,350,identity,mesoderm_muscle,17,18,350,0.5599127411842346,0.0235676392912864,0.0164427757263183
transition_seed42_sinkhorn,42,sinkhorn,48,350,identity,neural,14,15,350,0.1855517029762268,0.00546391075477,0.0306848287582397
transition_seed42_sinkhorn,42,sinkhorn,48,350,identity,neural,17,18,350,0.6045773029327393,0.0296523962169885,0.0137064456939697
transition_seed42_sinkhorn,42,sinkhorn,48,350,mean_shift,erythroid,14,15,350,0.456642746925354,0.0719144940376281,0.0759503841400146
