variant,mean_response,max_response,mean_recovery_probability,n_tfs
no_system_edges,0.5199973921454142,2.48201060295105,0.24459065044207595,12
no_global_grn,0.5029253363609314,2.6596736907958984,0.25344043061637567,8
full_grn,0.46306778732982895,2.410886526107788,0.27972969338521886,12
