variant,global_grn_weight,system_edge_weight,tf_name,mean_stimulus_response_norm,max_stimulus_response_norm,mean_fate_displacement,mean_recovery_probability,n_system_stage_tests
full_grn,0.55,0.45,Eya1,0.5978487176554543,2.410886526107788,0.5978486977872395,0.2132440645227132,21
full_grn,0.55,0.45,Lef1,0.5926972542490277,2.093505620956421,0.5926972357999711,0.1916980609507864,21
full_grn,0.55,0.45,Rfx4,0.5322697623854592,1.8787325620651243,0.5322697709004084,0.2930321058597233,21
full_grn,0.55,0.45,Satb2,0.4909464333738599,1.272017240524292,0.4909464340834391,0.2273840059846104,21
full_grn,0.55,0.45,Nrg1,0.4886919075534457,1.713106632232666,0.4886918933618636,0.2360587039315844,21
full_grn,0.55,0.45,Eya4,0.4779685913097291,1.8521252870559688,0.4779685742798306,0.2488205161478301,21
full_grn,0.55,0.45,Pax3,0.4517776582922254,1.669361233711243,0.4517776916424433,0.265531817668884,21
full_grn,0.55,0.45,Zbtb16,0.4278111961625871,1.527681589126587,0.4278111947434289,0.284093213228335,21
full_grn,0.55,0.45,Prox1,0.4199107821498598,1.4548720121383667,0.4199107849881762,0.2861299609500025,21
full_grn,0.55,0.45,Satb1,0.3672958676304136,1.296004295349121,0.3672958775645211,0.4021573081190176,21
full_grn,0.55,0.45,Glis3,0.3610150267680486,1.3376250267028809,0.3610150331542605,0.3323350106452566,21
full_grn,0.55,0.45,Otx2,0.3485802504278364,1.458093523979187,0.3485802348170961,0.3762715526138824,21
no_system_edges,1.0,0.0,Lef1,0.6786657543409438,2.358449935913086,0.6786657330535707,0.1551222841966956,21
no_system_edges,1.0,0.0,Eya1,0.6361008002644494,2.48201060295105,0.6361007803962344,0.1939286120911117,21
no_system_edges,1.0,0.0,Rfx4,0.6168653042543502,2.177325963973999,0.6168652716137114,0.248663903092238,21
no_system_edges,1.0,0.0,Nrg1,0.5622459593273345,1.959086775779724,0.562245942297436,0.1951826955560663,21
no_system_edges,1.0,0.0,Satb2,0.5251176399844033,1.3693982362747192,0.5251176740442004,0.2075152632135134,21
no_system_edges,1.0,0.0,Eya4,0.525018667890912,2.034320116043091,0.5250186437652224,0.220907405782897,21
no_system_edges,1.0,0.0,Pax3,0.5208923887638819,1.91825807094574,0.5208923610902968,0.2228964359678756,21
no_system_edges,1.0,0.0,Prox1,0.4815039443118231,1.6682748794555664,0.4815039393447694,0.2447884049241445,21
no_system_edges,1.0,0.0,Zbtb16,0.4684152063869294,1.6706422567367554,0.4684152149018787,0.2564457473442862,21
no_system_edges,1.0,0.0,Glis3,0.4175803441376913,1.5472095012664795,0.4175803562005361,0.2865662685414304,21
no_system_edges,1.0,0.0,Otx2,0.4115430698508308,1.721463918685913,0.4115430663029353,0.3255318311529578,21
no_system_edges,1.0,0.0,Satb1,0.3960196262314206,1.376732587814331,0.3960196276505788,0.3775389534416949,21
no_global_grn,0.0,1.0,Eya1,0.6680768870172047,2.6596736907958984,0.6680769125620524,0.1831274854450897,21
no_global_grn,0.0,1.0,Lef1,0.5772022392068591,2.462635040283203,0.5772022541080203,0.2178547701779883,21
no_global_grn,0.0,1.0,Satb2,0.5341507849239168,1.4078576564788818,0.5341508055017108,0.2047860503211434,21
no_global_grn,0.0,1.0,Nrg1,0.4904465746311914,1.9840216636657717,0.490446558310872,0.2454596276468204,21
no_global_grn,0.0,1.0,Eya4,0.4861578004700796,1.6659501791000366,0.4861577571857543,0.2384534257668598,21
no_global_grn,0.0,1.0,Zbtb16,0.4499527244340806,1.7227652072906494,0.449952713790394,0.2652343027719595,21
no_global_grn,0.0,1.0,Pax3,0.4208355971745082,1.5378111600875854,0.4208356049798784,0.2917056713131902,21
no_global_grn,0.0,1.0,Satb1,0.3965800830296108,1.5362958908081057,0.3965801135415122,0.3809021114879539,21
