pairing_method,model,mean_pair_latent_mse,sd_pair_latent_mse,mean_centroid_latent_mse,mean_rbf_mmd,n_evaluations
nearest,ridge,0.14130960570441348,0.09138532703121391,0.0023511908431019554,0.01702721913655594,18
nearest,context_residual_mlp,0.14850749592814178,0.10091133751943944,0.0016630183478506444,0.004663646221160833,18
nearest,identity,0.2217784900632169,0.13489077683107062,0.004770970366532973,0.012276397811041888,18
nearest,mean_shift,0.22319509834051132,0.1337674785405384,0.006187571251454395,0.01528292894363397,18
sinkhorn,context_residual_mlp,0.2973575596180227,0.20517519289285893,0.019488231266020846,0.026756127675374317,18
sinkhorn,ridge,0.3094380663500892,0.2040766709291729,0.022979398361510646,0.04403722948498192,18
sinkhorn,identity,0.3464738590021928,0.1939633660104855,0.02611327173912686,0.03379552894168424,18
sinkhorn,mean_shift,0.35283952537510127,0.1935698117497655,0.03247893707723248,0.04148950841691756,18
