seed,variant,branch_event_step,event_definition,local_velocity_alignment_A_pre_mean,local_velocity_alignment_A_post_mean,local_velocity_alignment_A_effect,branch_cohesion_C_pre_mean,branch_cohesion_C_post_mean,branch_cohesion_C_effect,lineage_separation_S_pre_mean,lineage_separation_S_post_mean,lineage_separation_S_effect,fate_entropy_H_pre_mean,fate_entropy_H_post_mean,fate_entropy_H_effect,branch_imbalance_B_pre_mean,branch_imbalance_B_post_mean,branch_imbalance_B_effect,local_density_mean_pre_mean,local_density_mean_post_mean,local_density_mean_effect,n_agents_pre_mean,n_agents_post_mean,n_agents_effect
7,M5_ot_swarm,2,max_ranked_separation_entropy_imbalance_change,0.7736092507839203,0.7918797731399536,0.018270522356033325,0.8576999250416177,0.8599656784791423,0.0022657534375245536,9.693817189701287,8.508738090667684,-1.1850790990336026,0.4825828295851092,0.4825828295851092,0.0,0.11,0.11,0.0,0.4984907697679701,0.5073939046497826,0.008903134881812547,300.0,300.0,0.0
7,M7_ot_swarm_birth_death_diffusion,2,max_ranked_separation_entropy_imbalance_change,0.7692610025405884,0.7709798812866211,0.0017188787460327148,0.8536907401721172,0.9021112975323392,0.048420557360221994,9.792926238988521,8.943492179751624,-0.8494340592368967,0.4911966231372239,0.5189571265238948,0.02776050338667091,0.11541666666666665,0.1675977653631285,0.052181098696461856,0.5023053946866533,0.5975995379288475,0.09529414324219421,270.0,179.0,-91.0
7,M8_ot_swarm_birth_death_diffusion_cci,2,max_ranked_separation_entropy_imbalance_change,0.7688533961772919,0.7706688642501831,0.0018154680728912354,0.8536694332588288,0.9024056012326412,0.048736167973812416,9.792887953977928,8.943136812194632,-0.8497511417832957,0.4911966231372239,0.5189571265238948,0.02776050338667091,0.11541666666666665,0.1675977653631285,0.052181098696461856,0.5023754727070647,0.5962611185141331,0.09388564580706837,270.0,179.0,-91.0
7,M9_full_memory,2,max_ranked_separation_entropy_imbalance_change,0.7617053985595703,0.7657421231269836,0.00403672456741333,0.8536038340863569,0.9026781315188772,0.04907429743252034,9.787469117524672,8.912871378916906,-0.8745977386077666,0.4911966231372239,0.5189571265238948,0.02776050338667091,0.11541666666666665,0.1675977653631285,0.052181098696461856,0.5024894102655493,0.5984288110886098,0.09593940082306052,270.0,179.0,-91.0
17,M5_ot_swarm,2,max_ranked_separation_entropy_imbalance_change,0.7672634124755859,0.789360761642456,0.022097349166870117,0.8528588073526517,0.8549807386619521,0.0021219313093003844,9.505343354302429,8.3543350296621,-1.1510083246403298,0.4827766194462576,0.4827766194462576,0.0,0.1133333333333333,0.1133333333333333,0.0,0.5578037376913343,0.572563585953978,0.01475984826264376,300.0,300.0,0.0
17,M7_ot_swarm_birth_death_diffusion,1,max_ranked_separation_entropy_imbalance_change,0.7638530731201172,0.7537456750869751,-0.01010739803314209,0.8521204517405493,0.896688763984077,0.04456831224352775,9.77694715536194,9.403287028258488,-0.3736601271034523,0.4827766194462576,0.5327472892494114,0.04997066980315379,0.1133333333333333,0.21033314511575374,0.09699981178242044,0.5555966010646686,0.5053725447863207,-0.05022405627834792,300.0,169.0,-131.0
17,M8_ot_swarm_birth_death_diffusion_cci,1,max_ranked_separation_entropy_imbalance_change,0.7634047865867615,0.7535606622695923,-0.00984412431716919,0.8521204517405493,0.8968213615507632,0.04470090981021391,9.77694715536194,9.403004711569807,-0.37394244379213326,0.4827766194462576,0.5327472892494114,0.04997066980315379,0.1133333333333333,0.21033314511575374,0.09699981178242044,0.5555966010646686,0.504354325509861,-0.05124227555480754,300.0,169.0,-131.0
17,M9_full_memory,1,max_ranked_separation_entropy_imbalance_change,0.7561060786247253,0.7489997148513794,-0.007106363773345947,0.8521204517405493,0.896964457816349,0.04484400607579975,9.77694715536194,9.371270193180363,-0.4056769621815768,0.4827766194462576,0.5327472892494114,0.04997066980315379,0.1133333333333333,0.21033314511575374,0.09699981178242044,0.5555966010646686,0.5045140621036701,-0.05108253896099846,300.0,169.0,-131.0
23,M5_ot_swarm,2,max_ranked_separation_entropy_imbalance_change,0.7717411816120148,0.79562908411026,0.02388790249824524,0.8634456710860765,0.8645147530456435,0.0010690819595670087,9.677911401556273,8.561941909782522,-1.1159694917737504,0.4723290569323394,0.4723290569323394,0.0,0.1366666666666667,0.1366666666666667,0.0,0.5256330422185052,0.5407251349448294,0.01509209272632428,300.0,300.0,0.0
23,M7_ot_swarm_birth_death_diffusion,1,max_ranked_separation_entropy_imbalance_change,0.7681077718734741,0.7638430893421173,-0.0042646825313568115,0.8634503433777918,0.9049180568179845,0.04146771344019273,9.93937404701886,9.551877230709136,-0.3874968163097243,0.4723290569323394,0.4642186919047448,-0.008110365027594602,0.1366666666666667,0.2427392789144428,0.10607261224777612,0.5249093217701896,0.54555254988564,0.020643228115450385,300.0,183.0,-117.0
