source_lineage,target_lineage,mass,source_time,target_time
Gut,Allantois,8.020105269679334e-06,8.0,8.25
Gut,Cardiomyocytes,0.000519069260917604,8.0,8.25
Gut,Def. endoderm,9.022563318694665e-08,8.0,8.25
Gut,ExE mesoderm,0.0003428032505325973,8.0,8.25
Gut,Gut,0.010630806908011436,8.0,8.25
Gut,Intermediate mesoderm,8.033930498640984e-06,8.0,8.25
Gut,Mesenchyme,0.011164729483425617,8.0,8.25
Gut,Paraxial mesoderm,0.003912890329957008,8.0,8.25
Gut,Pharyngeal mesoderm,0.003360845847055316,8.0,8.25
Gut,Rostral neurectoderm,0.0005613267421722412,8.0,8.25
Gut,Surface ectoderm,0.027824701741337776,8.0,8.25
Haematoendothelial progenitors,Allantois,0.0024752712342888117,8.0,8.25
Haematoendothelial progenitors,Cardiomyocytes,0.003887426108121872,8.0,8.25
Haematoendothelial progenitors,Def. endoderm,1.3801994486542513e-12,8.0,8.25
Haematoendothelial progenitors,ExE mesoderm,0.004723304882645607,8.0,8.25
Haematoendothelial progenitors,Gut,4.8535333974086825e-08,8.0,8.25
Haematoendothelial progenitors,Intermediate mesoderm,8.788809282123111e-06,8.0,8.25
Haematoendothelial progenitors,Mesenchyme,0.044689252972602844,8.0,8.25
Haematoendothelial progenitors,Paraxial mesoderm,0.002969888038933277,8.0,8.25
Haematoendothelial progenitors,Pharyngeal mesoderm,0.007412849459797144,8.0,8.25
Haematoendothelial progenitors,Rostral neurectoderm,2.2388676370610483e-06,8.0,8.25
Haematoendothelial progenitors,Surface ectoderm,0.0004976958152838051,8.0,8.25
Intermediate mesoderm,Allantois,0.00038409532862715423,8.0,8.25
Intermediate mesoderm,Cardiomyocytes,0.00015822012210264802,8.0,8.25
Intermediate mesoderm,Def. endoderm,2.6405668016732387e-12,8.0,8.25
Intermediate mesoderm,ExE mesoderm,0.016841094940900803,8.0,8.25
Intermediate mesoderm,Gut,1.580800379485936e-08,8.0,8.25
Intermediate mesoderm,Intermediate mesoderm,0.014500977471470833,8.0,8.25
Intermediate mesoderm,Mesenchyme,0.003465203335508704,8.0,8.25
Intermediate mesoderm,Paraxial mesoderm,0.009530290961265564,8.0,8.25
Intermediate mesoderm,Pharyngeal mesoderm,0.013079864904284477,8.0,8.25
Intermediate mesoderm,Rostral neurectoderm,1.022362175717717e-05,8.0,8.25
Intermediate mesoderm,Surface ectoderm,0.00036335139884613454,8.0,8.25
Mesenchyme,Allantois,0.0036471914499998093,8.0,8.25
Mesenchyme,Cardiomyocytes,8.431707829004154e-05,8.0,8.25
Mesenchyme,Def. endoderm,7.451835033907804e-15,8.0,8.25
Mesenchyme,ExE mesoderm,0.003055015578866005,8.0,8.25
Mesenchyme,Gut,5.424990234814686e-09,8.0,8.25
Mesenchyme,Intermediate mesoderm,1.3434606671580696e-06,8.0,8.25
Mesenchyme,Mesenchyme,0.04194390028715134,8.0,8.25
Mesenchyme,Paraxial mesoderm,0.00010516140901017934,8.0,8.25
Mesenchyme,Pharyngeal mesoderm,0.001076898188330233,8.0,8.25
Mesenchyme,Rostral neurectoderm,2.2230226193187264e-07,8.0,8.25
Mesenchyme,Surface ectoderm,8.595405233791098e-05,8.0,8.25
Notochord,Allantois,1.9759409042308107e-07,8.0,8.25
Notochord,Cardiomyocytes,0.003995089326053858,8.0,8.25
Notochord,Def. endoderm,0.02129579335451126,8.0,8.25
Notochord,ExE mesoderm,0.00019666203297674656,8.0,8.25
Notochord,Gut,2.2642228941549547e-05,8.0,8.25
Notochord,Intermediate mesoderm,0.000859471270814538,8.0,8.25
Notochord,Mesenchyme,0.00680305203422904,8.0,8.25
Notochord,Paraxial mesoderm,0.014935996383428574,8.0,8.25
Notochord,Pharyngeal mesoderm,0.0024708115961402655,8.0,8.25
Notochord,Rostral neurectoderm,1.962878195627127e-05,8.0,8.25
Notochord,Surface ectoderm,0.007733939681202173,8.0,8.25
Paraxial mesoderm,Allantois,5.4042698138800915e-06,8.0,8.25
Paraxial mesoderm,Cardiomyocytes,2.5296409148722887e-05,8.0,8.25
Paraxial mesoderm,Def. endoderm,2.3227302026196384e-11,8.0,8.25
Paraxial mesoderm,ExE mesoderm,5.067387246526778e-05,8.0,8.25
Paraxial mesoderm,Gut,3.344695631568584e-09,8.0,8.25
Paraxial mesoderm,Intermediate mesoderm,9.169380064122379e-06,8.0,8.25
Paraxial mesoderm,Mesenchyme,0.00033820903627201915,8.0,8.25
Paraxial mesoderm,Paraxial mesoderm,0.04757664352655411,8.0,8.25
Paraxial mesoderm,Pharyngeal mesoderm,0.010263392701745033,8.0,8.25
Paraxial mesoderm,Rostral neurectoderm,8.82455424289219e-06,8.0,8.25
Paraxial mesoderm,Surface ectoderm,5.5738535593263805e-05,8.0,8.25
Pharyngeal mesoderm,Allantois,2.2014250134816393e-05,8.0,8.25
Pharyngeal mesoderm,Cardiomyocytes,0.0002165670448448509,8.0,8.25
Pharyngeal mesoderm,Def. endoderm,2.7820007040234296e-13,8.0,8.25
Pharyngeal mesoderm,ExE mesoderm,0.0002640561433508992,8.0,8.25
Pharyngeal mesoderm,Gut,8.249243066416057e-09,8.0,8.25
Pharyngeal mesoderm,Intermediate mesoderm,2.878886334656272e-06,8.0,8.25
Pharyngeal mesoderm,Mesenchyme,0.002598995342850685,8.0,8.25
Pharyngeal mesoderm,Paraxial mesoderm,0.00889511127024889,8.0,8.25
Pharyngeal mesoderm,Pharyngeal mesoderm,0.021137021481990814,8.0,8.25
Pharyngeal mesoderm,Rostral neurectoderm,1.670144047238864e-05,8.0,8.25
