seed,model,holdout_time,source_time,next_time,n_pred,n_true,uses_teacher,uses_birth_death,uses_diffusion,uses_swarm,uses_cci,uses_memory,sinkhorn,mmd_rbf,energy,knn_two_sample_accuracy,celltype_composition_rmse
7,M0_linear_label_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.40116803868770234,0.02999191445466942,0.38373717529164786,0.6611111111111111,0.025276570299691298
7,M0b_ot_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.39039554170601354,0.04154238297806301,0.5139685848538598,0.6277777777777778,0.02397309437781347
7,M1_intrinsic_neural,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.4484650929973234,0.04330529717761156,0.49575781456229784,0.7777777777777778,0.03054833132930282
7,M2_ot_teacher_force,7.75,7.5,8.0,300,618,True,False,False,False,False,False,0.43472544523217593,0.0433811062741436,0.4880965928468335,0.7333333333333333,0.02592751120907029
7,M3_ot_birth_death,7.75,7.5,8.0,176,618,True,True,False,False,False,False,0.5138202025493179,0.05841154198324938,0.8329996545474074,0.8181818181818182,0.03971916797485616
7,M4_ot_adaptive_diffusion,7.75,7.5,8.0,300,618,True,False,True,False,False,False,0.43447115585834983,0.04278448441391569,0.4822006545414972,0.7333333333333333,0.027291959116958923
7,M5_ot_swarm,7.75,7.5,8.0,300,618,True,False,False,True,False,False,0.43421978095112107,0.04805729647763801,0.5272374732301124,0.7333333333333333,0.02690854344263406
7,M6_ot_swarm_birth_death,7.75,7.5,8.0,176,618,True,True,False,True,False,False,0.5132977872814197,0.060869117551432206,0.8571702744355978,0.8181818181818182,0.03961421938925776
7,M7_ot_swarm_birth_death_diffusion,7.75,7.5,8.0,164,618,True,True,True,True,False,False,0.525713532459848,0.060216691754322316,0.8528839808973157,0.7785714285714286,0.03808494054730715
7,M8_ot_swarm_birth_death_diffusion_cci,7.75,7.5,8.0,164,618,True,True,True,True,True,False,0.5257300402672375,0.06024805842966652,0.8532426286085038,0.7785714285714286,0.03808494054730715
7,M9_full_memory,7.75,7.5,8.0,164,618,True,True,True,True,True,True,0.5255854204974852,0.06092877603274527,0.8601618699469622,0.7928571428571428,0.037937379417003717
7,M10_shuffled_time_ot,7.75,7.5,8.0,177,618,True,True,True,True,False,False,0.46708866033114355,0.03179976001694129,0.54093081456978,0.7291666666666666,0.04154448286099983
7,M11_random_lr_labels,7.75,7.5,8.0,161,618,True,True,True,True,True,False,0.5299005380644136,0.06325491830597207,0.8705695897096195,0.762589928057554,0.042955311339314226
17,M0_linear_label_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.39332816989516184,0.030994725258189026,0.4102996247309658,0.6388888888888888,0.02948419453467559
17,M0b_ot_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.3848898167923322,0.040565650313322044,0.5078491571975157,0.5111111111111111,0.02890309439658732
17,M1_intrinsic_neural,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.45669205664237467,0.04669267452550363,0.5377272308827568,0.7722222222222223,0.03525666703517394
17,M2_ot_teacher_force,7.75,7.5,8.0,300,618,True,False,False,False,False,False,0.4397202218052526,0.05016442539192423,0.6095348357995505,0.7333333333333333,0.030376327532960087
17,M3_ot_birth_death,7.75,7.5,8.0,147,618,True,True,False,False,False,False,0.5346335846707578,0.06471847906088934,0.94694271110024,0.7555555555555555,0.04741944512925474
17,M4_ot_adaptive_diffusion,7.75,7.5,8.0,300,618,True,False,True,False,False,False,0.43953810029293894,0.04967812975500574,0.6049619785563038,0.7388888888888889,0.03047686532951741
17,M5_ot_swarm,7.75,7.5,8.0,300,618,True,False,False,True,False,False,0.43887985201541246,0.05433300968816013,0.6454985086641614,0.7166666666666667,0.03224939857455581
