variant,branch_nucleation_tier,lineage_separation_effect,effect_ci_low,effect_ci_high,permutation_p,permutation_q,seed_stability_pass,sign_consistency,n_seed_windows,local_velocity_alignment_A_effect,branch_cohesion_C_effect,lineage_separation_S_effect,fate_entropy_H_effect,branch_imbalance_B_effect,local_density_mean_effect,n_agents_effect,best_interpretation
M5_ot_swarm,strong,-1.1248865582615797,-1.1592996091705203,-1.0921442486988362,0.009900990099009901,0.009900990099009901,True,1.0,5,0.01959066390991211,0.001985549021168831,-1.1248865582615797,0.0,0.0,0.01267722615933301,0.0,transient_condensation_before_divergence
M7_ot_swarm_birth_death_diffusion,strong,-0.4629577421252197,-0.6703802741594934,-0.24414336300351563,0.009900990099009901,0.009900990099009901,True,1.0,5,-0.023761731386184693,0.04275057542177716,-0.4629577421252197,0.019578736115163843,0.07251236347675646,0.012902248157330543,-122.8,unsupported
M8_ot_swarm_birth_death_diffusion_cci,strong,-0.4631569434015777,-0.670566854984806,-0.24433587583344582,0.009900990099009901,0.009900990099009901,True,1.0,5,-0.02342097759246826,0.04282637893467298,-0.4631569434015777,0.019578736115163843,0.07251236347675646,0.012654449373999444,-122.8,unsupported
M9_full_memory,strong,-0.49299653689392287,-0.698449710101875,-0.2756666246336195,0.009900990099009901,0.009900990099009901,True,1.0,5,-0.02175517678260803,0.04307445895156672,-0.49299653689392287,0.019578736115163843,0.07251236347675646,0.012899132640651812,-122.8,unsupported
