cohort,lineage,global_spectral_distance,mean_absolute_residual,max_absolute_residual,n_modules,n_cells
T_chimera,Allantois,0.5069528043177567,0.044587623937032216,0.29822784816631775,13,9360
T_chimera,Blood progenitors 1,0.09770634174960734,0.017021323925756806,0.0832626936876586,13,468
T_chimera,Blood progenitors 2,0.08801005927027988,0.0121966314174095,0.07876508717576924,13,2717
T_chimera,Cardiomyocytes,0.2624248134876804,0.03718090949786709,0.11875158366896066,13,7254
T_chimera,Caudal Mesoderm,0.3994004695980087,0.05658505508389279,0.18620673889428851,13,2379
T_chimera,Caudal epiblast,0.21497225339720524,0.026396990126692662,0.16722060913442094,13,2951
T_chimera,Caudal neurectoderm,0.7718159025291931,0.11774261584335549,0.7175861235311886,13,845
T_chimera,Def. endoderm,0.7021939461823533,0.14442098783472448,0.35163733191787827,13,429
T_chimera,Doublet,1.0687385122620836,0.08744978876214562,0.8858624780269789,13,22698
T_chimera,Endothelium,0.08730793395348002,0.017316115593120605,0.054270679730519356,13,2717
T_chimera,Erythroid1,0.2267936924291338,0.026080171079307293,0.12843715891755458,13,12090
T_chimera,Erythroid2,0.21514061367620388,0.029954650570000352,0.19237505603829375,13,8931
T_chimera,Erythroid3,0.20659316510773512,0.017901446956474082,0.14381746774119736,13,11505
T_chimera,ExE mesoderm,0.3706984650776941,0.0389469067583498,0.2711819839584787,13,8710
T_chimera,Forebrain/Midbrain/Hindbrain,0.2985545753762141,0.03897512964283299,0.28490413429893235,13,13572
T_chimera,Gut,0.3192586623790642,0.0371113994363657,0.1526581861513916,13,8684
T_chimera,Haematoendothelial progenitors,0.2001038710659519,0.02394749640083732,0.12255988279074059,13,4875
T_chimera,Intermediate mesoderm,0.5894532672044358,0.07367678939160965,0.318628027370124,13,1716
T_chimera,Mesenchyme,0.4712808293720634,0.04678143264123462,0.2433279299212303,13,17615
T_chimera,NMP,0.4853924367661687,0.05659660125561345,0.3147528460365814,13,12792
T_chimera,Neural crest,0.2427444097787699,0.02507943065507404,0.19516644747620915,13,2782
T_chimera,Paraxial mesoderm,0.35968488553983635,0.041740917306568294,0.20401563904693143,13,8541
T_chimera,Pharyngeal mesoderm,0.5172364963014456,0.05837164708815098,0.33587318559204526,13,11908
T_chimera,Rostral neurectoderm,0.5737368401259761,0.05275688378639044,0.4136884042975521,13,4316
T_chimera,Somitic mesoderm,0.47398505714678735,0.06568236516302883,0.44312947775584366,13,702
T_chimera,Spinal cord,0.46534784388602946,0.04408374896374235,0.3157311487432074,13,4615
T_chimera,Stripped,1.2147075552542048,0.14870480431786468,1.1806170626090053,13,273
T_chimera,Surface ectoderm,0.6969944102792198,0.06996710278550879,0.3420877943126289,13,18642
T_chimera,Visceral endoderm,0.7874168229858501,0.1376476509458463,0.6996676498931911,13,208
Tal1_chimera,Allantois,1.4152782698367743,0.07821281781458594,0.8313880050328893,13,39663
Tal1_chimera,Cardiomyocytes,1.1729731257568088,0.08265169673152677,0.6192760333734015,13,9828
Tal1_chimera,Caudal Mesoderm,0.6193599580802673,0.09012313816981783,0.5635052264485266,13,1352
Tal1_chimera,Caudal epiblast,0.6165638096328345,0.07795420001537637,0.5900740810804678,13,130
Tal1_chimera,Def. endoderm,1.17802734796864,0.09180372080096263,0.8125714199539876,13,1196
Tal1_chimera,Doublet,1.3930984117606449,0.09470055789446587,0.7906348206495113,13,25363
Tal1_chimera,Endothelium,1.2921222713297345,0.11076732560699966,0.6180520892917036,13,4927
Tal1_chimera,ExE mesoderm,1.3081421737932097,0.0694586537397461,0.7644018475906017,13,27755
Tal1_chimera,Forebrain/Midbrain/Hindbrain,1.4798826316877376,0.07478613638964002,0.8549607587209757,13,40781
Tal1_chimera,Gut,1.0437465290873882,0.07418180700602048,0.5856249610416617,13,7046
Tal1_chimera,Haematoendothelial progenitors,1.376943796106167,0.10962057364171987,0.7274746055231293,13,32760
Tal1_chimera,Intermediate mesoderm,1.3701707376227525,0.08390887344726851,0.7811862908050373,13,16471
Tal1_chimera,Mesenchyme,1.056196724016434,0.08391169572936803,0.7292762629124068,13,33111
Tal1_chimera,NMP,1.4893984652969445,0.09444311489547105,0.8425017337140529,13,16224
Tal1_chimera,Neural crest,1.3884522300706073,0.07146974826300262,0.8040637037377238,13,10062
Tal1_chimera,PGC,1.6597083733314641,0.14954782240870454,1.1372609105354814,13,806
Tal1_chimera,Paraxial mesoderm,1.313351102607731,0.07305963962506132,0.7573908750807182,13,24687
Tal1_chimera,Pharyngeal mesoderm,1.4864556908391893,0.08835090577727432,0.8481812347305464,13,25610
Tal1_chimera,Rostral neurectoderm,1.048144257003325,0.07661057064926702,0.7321132143231147,13,2652
Tal1_chimera,Somitic mesoderm,1.5250263020441672,0.08264245635686199,0.8831354234384895,13,9035
Tal1_chimera,Spinal cord,1.156484866377522,0.07753702190902562,0.8164743648779932,13,13546
Tal1_chimera,Stripped,1.799935623230979,0.2029628126961994,1.7741779882070627,13,312
Tal1_chimera,Surface ectoderm,1.4443071566752252,0.10078292017522236,0.8001545041423203,13,23595
