perturbation_name,global_spectral_distance,mean_absolute_residual,cell_weighted_mean_absolute_residual,low_frequency_suppression,high_frequency_burst_score,spectral_entropy_increase,devguard_failure_fraction,devguard_linked_spectral_failure_burden,top_residual_module,n_lineage_module_classes
Tal1_chimera,6.320048886699645,0.08960299130983879,0.07584912698769226,0.07595695789390196,0.16388712141104028,2.3429550674283988,0.42297335600907027,0.03208215979234234,erythroid,754
T_chimera,2.8123193004101426,0.051812156729093235,0.03366479027392072,0.03291999789168407,0.12504808425043104,1.1120526931030523,0.050588609608654155,0.0017030549327245927,erythroid,689
