source_lineage,target_lineage,mass,source_time,target_time
Blood progenitors 2,PGC,1.4960892258386593e-07,8.0,8.25
Blood progenitors 2,Paraxial mesoderm,0.0007115901680663228,8.0,8.25
Blood progenitors 2,Pharyngeal mesoderm,0.0004529260331764817,8.0,8.25
Blood progenitors 2,Rostral neurectoderm,0.0010473940055817366,8.0,8.25
Blood progenitors 2,Somitic mesoderm,0.0003631764557212591,8.0,8.25
Blood progenitors 2,Spinal cord,0.0005340887582860887,8.0,8.25
Blood progenitors 2,Stripped,0.0006152523565106094,8.0,8.25
Blood progenitors 2,Surface ectoderm,0.0004434352449607104,8.0,8.25
Cardiomyocytes,Allantois,0.0008096909150481224,8.0,8.25
Cardiomyocytes,Blood progenitors 1,0.00012967937800567597,8.0,8.25
Cardiomyocytes,Blood progenitors 2,4.728244675789028e-06,8.0,8.25
Cardiomyocytes,Cardiomyocytes,0.006348174065351486,8.0,8.25
Cardiomyocytes,Caudal Mesoderm,0.0034901609178632498,8.0,8.25
Cardiomyocytes,Caudal epiblast,1.072610029950738e-05,8.0,8.25
Cardiomyocytes,Caudal neurectoderm,2.337014302611351e-05,8.0,8.25
Cardiomyocytes,Def. endoderm,0.0005034332862123847,8.0,8.25
Cardiomyocytes,Endothelium,0.000890931289177388,8.0,8.25
Cardiomyocytes,Erythroid1,0.00022196763893589377,8.0,8.25
Cardiomyocytes,Erythroid2,0.007311374414712191,8.0,8.25
Cardiomyocytes,Erythroid3,0.0003936467692255974,8.0,8.25
Cardiomyocytes,ExE ectoderm,0.0001810062676668167,8.0,8.25
Cardiomyocytes,ExE mesoderm,0.0003836809773929417,8.0,8.25
Cardiomyocytes,Forebrain/Midbrain/Hindbrain,0.0008912318153306842,8.0,8.25
Cardiomyocytes,Gut,0.0006791478954255581,8.0,8.25
Cardiomyocytes,Haematoendothelial progenitors,0.0004912068834528327,8.0,8.25
Cardiomyocytes,Intermediate mesoderm,0.0026548849418759346,8.0,8.25
Cardiomyocytes,Mesenchyme,2.7910871722269803e-05,8.0,8.25
Cardiomyocytes,NMP,0.0011388465063646436,8.0,8.25
Cardiomyocytes,Neural crest,0.00015682505909353495,8.0,8.25
Cardiomyocytes,PGC,2.218921326857526e-05,8.0,8.25
Cardiomyocytes,Paraxial mesoderm,0.0016419478924944997,8.0,8.25
Cardiomyocytes,Pharyngeal mesoderm,0.0009603306534700096,8.0,8.25
Cardiomyocytes,Rostral neurectoderm,0.0008158574928529561,8.0,8.25
Cardiomyocytes,Somitic mesoderm,0.0014096071245148778,8.0,8.25
Cardiomyocytes,Spinal cord,0.0004405204963404685,8.0,8.25
Cardiomyocytes,Stripped,0.000856126775033772,8.0,8.25
Cardiomyocytes,Surface ectoderm,0.00044409456313587725,8.0,8.25
Caudal Mesoderm,Allantois,0.0008602941525168717,8.0,8.25
Caudal Mesoderm,Blood progenitors 1,3.6721554351970553e-05,8.0,8.25
Caudal Mesoderm,Blood progenitors 2,2.5651593205111567e-06,8.0,8.25
Caudal Mesoderm,Cardiomyocytes,0.0018099058652296662,8.0,8.25
Caudal Mesoderm,Caudal Mesoderm,0.003009868785738945,8.0,8.25
Caudal Mesoderm,Caudal epiblast,0.00022345161414705217,8.0,8.25
Caudal Mesoderm,Caudal neurectoderm,5.214784687268548e-05,8.0,8.25
Caudal Mesoderm,Def. endoderm,0.0007796191493980587,8.0,8.25
Caudal Mesoderm,Endothelium,0.00021564804774243385,8.0,8.25
Caudal Mesoderm,Erythroid1,0.0001857404422480613,8.0,8.25
Caudal Mesoderm,Erythroid2,0.001533449161797762,8.0,8.25
Caudal Mesoderm,Erythroid3,0.0019073528237640858,8.0,8.25
Caudal Mesoderm,ExE ectoderm,0.0003247072745580226,8.0,8.25
Caudal Mesoderm,ExE mesoderm,0.0004181100521236658,8.0,8.25
Caudal Mesoderm,Forebrain/Midbrain/Hindbrain,0.002051644492894411,8.0,8.25
Caudal Mesoderm,Gut,0.00032350191031582654,8.0,8.25
Caudal Mesoderm,Haematoendothelial progenitors,0.001899076160043478,8.0,8.25
Caudal Mesoderm,Intermediate mesoderm,0.0011425110278651118,8.0,8.25
Caudal Mesoderm,Mesenchyme,0.00015279455692507327,8.0,8.25
Caudal Mesoderm,NMP,0.0008176267147064209,8.0,8.25
Caudal Mesoderm,Neural crest,0.0008894120110198855,8.0,8.25
Caudal Mesoderm,PGC,1.347944930785161e-06,8.0,8.25
Caudal Mesoderm,Paraxial mesoderm,0.0009367502061650157,8.0,8.25
Caudal Mesoderm,Pharyngeal mesoderm,0.0011185265611857176,8.0,8.25
Caudal Mesoderm,Rostral neurectoderm,0.0011202421737834811,8.0,8.25
Caudal Mesoderm,Somitic mesoderm,0.0007071822183206677,8.0,8.25
Caudal Mesoderm,Spinal cord,0.0005492090131156147,8.0,8.25
Caudal Mesoderm,Stripped,0.0015228150878101587,8.0,8.25
Caudal Mesoderm,Surface ectoderm,0.00040779158007353544,8.0,8.25
Caudal epiblast,Allantois,0.0014569787308573723,8.0,8.25
Caudal epiblast,Blood progenitors 1,0.00013871035480406135,8.0,8.25
Caudal epiblast,Blood progenitors 2,4.728473868453875e-05,8.0,8.25
Caudal epiblast,Cardiomyocytes,0.001903089345432818,8.0,8.25
Caudal epiblast,Caudal Mesoderm,0.003505685366690159,8.0,8.25
Caudal epiblast,Caudal epiblast,0.002170947613194585,8.0,8.25
Caudal epiblast,Caudal neurectoderm,0.0016251885099336505,8.0,8.25
Caudal epiblast,Def. endoderm,0.0011427589925006032,8.0,8.25
Caudal epiblast,Endothelium,0.0008765546954236925,8.0,8.25
Caudal epiblast,Erythroid1,0.0007873281138017774,8.0,8.25
Caudal epiblast,Erythroid2,0.0019460378680378199,8.0,8.25
Caudal epiblast,Erythroid3,0.000829039141535759,8.0,8.25
Caudal epiblast,ExE ectoderm,0.00028914742870256305,8.0,8.25
Caudal epiblast,ExE mesoderm,0.0008453995105810463,8.0,8.25
Caudal epiblast,Forebrain/Midbrain/Hindbrain,0.0038222437724471092,8.0,8.25
