model,split,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
identity,heldout,erythroid,14,15,350,0.12525241076946259,0.006392960902303457,0.015445947647094727
identity,heldout,erythroid,17,18,350,0.06087583303451538,0.0019032341660931706,0.008467793464660645
identity,heldout,mesoderm_muscle,14,15,350,0.2033814638853073,0.0033816758077591658,0.012891769409179688
identity,heldout,mesoderm_muscle,17,18,350,0.3979738652706146,0.0072979615069925785,0.018007874488830566
identity,heldout,neural,14,15,350,0.1569201797246933,0.003288020147010684,0.012692570686340332
identity,heldout,neural,17,18,350,0.44406387209892273,0.005378922447562218,0.0063010454177856445
mean_shift,heldout,erythroid,14,15,350,0.12859296798706055,0.009733525104820728,0.02189922332763672
mean_shift,heldout,erythroid,17,18,350,0.06636529415845871,0.007392690982669592,0.017361164093017578
mean_shift,heldout,mesoderm_muscle,14,15,350,0.2051481157541275,0.005148362368345261,0.020425796508789062
mean_shift,heldout,mesoderm_muscle,17,18,350,0.39765965938568115,0.006983727682381868,0.013111472129821777
mean_shift,heldout,neural,14,15,350,0.15603265166282654,0.002400480443611741,0.015889525413513184
mean_shift,heldout,neural,17,18,350,0.4455452263355255,0.006860318128019571,0.006699204444885254
ridge,heldout,erythroid,14,15,350,0.07645735144615173,0.0017048647860065103,0.016372203826904297
ridge,heldout,erythroid,17,18,350,0.050060685724020004,0.002502793911844492,0.02699112892150879
ridge,heldout,mesoderm_muscle,14,15,350,0.10997557640075684,0.0012701938394457102,0.017094731330871582
ridge,heldout,mesoderm_muscle,17,18,350,0.2246730774641037,0.0031817809212952852,0.012183666229248047
ridge,heldout,neural,14,15,350,0.08372920751571655,0.0016526993131265044,0.02005791664123535
ridge,heldout,neural,17,18,350,0.34161320328712463,0.002164245583117008,0.012801527976989746
context_residual_mlp,heldout,erythroid,14,15,350,0.0782306119799614,0.0015704977558925748,0.003646254539489746
context_residual_mlp,heldout,erythroid,17,18,350,0.045691266655921936,0.0014285590732470155,0.005965232849121094
context_residual_mlp,heldout,mesoderm_muscle,14,15,350,0.1193149983882904,0.001421810477040708,0.006452083587646484
context_residual_mlp,heldout,mesoderm_muscle,17,18,350,0.2426966428756714,0.0013376468559727073,0.0026102066040039062
context_residual_mlp,heldout,neural,14,15,350,0.09132963418960571,0.0011507939780130982,0.004723548889160156
context_residual_mlp,heldout,neural,17,18,350,0.3541928231716156,0.0023869306314736605,0.004446983337402344
