tf_name,mean_stimulus_response_norm,max_stimulus_response_norm,mean_fate_displacement,mean_recovery_probability,mean_alignment_with_normal_transition,n_system_stage_tests,matched_global_grn_targets,matched_system_targets
Lef1,0.6786657543409438,2.358449935913086,0.6786657330535707,0.15512228419669563,0.04214650191854508,21,10,24
Eya1,0.6361008002644494,2.48201060295105,0.6361007803962344,0.19392861209111176,0.008153254831475871,21,10,27
Rfx4,0.6168653042543502,2.177325963973999,0.6168652716137114,0.24866390309223804,0.009175121252025877,21,10,0
Nrg1,0.5622459593273345,1.9590867757797241,0.562245942297436,0.19518269555606635,-0.04873736818054957,21,10,17
Satb2,0.5251176399844033,1.3693982362747192,0.5251176740442004,0.20751526321351343,-0.0068439812521752345,21,10,33
Eya4,0.525018667890912,2.034320116043091,0.5250186437652224,0.22090740578289705,0.008588309488481,21,10,23
Pax3,0.5208923887638819,1.9182580709457397,0.5208923610902968,0.22289643596787564,0.0403610337165273,21,10,19
Prox1,0.48150394431182314,1.6682748794555664,0.4815039393447694,0.24478840492414453,0.02091729004556934,21,10,0
Zbtb16,0.46841520638692946,1.6706422567367554,0.4684152149018787,0.2564457473442862,0.06115557603715431,21,10,26
Glis3,0.4175803441376913,1.5472095012664795,0.4175803562005361,0.2865662685414304,0.01615899672920239,21,10,0
Otx2,0.4115430698508308,1.721463918685913,0.4115430663029353,0.3255318311529578,-0.05255780459958173,21,10,0
Satb1,0.3960196262314206,1.376732587814331,0.3960196276505788,0.37753895344169497,0.037822581273281856,21,10,25
