dataset_id,sampling_strategy,model,outcome,outcome_primary,n_clones_total,n_outcome_estimable_clones,raw_effect,raw_p,bootstrap_ci_low,bootstrap_ci_high,covariate_adjusted_effect,adjusted_r2,n_adjusted,within_start_time_bin_effect,clone_size_matched_effect,time_span_matched_effect,permutation_q,support_tier
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_fate_entropy,True,167,167,0.178580347833523,0.02094213764370938,0.052729318102889326,0.3315512594738364,0.04389896945659417,0.06463972018637276,167,0.178580347833523,0.18024500873164337,0.17915247319959718,0.019801980198019802,acceptable
Weinreb_2020_Science,early_terminal_balanced_native,fate_entropy_only,terminal_fate_entropy,True,250,250,0.18515965907218723,0.0032990084027396485,0.06268296782455778,0.293507919540485,0.18294080736800883,0.07187651283539687,250,0.20148404650304763,0.1874515383118464,0.19240548765930407,0.009900990099009901,acceptable
Weinreb_2020_Science,early_terminal_balanced_native,teacher_bias_only,terminal_fate_entropy,True,250,250,0.13554974093847005,0.03216241825600581,0.01200897304605407,0.2583144663444062,0.1275427845378726,0.05459579811851101,250,0.11161072536905188,0.08250055017521644,0.07351349139627159,0.0297029702970297,acceptable
Weinreb_2020_Science,early_terminal_balanced_native,uncertainty_plus_teacher_bias,terminal_fate_entropy,True,250,250,0.19358718138208278,0.0021072840660970532,0.07568684897471621,0.30328757870591194,0.2128477124378556,0.06945469753829636,250,0.18416753932196916,0.1738524611365903,0.17299089574415255,0.009900990099009901,acceptable
Weinreb_2020_Science,clone_outcome_quality_native,condensation_only,terminal_fate_entropy,True,170,125,0.21545412574456607,0.01581912178175028,0.08385897786504479,0.3582639340178682,0.20726509191304007,0.07180989575227881,125,0.10605014541521231,0.13729301581177328,0.09987919532519297,0.009900990099009901,acceptable
Weinreb_2020_Science,fate_entropy_preserving_native,condensation_only,terminal_fate_entropy,True,195,167,0.1425210266169739,0.06616048953005349,-0.00026773397642322193,0.299793961194888,0.10303603114513603,0.0978623604502814,167,0.1649758303573636,0.1646557569629185,0.15198041251117475,0.0891089108910891,weak
