dataset_id,sampling_strategy,clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_state,initial_lineage,terminal_sampling_depth,number_of_observed_time_points,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_transition_entropy,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,local_alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,condensation_only,alignment_only,fate_entropy_only,teacher_bias_only,post_divergence_only,condensation_plus_entropy,condensation_plus_post_divergence,uncertainty_plus_teacher_bias,full_branch_window_model,clone_size_bin,time_span_bin,start_time_bin
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,259,2,2.5,5.0,2.5,Unk_2,Unk_2,1,2,0.0,0.0,1,1,0.0,0.9999999999971146,-1.5683065511145065,-1.9456384126047557,-1.5683065511145065,0.9441135112142549,0.787186861038208,1.3826184337419962,1.5683065511145065,0.8244802096466113,0.35714285714285715,0.38095238095238093,0.7380952380952381,0.6428571428571429,0.6666666666666666,0.5476190476190477,0.5119047619047619,0.6904761904761905,0.5571428571428572,"(0.999, 11.25]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,374,2,2.5,5.0,2.5,Ery/Meg,Ery/Meg,1,2,0.0,0.0,1,1,0.0,0.9999999999971146,-1.105740500535364,-2.8394438693439303,-1.105740500535364,0.9549867592432744,0.6891939043998718,1.4068266948366144,1.105740500535364,0.4547684548754685,0.6904761904761905,0.5,0.4523809523809524,0.38095238095238093,0.3333333333333333,0.5714285714285714,0.5119047619047619,0.41666666666666663,0.4714285714285714,"(0.999, 11.25]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,449,6,2.5,5.0,2.5,Ery/Meg,Ery/Meg,4,2,0.0,0.0,1,1,0.0,0.6500224216454689,-1.9648786702073884,-2.6648650159685165,-1.9648786702073884,0.9558729581699806,0.5670969486236572,1.1044933144983118,1.9648786702073884,0.2529275409732893,0.14285714285714285,0.5238095238095238,0.19047619047619047,0.30952380952380953,0.8809523809523809,0.16666666666666666,0.5119047619047619,0.25,0.4095238095238095,"(31.75, 42.0]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,703,2,2.5,5.0,2.5,pDC,pDC,1,2,0.0,0.0,1,1,0.0,0.0,-0.9794826025992484,-3.177463696597358,-0.9794826025992484,0.9661689654342989,0.6113513112068176,1.0166208605617688,0.9794826025992484,-0.1784252661033697,0.7380952380952381,0.7380952380952381,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.5119047619047619,0.5119047619047619,0.17857142857142855,0.4238095238095238,"(0.999, 11.25]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,908,4,2.5,5.0,2.5,Baso/Eos,Baso/Eos,3,2,0.0,0.0,1,1,0.0,0.0,-1.5829247416317442,-2.364374052137079,-1.5829247416317442,0.9677606244209386,0.5520086288452148,0.9198597030703487,1.5829247416317442,0.38170777469933076,0.3333333333333333,0.8333333333333334,0.14285714285714285,0.35714285714285715,0.6904761904761905,0.23809523809523808,0.5119047619047619,0.25,0.4714285714285714,"(31.75, 42.0]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,1066,2,2.5,5.0,2.5,Baso/Eos,Baso/Eos,1,2,0.0,0.0,1,1,0.0,0.0,-0.551949786772838,-2.981400020316708,-0.551949786772838,0.9653385468630771,0.5457420349121094,1.3869620924465214,0.551949786772838,-0.04778256324335093,0.9523809523809523,0.7142857142857143,0.09523809523809523,0.14285714285714285,0.07142857142857142,0.5238095238095237,0.5119047619047619,0.11904761904761904,0.3952380952380952,"(0.999, 11.25]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,1195,2,2.5,5.0,2.5,MPP/GMP,MPP/GMP,1,2,0.0,0.0,1,1,0.0,0.9999999999971146,-1.705300759459912,-2.149839631037296,-1.705300759459912,0.969872567128229,0.8001970052719116,1.6478302900205681,1.705300759459912,0.9510134948633526,0.2619047619047619,0.8571428571428571,0.8095238095238095,0.9523809523809523,0.7619047619047619,0.5357142857142857,0.5119047619047619,0.8809523809523809,0.7285714285714285,"(0.999, 11.25]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,1232,2,2.5,5.0,2.5,Neutro,Neutro,1,2,0.0,0.0,1,1,0.0,0.9999999999971146,-1.293846151222106,-3.988282007520094,-1.293846151222106,0.9426501320841219,0.6544127464294434,1.2627733122192095,1.293846151222106,0.98158151564362,0.5714285714285714,0.35714285714285715,0.35714285714285715,1.0,0.4523809523809524,0.4642857142857143,0.5119047619047619,0.6785714285714286,0.5476190476190477,"(0.999, 11.25]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,1292,2,2.5,5.0,2.5,MEP,MEP,1,2,0.0,0.0,1,1,0.0,0.9999999999971146,-0.6576793107314373,-1.9419092601805263,-0.6576793107314373,0.9632740605236636,0.7938541173934937,1.713948621195073,0.6576793107314373,0.6243405987522108,0.9285714285714286,0.6666666666666666,0.7857142857142857,0.47619047619047616,0.09523809523809523,0.8571428571428572,0.5119047619047619,0.6309523809523809,0.5904761904761905,"(0.999, 11.25]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,1352,3,2.5,5.0,2.5,MPP,MPP,2,2,0.0,0.0,1,1,0.0,0.9182958340516042,-1.486447143158306,-2.452871457546754,-1.486447143158306,0.9756063900453451,0.7133824229240417,1.5601894524328601,1.486447143158306,0.6325554755874923,0.40476190476190477,0.9523809523809523,0.5476190476190477,0.5,0.6190476190476191,0.4761904761904762,0.5119047619047619,0.5238095238095238,0.6047619047619048,"(31.75, 42.0]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,1432,5,2.5,5.0,2.5,Lym,Lym,3,2,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,0.9709505944517833,-0.8175558616628447,-2.818634061371064,-0.8175558616628447,0.9580874440698053,0.6644873321056366,1.2256226626869429,0.8175558616628447,-0.13577494347401842,0.8333333333333334,0.5714285714285714,0.38095238095238093,0.11904761904761904,0.19047619047619047,0.6071428571428572,0.5119047619047619,0.25,0.419047619047619,"(31.75, 42.0]","(0.999, 11.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,1483,2,2.5,5.0,2.5,Unk_2,Unk_2,1,2,0.0,0.0,1,1,0.0,0.9999999999971146,-2.2560000391066075,-4.511742626355353,-2.2560000391066075,0.6217881052475644,0.49229300022125244,0.8486694732888145,2.2560000391066075,0.769410658154326,0.07142857142857142,0.047619047619047616,0.047619047619047616,0.6190476190476191,0.9523809523809523,0.05952380952380952,0.5119047619047619,0.33333333333333337,0.3476190476190476,"(0.999, 11.25]","(11.25, 21.5]",2.5
