exposure_definition,n_clones,spearman,p_value,direction_supports_hypothesis
condensation_exposure,214,-0.3524960852113655,1.1746991113505566e-07,False
alignment_exposure,214,0.14476017090110757,0.03430940752510643,True
entropy_exposure,214,0.6511240074456557,3.385815675729665e-27,True
density_exposure,214,-0.28349874638508443,2.5578944305774303e-05,False
post_divergence,214,0.1870332572210883,0.006064105097051316,True
absolute_condensation,214,0.3524960852113655,1.1746991113505566e-07,True
