dataset,tf,program,activity_variance
E5_zebrafish_Farrell,MSGN1,mesoderm_emt,1.0000000000000009
E5_zebrafish_Farrell,HAND2,mesoderm_emt,1.0
E5_zebrafish_Farrell,SOX3,neural_ectoderm,1.0
E5_zebrafish_Farrell,OTX2,neural_ectoderm,0.9999999999999998
E5_zebrafish_Farrell,POU3F1,neural_ectoderm,0.9999999999999979
E5_zebrafish_Farrell,NEUROG1,neural_ectoderm,0.9999999999999765
E5_zebrafish_Farrell,TAL1,hematopoietic,1.0000000000000093
E5_zebrafish_Farrell,RUNX1,hematopoietic,0.9999999999998573
E5_zebrafish_Farrell,LMO2,hematopoietic,1.0000000000000095
E5_zebrafish_Farrell,IRF8,hematopoietic,1.000000000000002
E5_zebrafish_Farrell,CEBPA,hematopoietic,1.0000000000000424
E5_zebrafish_Farrell,CEBPB,hematopoietic,1.0000000000000149
E5_zebrafish_Farrell,KLF1,hematopoietic,1.0000000000000497
E5_zebrafish_Farrell,SOX32,zebrafish_mesendoderm,0.9999999999999988
E5_zebrafish_Farrell,GATA5,zebrafish_mesendoderm,0.9999999999999979
E5_zebrafish_Farrell,MESPAA,zebrafish_mesendoderm,1.0000000000000027
E5_zebrafish_Farrell,MESPAB,zebrafish_mesendoderm,1.0
GSE154572_EB_proxy,Pou5f1,pluripotency,1.0
GSE154572_EB_proxy,Nanog,pluripotency,1.000000000000002
GSE154572_EB_proxy,Sox2,pluripotency,1.000000000000001
GSE154572_EB_proxy,Klf4,pluripotency,0.9999999999999987
GSE154572_EB_proxy,Esrrb,pluripotency,0.9999999999999998
GSE154572_EB_proxy,Tfcp2l1,pluripotency,1.0000000000000007
GSE154572_EB_proxy,Zfp42,pluripotency,0.9999999999999987
GSE154572_EB_proxy,T,primitive_streak_mesendoderm,0.999999999999999
GSE154572_EB_proxy,Eomes,primitive_streak_mesendoderm,1.0000000000000002
GSE154572_EB_proxy,Mixl1,primitive_streak_mesendoderm,1.0000000000000016
GSE154572_EB_proxy,Mesp1,primitive_streak_mesendoderm,0.9999999999999998
GSE154572_EB_proxy,Mesp2,primitive_streak_mesendoderm,1.0000000000000044
GSE154572_EB_proxy,Foxa2,primitive_streak_mesendoderm,1.0000000000000013
GSE154572_EB_proxy,Gsc,primitive_streak_mesendoderm,1.000000000000004
GSE154572_EB_proxy,Lhx1,primitive_streak_mesendoderm,1.0000000000000007
GSE154572_EB_proxy,Sox17,endoderm,1.0000000000000175
GSE154572_EB_proxy,Gata4,endoderm,1.0000000000000009
GSE154572_EB_proxy,Gata6,endoderm,1.0000000000000013
GSE154572_EB_proxy,Sox7,endoderm,0.9999999999999837
GSE154572_EB_proxy,Hhex,endoderm,0.9999999999999949
GSE154572_EB_proxy,Snai1,mesoderm_emt,0.999999999999999
GSE154572_EB_proxy,Snai2,mesoderm_emt,1.0000000000000036
GSE154572_EB_proxy,Twist1,mesoderm_emt,0.9999999999999987
GSE154572_EB_proxy,Zeb1,mesoderm_emt,1.000000000000002
GSE154572_EB_proxy,Zeb2,mesoderm_emt,1.0000000000000007
GSE154572_EB_proxy,Tbx6,mesoderm_emt,1.0000000000000044
GSE154572_EB_proxy,Hand1,mesoderm_emt,0.999999999999999
GSE154572_EB_proxy,Hand2,mesoderm_emt,0.9999999999999968
GSE154572_EB_proxy,Sox1,neural_ectoderm,0.9999999999999997
GSE154572_EB_proxy,Sox3,neural_ectoderm,1.0000000000000027
GSE154572_EB_proxy,Pax6,neural_ectoderm,0.999999999999999
GSE154572_EB_proxy,Otx2,neural_ectoderm,1.0000000000000009
GSE154572_EB_proxy,Pou3f1,neural_ectoderm,1.0
GSE154572_EB_proxy,Tal1,hematopoietic,1.0000000000000078
GSE154572_EB_proxy,Runx1,hematopoietic,0.9999999999999651
GSE154572_EB_proxy,Gata1,hematopoietic,0.9999999999999966
GSE154572_EB_proxy,Gata2,hematopoietic,0.9999999999999845
GSE154572_EB_proxy,Lmo2,hematopoietic,0.9999999999999915
GSE154572_EB_proxy,Spi1,hematopoietic,1.000000000000025
GSE154572_EB_proxy,Irf8,hematopoietic,1.0000000000000016
GSE154572_EB_proxy,Cebpb,hematopoietic,0.9999999999999978
GSE154572_EB_proxy,Klf1,hematopoietic,0.999999999999985
GSE154572_EB_proxy,Gata5,zebrafish_mesendoderm,1.0000000000000007
