seed,model,holdout_time,source_time,next_time,n_pred,n_true,uses_teacher,uses_birth_death,uses_diffusion,uses_swarm,uses_cci,uses_memory,sinkhorn,mmd_rbf,energy,knn_two_sample_accuracy,celltype_composition_rmse
7,M0_linear_label_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.2731094111322925,0.008476685245937365,0.30742867161920273,0.5653206650831354,0.00047140452079103207
7,M0b_ot_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.24605922692588672,0.00925666106720846,0.35960702088491914,0.517814726840855,0.003715167443844559
7,M1_intrinsic_neural,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.30393380071501336,0.026248427590234602,0.9182103706820222,0.5510688836104513,0.002235147595498449
7,M2_ot_teacher_force,15.0,14.0,16.0,900,1000,True,False,False,False,False,False,0.2678213066529014,0.016412613641121787,0.5815086062865333,0.5415676959619953,0.00047140452079103207
7,M3_ot_birth_death,15.0,14.0,16.0,898,1000,True,True,False,False,False,False,0.30504826732586326,0.013972546006677522,0.552403845612055,0.5510688836104513,0.021516971624507823
7,M4_ot_adaptive_diffusion,15.0,14.0,16.0,900,1000,True,False,True,False,False,False,0.268009113126243,0.016382220162944883,0.579441119570415,0.5439429928741093,0.0005518394231759806
7,M5_ot_swarm,15.0,14.0,16.0,900,1000,True,False,False,True,False,False,0.2673068278514758,0.01743921232773271,0.6247376444112795,0.5391923990498813,0.00047140452079103207
7,M6_ot_swarm_birth_death,15.0,14.0,16.0,899,1000,True,True,False,True,False,False,0.30573444385058085,0.01524497885349485,0.5936375450542997,0.5486935866983373,0.022422648120958226
7,M7_ot_swarm_birth_death_diffusion,15.0,14.0,16.0,899,1000,True,True,True,True,False,False,0.3057071589659575,0.015298361443306874,0.5906140632483385,0.5463182897862233,0.020974218650383236
7,M8_ot_swarm_birth_death_diffusion_cci,15.0,14.0,16.0,899,1000,True,True,True,True,True,False,0.30571332503333976,0.015300157323779318,0.5906591295837238,0.5463182897862233,0.020974218650383236
7,M9_full_memory,15.0,14.0,16.0,899,1000,True,True,True,True,True,True,0.3054884676748283,0.015373631817322875,0.5956632095283716,0.5486935866983373,0.020974218650383236
7,M10_shuffled_time_ot,15.0,14.0,16.0,900,1000,True,True,True,True,False,False,0.3286538063601842,0.004990968478507329,0.20057160008164843,0.6342042755344418,0.025752382126420545
7,M11_random_lr_labels,15.0,14.0,16.0,905,1000,True,True,True,True,True,False,0.2821344050513147,0.016953436169978242,0.6167720309867093,0.5486935866983373,0.023185025219357197
17,M0_linear_label_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.29501155107010285,0.008140866333369079,0.29599142953767554,0.5534441805225653,0.007368602058484107
17,M0b_ot_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.2686167840029087,0.008344998699084782,0.3388882212221169,0.5154394299287411,0.004496912521077351
17,M1_intrinsic_neural,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.3196477278478477,0.027878026621654617,0.9067253418886878,0.5581947743467933,0.00466754841757991
17,M2_ot_teacher_force,15.0,14.0,16.0,900,1000,True,False,False,False,False,False,0.28418013908755385,0.01613435337738056,0.5454538022079625,0.5391923990498813,0.0054636848236196784
17,M3_ot_birth_death,15.0,14.0,16.0,841,1000,True,True,False,False,False,False,0.2831387316648733,0.015592684701642878,0.5579324746280854,0.5415676959619953,0.020520316638743454
17,M4_ot_adaptive_diffusion,15.0,14.0,16.0,900,1000,True,False,True,False,False,False,0.2843243945188977,0.016102751026445317,0.5433344707232557,0.5415676959619953,0.0054636848236196784
17,M5_ot_swarm,15.0,14.0,16.0,900,1000,True,False,False,True,False,False,0.28387388629326477,0.017235218022493504,0.5890551016904659,0.5344418052256532,0.006670986254907786
17,M6_ot_swarm_birth_death,15.0,14.0,16.0,841,1000,True,True,False,True,False,False,0.2831152618840493,0.01662465319544504,0.6012081190658947,0.5415676959619953,0.020134614155533716
17,M7_ot_swarm_birth_death_diffusion,15.0,14.0,16.0,844,1000,True,True,True,True,False,False,0.2647749334391077,0.017238315596664222,0.5654539214105299,0.5368171021377672,0.011041065321104685
17,M8_ot_swarm_birth_death_diffusion_cci,15.0,14.0,16.0,844,1000,True,True,True,True,True,False,0.2647863303520809,0.01723901550629159,0.5654706293640253,0.5368171021377672,0.011041065321104685
