seed,entropy_effect,no_entropy_proxy_r2,empirical_displacement_entropy_effect
7,0.028707563351524912,0.2862249530119978,1.298693712013386
17,0.029140499041861556,0.2536440343889671,1.2880241274064113
23,0.029139418629538415,0.2939952391365863,1.3538545383563307
42,0.028947976312013766,0.2997956954439248,1.3433849691672766
99,0.028552251022013572,0.29648237501943175,1.330557188102647
