dataset,time_numeric,n_cells,regulon_condensation,regulon_divergence,regulon_alignment,branch_specific_regulon_entropy,regulon_susceptibility,TF_switch_score,mean_ot_transition_entropy
internal_native,12.0,325,3.240956077318003,3.1322600389428863,0.18789005239473072,0.9969171637900118,0.024036607568367677,0.12845633660000366,0.6639549732208252
internal_native,13.0,325,2.611864642230793,2.7132479073426503,0.23773985659502544,0.9995542484861499,0.0423616411406591,0.08590712682975311,0.6666771769523621
internal_native,14.0,325,2.1632368354013685,2.294883904169904,0.14288821812391644,0.9987197956171643,0.040730602135079404,0.04760958875674041,0.681951642036438
internal_native,15.0,325,1.9821608537486994,2.0691293980572727,-0.06647421111443182,0.9985791764399574,0.04577803767571707,0.044324290244362526,0.6540364623069763
internal_native,16.0,325,2.083761201212657,2.2847181334468227,-0.0034747953294010777,0.9995542484861499,0.04583212463073078,0.07220430577044445,0.6577323079109192
internal_native,17.0,325,2.319945130610857,2.5460939628839943,-0.14496432759498756,0.999836497475055,0.0497184862116577,0.12245416773202356,0.6312636137008667
internal_native,18.0,325,3.007288960099632,2.960947271430857,-0.13988451290024936,0.9986289689429596,0.03481171800039786,0.0675701937155069,0.6120753884315491
internal_native,19.0,325,2.915470019738128,3.4488735239443535,0.0,0.9998626729596769,0.03688615903320758,0.0,0.0
E1_MouseGastrulationData,7.0,161,3.9069895799901584,5.134087165886012,-0.03550919019967943,0.7363832214558632,0.011486435128472352,0.2618475517285191,0.6642736792564392
E1_MouseGastrulationData,7.25,87,3.8557897394626326,4.492177336853573,0.037279879713929175,0.8575459800257927,-0.008595897261664846,0.21857029355633198,0.6131262183189392
E1_MouseGastrulationData,7.5,453,3.57271529790941,4.294801905741499,0.027005391671400175,0.9070435435942708,0.0011959510599155376,0.16506241409352762,0.5740146636962891
E1_MouseGastrulationData,7.75,618,3.389711475197905,4.1784074276665875,-0.015752697906918387,0.8259190557205525,0.006257358460764664,0.2017096679549889,0.5774895548820496
E1_MouseGastrulationData,8.0,388,2.890063631083671,4.092618304532967,0.0939277126871682,0.8905893694208689,0.012253426543517958,0.1932377224669311,0.6754315495491028
E1_MouseGastrulationData,8.25,93,2.0901752159552593,2.0758601061794315,0.0,0.8301428618340736,0.008856873780240443,0.0,0.0
E3_MouseGastrulationData_full,6.5,19,4.800368432722291,0.0,0.00039732502494956094,0.6802636557188461,-0.04878978109285934,0.3928207663824918,0.8493244647979736
E3_MouseGastrulationData_full,7.0,157,7.822201299666057,7.649076566310063,0.10505716271367373,0.9354195830517128,0.0017670774265589925,0.14159816508069806,0.6742256283760071
E3_MouseGastrulationData_full,7.25,134,6.968706664524004,7.623887223583193,0.11587012430764221,0.9198557152871584,0.003126873593104647,0.1796944469457737,0.6542233228683472
E3_MouseGastrulationData_full,7.5,370,5.893964101376897,5.70578398815962,0.08065723857248445,0.984642539080171,0.017771944198301717,0.10023749268398606,0.7237805128097534
E3_MouseGastrulationData_full,7.75,424,5.5098554009892435,5.346425754699122,0.08944642152800035,0.968845171331934,0.020353535356744567,0.10429997606763289,0.678351640701294
E3_MouseGastrulationData_full,8.0,355,5.329788409958936,5.36128121976311,0.0665511522481066,0.9766147022751515,0.013404649423806307,0.11744985505319731,0.7789062261581421
E3_MouseGastrulationData_full,8.25,454,5.1647537023354735,5.342302943902922,0.010377136949631112,0.95560721006661,0.0372118783751817,0.05168332679317347,0.7535675764083862
E3_MouseGastrulationData_full,8.5,487,5.002132280094867,5.314895338106962,0.0,0.9034936242674977,0.04629207604802193,0.0,0.0
E5_zebrafish_Farrell,3.3,231,3.463254783897166,0.0,0.01487685526773278,-0.9999999999999999,0.05373116331045071,0.08871256911051681,0.8552497029304504
E5_zebrafish_Farrell,3.8,111,3.725843066482412,0.0,0.22992684724772822,-0.9999999999999999,0.054604732291787375,0.15279873257940138,0.8524796962738037
E5_zebrafish_Farrell,4.3,339,2.4187451197452785,2.014726716823106,-0.02282267931492747,0.38260669390987995,0.015224188308289916,0.36390886417418705,0.8052033185958862
E5_zebrafish_Farrell,5.3,393,5.160432310827178,4.072290153702004,0.1687807017135804,0.6780338800096901,0.030659384097940355,0.27730484901683194,0.8025718331336975
E5_zebrafish_Farrell,7.0,221,3.6366673455202903,2.8042011645062415,0.2038810420839693,0.9992761830995752,0.03343614334657764,0.1657265472949847,0.7398686408996582
E5_zebrafish_Farrell,8.0,284,2.81646201200738,2.2258366228849944,0.0749282177737287,0.9737612723521777,0.033636211076415394,0.10205325492518066,0.7605158090591431
E5_zebrafish_Farrell,9.0,240,2.9216601741114108,2.533617503586182,0.19511717442591864,0.9939301597628704,0.0347407429413105,0.09646839564443144,0.7602519392967224
E5_zebrafish_Farrell,10.0,266,2.8137231154522184,1.9796368111121618,0.15186595255123447,0.99411976721792,0.05335460934827694,0.1472638313184985,0.7577713131904602
E5_zebrafish_Farrell,12.0,115,3.288319734535957,1.661098859717781,0.0,0.9656361333670279,0.022335941333876046,0.0,0.0
GSE154572_EB_proxy,0.0,339,3.18526237024635,2.2711839993568743,-0.022965513349247492,0.2966214090187575,0.00016981851583172235,0.24246858413255717,0.7914237976074219
GSE154572_EB_proxy,4.0,331,3.58050442598033,2.292147910761697,-0.022361819817654505,0.6250650732813072,0.004110142401228698,0.43365421492404094,0.7404186725616455
GSE154572_EB_proxy,7.0,316,6.851668297792209,6.314696483606757,0.01939075622864526,0.8188760597100122,0.0015186878466673338,0.5361437179848347,0.7147451639175415
GSE154572_EB_proxy,10.0,214,7.938286892364097,7.310402289660025,0.0,0.6897894523020701,0.0014431080230939283,0.0,0.0
