seed,step,time,local_velocity_alignment_A,branch_cohesion_C,lineage_separation_S,fate_entropy_H,branch_imbalance_B,local_density_mean,local_density_var,n_agents
7,0,7.5625,0.7686200588941574,0.8565011638661598,9.969095235198248,0.4825828295851092,0.11,0.5026038335171035,0.0768088971247112,300.0
7,1,7.625,0.768094465136528,0.8528308024133004,9.564455014897955,0.49550351991328123,0.11812499999999998,0.5002266901965152,0.08294439472804538,255.0
7,2,7.6875,0.770213708281517,0.8746570678166737,9.217245411961127,0.5072410395482342,0.13197761194029844,0.5736188447633424,0.07435811602795267,225.75
7,3,7.75,0.7748176604509354,0.8917901771907499,8.827059615382712,0.5098635522891983,0.15319832402234637,0.5749208430453432,0.0759342319102672,209.25
17,0,7.5625,0.7618042528629303,0.8521204517405493,9.77694715536194,0.4827766194462576,0.1133333333333333,0.5555966010646686,0.0717449837810865,300.0
17,1,7.625,0.7532786130905151,0.8788599073103958,9.669410277821328,0.4939346040370662,0.14604633781763823,0.5880692482267995,0.07087470797558072,242.25
17,2,7.6875,0.754856288433075,0.8821939019256271,9.304489825664458,0.5166174801964255,0.15876811594202894,0.5442315412370675,0.06831930820178064,213.0
17,3,7.75,0.7655338495969772,0.8905218196412541,9.063260138921029,0.5238917634008202,0.21339826839826834,0.49708343089546625,0.07212205125496547,190.5
23,0,7.5625,0.7661100625991821,0.8634503433777918,9.93937404701886,0.4723290569323394,0.1366666666666667,0.5249093217701896,0.0744131298896807,300.0
23,1,7.625,0.7640213072299957,0.884007981380842,9.920262025655932,0.4653541434600642,0.16229166666666667,0.5450977133662134,0.07224979393464248,255.0
23,2,7.6875,0.7683806270360947,0.887883483751083,9.541927379814254,0.4643701345920066,0.20042282430213462,0.5355509048202483,0.07548662886230803,227.25
23,3,7.75,0.76898093521595,0.9016980102611362,9.150353977159513,0.4681224317312803,0.23201942740286294,0.5502919453697911,0.07324012489484037,197.25
42,0,7.5625,0.7507180720567703,0.8570391575661092,9.93307932650292,0.4824500626171324,0.1166666666666666,0.515519578560952,0.0781875144282288,300.0
42,1,7.625,0.7266620397567749,0.8650963996071002,9.638947906469827,0.48331759488993054,0.1182077625570776,0.5110716448288137,0.07744057472229947,239.25
42,2,7.6875,0.7189865410327911,0.8873126752111239,9.267434619310762,0.49735937412033177,0.13029026217228462,0.4949161131355583,0.07549192687831918,208.5
42,3,7.75,0.7078635543584824,0.8873398324631883,9.064805536830292,0.5137171217213,0.12361111111111109,0.5385214285008723,0.06552544309948738,176.25
99,0,7.5625,0.7679942101240158,0.8830955440119861,9.919928817633364,0.4691626679202525,0.1133333333333333,0.5472069219054685,0.0658841232328474,300.0
99,1,7.625,0.7605241686105728,0.8876216701459074,9.543662642178464,0.46801499959568943,0.13499999999999995,0.5521239336769124,0.07466626319559315,243.75
99,2,7.6875,0.7454905956983566,0.9054427114389354,9.5588709083089,0.47018970482350486,0.1692424242424242,0.5382117127478908,0.08029182119029782,198.75
99,3,7.75,0.7312890738248825,0.9157625709957904,9.397574804709343,0.4667053027644793,0.19436386768447833,0.5535768051871863,0.08542323751605488,173.25
