dataset_id,control,control_category,control_branch_event_detected,control_normalized_separation_effect,control_direction_match,negative_control_pass
V2_GSE154572_EB_WT_cluster_proxy,time_shuffle,negative_control,True,0.12639664558749908,True,False
V2_GSE154572_EB_WT_cluster_proxy,velocity_shuffle,negative_control,True,0.11302166783891643,False,False
V2_GSE154572_EB_WT_cluster_proxy,lineage_label_shuffle,negative_control,False,-0.02300094972066742,False,True
V2_GSE154572_EB_WT_cluster_proxy,random_teacher_velocity,negative_control,True,0.11302166783891643,False,False
V2_GSE154572_EB_WT_cluster_proxy,random_graph,negative_control,True,0.11302166783891643,False,False
V2_GSE154572_EB_WT_cluster_proxy,embedding_pca_component_shuffle,negative_control,True,0.16554257442660156,True,False
V2_GSE154572_EB_WT_cluster_proxy,coarse_taxonomy_sensitivity,sensitivity,False,,False,True
