clone_id,clone_size,n_time_points,start_time,end_time,n_lineages
723*NA*NA,2,2,12.0,21.0,1
724*NA*NA,2,1,12.0,12.0,1
735*655*NA,2,2,12.0,21.0,1
736*NA*113,1,1,21.0,21.0,1
736*NA*119,1,1,28.0,28.0,1
736*NA*132,1,1,28.0,28.0,1
736*NA*143,1,1,28.0,28.0,1
736*NA*182,1,1,28.0,28.0,1
736*NA*206,1,1,28.0,28.0,1
736*NA*207,1,1,28.0,28.0,1
736*NA*215,1,1,28.0,28.0,1
736*NA*NA,94,4,12.0,28.0,2
738*NA*NA,5,2,12.0,28.0,2
742*NA*NA,9,2,12.0,21.0,1
745*NA*NA,3,2,12.0,15.0,1
748*714*NA,1,1,15.0,15.0,1
749*281*NA,4,3,12.0,21.0,1
750*NA*NA,3,2,12.0,28.0,1
751*NA*NA,4,3,12.0,21.0,2
756*NA*NA,2,2,12.0,28.0,1
757*NA*NA,3,1,12.0,12.0,1
761*204*NA,1,1,28.0,28.0,1
761*488*NA,1,1,12.0,12.0,1
761*764*NA,1,1,28.0,28.0,1
761*NA*NA,5,2,15.0,28.0,1
762*575*NA,2,1,12.0,12.0,1
762*NA*88,2,1,21.0,21.0,1
764*NA*NA,3,1,28.0,28.0,1
767*305*NA,4,2,15.0,21.0,1
767*516*NA,2,1,21.0,21.0,1
767*NA*NA,2,1,21.0,21.0,1
769*NA*124,1,1,28.0,28.0,1
769*NA*140,1,1,28.0,28.0,1
769*NA*202,1,1,28.0,28.0,1
769*NA*239,1,1,28.0,28.0,1
769*NA*NA,34,3,12.0,28.0,2
771*NA*NA,5,3,12.0,21.0,1
774*NA*11,1,1,15.0,15.0,1
774*NA*NA,5,2,12.0,28.0,1
776*NA*41,1,1,15.0,15.0,1
776*NA*103,1,1,21.0,21.0,1
776*NA*NA,46,4,12.0,28.0,2
779*79*NA,1,1,28.0,28.0,1
779*249*NA,1,1,28.0,28.0,1
781*522*NA,1,1,21.0,21.0,1
781*NA*117,1,1,28.0,28.0,1
781*NA*187,1,1,28.0,28.0,1
781*NA*198,1,1,28.0,28.0,1
781*NA*209,1,1,28.0,28.0,1
781*NA*258,1,1,28.0,28.0,1
781*NA*265,1,1,28.0,28.0,1
781*NA*NA,65,3,15.0,28.0,2
782*NA*NA,4,1,15.0,15.0,1
784*619*NA,2,1,15.0,15.0,1
784*684*NA,1,1,21.0,21.0,1
784*729*NA,7,2,15.0,21.0,2
784*773*NA,2,1,21.0,21.0,1
784*NA*NA,2,2,15.0,28.0,1
785*NA*NA,6,3,15.0,28.0,1
802*NA*NA,1,1,21.0,21.0,1
806*NA*69,2,1,21.0,21.0,1
807*764*NA,1,1,28.0,28.0,1
807*NA*NA,5,1,28.0,28.0,1
814*NA*NA,3,1,21.0,21.0,2
819*NA*217,1,1,28.0,28.0,1
819*NA*NA,4,2,21.0,28.0,2
822*NA*NA,5,1,28.0,28.0,2
824*488*NA,1,1,28.0,28.0,1
824*NA*NA,3,1,28.0,28.0,1
827*NA*223,1,1,28.0,28.0,1
827*NA*NA,3,1,28.0,28.0,1
829*NA*141,1,1,28.0,28.0,1
829*NA*219,1,1,28.0,28.0,1
829*NA*NA,3,1,28.0,28.0,2
2046*NA*NA,1,1,12.0,12.0,1
2125*2342*NA,4,3,9.0,15.0,1
2125*NA*NA,2,2,12.0,15.0,1
2140*NA*NA,18,4,9.0,21.0,1
2209*2333*NA,31,4,9.0,21.0,1
2209*2557*NA,1,1,12.0,12.0,1
2227*2864*NA,1,1,28.0,28.0,1
2227*NA*NA,1,1,12.0,12.0,1
2229*2248*NA,8,4,9.0,21.0,1
2229*NA*NA,2,1,21.0,21.0,1
2256*2164*NA,5,4,9.0,21.0,1
2256*NA*NA,1,1,21.0,21.0,1
2269*2868*NA,1,1,21.0,21.0,1
2269*NA*NA,5,4,9.0,28.0,2
2270*NA*NA,2,1,15.0,15.0,1
2275*2864*NA,8,3,15.0,28.0,2
2275*NA*NA,5,1,15.0,15.0,1
2276*NA*NA,1,1,28.0,28.0,1
2277*NA*NA,1,1,9.0,9.0,1
2287*NA*NA,1,1,9.0,9.0,1
2289*2362*NA,1,1,9.0,9.0,1
2289*2581*NA,4,2,12.0,21.0,1
2289*NA*NA,1,1,15.0,15.0,1
2291*2433*NA,2,1,12.0,12.0,1
2294*2090*NA,1,1,9.0,9.0,1
2294*2118*NA,21,5,9.0,28.0,1
2294*2736*NA,2,1,21.0,21.0,1
2294*NA*NA,5,2,15.0,21.0,1
2300*2726*NA,1,1,12.0,12.0,1
2301*2067*NA,16,6,6.0,28.0,1
2303*NA*NA,2,2,9.0,12.0,1
2306*2537*NA,1,1,12.0,12.0,1
2307*NA*NA,7,2,9.0,12.0,1
2308*2361*NA,2,2,12.0,21.0,1
2313*NA*NA,2,2,15.0,21.0,1
2326*NA*NA,2,2,9.0,12.0,1
2327*NA*NA,2,1,9.0,9.0,1
2328*2863*2081,1,1,21.0,21.0,1
2328*2863*NA,2,1,28.0,28.0,1
2328*NA*NA,62,5,9.0,28.0,3
2330*2014*NA,1,1,28.0,28.0,1
2330*NA*NA,3,2,9.0,21.0,1
2333*NA*NA,1,1,9.0,9.0,1
2344*NA*NA,13,4,9.0,21.0,1
2349*2053*NA,8,3,9.0,15.0,1
2350*NA*NA,8,3,9.0,15.0,1
2351*2052*NA,1,1,21.0,21.0,1
2351*2220*NA,7,4,9.0,21.0,1
2351*2238*NA,14,4,9.0,21.0,1
2351*2315*NA,1,1,15.0,15.0,1
2351*2393*NA,7,3,9.0,15.0,1
2351*2454*NA,3,3,9.0,21.0,1
2351*2603*NA,6,3,12.0,21.0,1
2351*2779*NA,7,1,15.0,15.0,1
2351*2834*NA,2,2,15.0,21.0,1
2351*NA*NA,17,3,12.0,21.0,1
2352*2035*NA,20,6,6.0,28.0,1
2352*2281*NA,6,2,21.0,28.0,2
2352*2351*NA,4,3,9.0,15.0,1
2352*2396*NA,1,1,21.0,21.0,1
2352*2683*2021,2,1,15.0,15.0,1
2352*2683*2027,2,1,15.0,15.0,1
2352*2683*2120,1,1,28.0,28.0,1
2352*2683*NA,29,4,12.0,28.0,2
2352*2717*2120,2,1,21.0,21.0,1
2352*2717*2298,2,1,28.0,28.0,2
2352*2717*NA,70,3,15.0,28.0,3
2352*2745*2116,1,1,21.0,21.0,1
2352*2745*NA,9,3,12.0,21.0,1
2352*2804*NA,1,1,21.0,21.0,1
2352*2868*NA,1,1,21.0,21.0,1
2352*2871*2107,1,1,21.0,21.0,1
2352*2871*2177,1,1,21.0,21.0,1
2352*2871*NA,3,1,21.0,21.0,1
2352*2874*NA,7,1,21.0,21.0,1
2352*2921*NA,2,1,28.0,28.0,1
2352*NA*2005,2,1,15.0,15.0,1
2352*NA*2012,2,1,15.0,15.0,1
2352*NA*2031,2,1,15.0,15.0,1
2352*NA*2041,1,1,15.0,15.0,1
2352*NA*2069,2,1,21.0,21.0,1
2352*NA*2118,1,1,21.0,21.0,1
2352*NA*2120,1,1,21.0,21.0,1
2352*NA*2132,1,1,21.0,21.0,1
2352*NA*2136,2,2,21.0,28.0,1
2352*NA*2151,2,1,21.0,21.0,1
2352*NA*2187,2,2,21.0,28.0,2
2352*NA*2195,3,2,21.0,28.0,2
2352*NA*2228,3,2,21.0,28.0,1
2352*NA*2261,2,1,28.0,28.0,2
2352*NA*NA,754,5,9.0,28.0,3
2362*2486*NA,5,3,9.0,15.0,1
2362*NA*NA,16,4,9.0,21.0,1
2367*2337*NA,3,1,9.0,9.0,1
2367*2514*NA,2,1,9.0,9.0,1
2367*NA*NA,1,1,12.0,12.0,1
2372*NA*NA,1,1,12.0,12.0,1
2374*2294*NA,3,2,9.0,15.0,1
2375*2348*NA,1,1,12.0,12.0,1
2382*2225*NA,3,2,9.0,21.0,1
2382*2228*NA,3,2,12.0,15.0,1
2382*2358*NA,1,1,12.0,12.0,1
2382*NA*NA,3,3,9.0,21.0,1
2398*NA*NA,2,1,12.0,12.0,1
2402*NA*NA,2,1,9.0,9.0,1
2403*2177*NA,6,2,9.0,12.0,1
2403*2233*NA,4,2,9.0,15.0,1
2403*NA*NA,59,4,9.0,21.0,2
2406*NA*NA,2,1,9.0,9.0,1
2408*NA*NA,2,1,15.0,15.0,1
2413*NA*NA,1,1,9.0,9.0,1
2425*NA*NA,19,4,9.0,21.0,1
2430*NA*NA,1,1,12.0,12.0,1
2432*NA*NA,1,1,21.0,21.0,1
2436*2405*NA,2,2,9.0,15.0,1
2436*NA*NA,1,1,12.0,12.0,1
2438*2001*NA,7,4,6.0,15.0,1
2438*NA*NA,1,1,9.0,9.0,1
2440*NA*NA,2,2,6.0,9.0,1
2442*NA*NA,1,1,21.0,21.0,1
2449*2477*NA,39,5,9.0,28.0,2
2449*NA*NA,9,4,9.0,28.0,2
2454*NA*NA,1,1,9.0,9.0,1
2465*NA*NA,1,1,12.0,12.0,1
2468*NA*NA,1,1,21.0,21.0,1
2469*NA*NA,2,2,9.0,12.0,1
2473*NA*NA,1,1,9.0,9.0,1
2482*2667*NA,9,2,15.0,21.0,2
2482*NA*NA,6,3,15.0,28.0,2
2483*NA*NA,2,2,9.0,12.0,1
2485*2750*NA,1,1,21.0,21.0,1
2488*NA*NA,1,1,15.0,15.0,1
2489*NA*NA,1,1,21.0,21.0,1
2490*2042*NA,7,3,9.0,15.0,1
2492*2364*NA,1,1,9.0,9.0,1
2496*NA*NA,9,4,9.0,21.0,2
2499*2281*NA,1,1,28.0,28.0,1
2499*NA*NA,13,5,9.0,28.0,1
2501*NA*NA,2,2,9.0,12.0,1
2503*2052*NA,30,4,12.0,28.0,2
2503*NA*NA,1,1,9.0,9.0,1
2514*2052*2004,1,1,15.0,15.0,1
2514*2052*2074,1,1,21.0,21.0,1
2514*2052*2082,2,2,21.0,28.0,1
2514*2052*2176,1,1,28.0,28.0,1
2514*2052*NA,221,5,9.0,28.0,3
2514*2691*NA,8,2,21.0,28.0,1
2514*2776*NA,3,3,15.0,28.0,1
2514*2889*2202,1,1,21.0,21.0,1
2514*2889*NA,2,2,21.0,28.0,2
2514*NA*NA,4,3,15.0,28.0,1
2515*2024*NA,10,4,6.0,21.0,1
2515*2297*NA,1,1,15.0,15.0,1
2515*NA*NA,15,4,9.0,21.0,2
2521*NA*NA,2,2,15.0,21.0,1
2524*2064*NA,4,2,9.0,12.0,1
2525*2065*NA,1,1,21.0,21.0,1
2525*2577*NA,2,1,15.0,15.0,1
2525*NA*NA,1,1,28.0,28.0,1
2526*NA*NA,1,1,9.0,9.0,1
2530*2261*NA,1,1,12.0,12.0,1
2530*2730*NA,2,2,12.0,21.0,1
2530*NA*NA,7,4,9.0,21.0,1
2535*NA*NA,2,2,15.0,21.0,1
2538*2200*NA,6,4,9.0,21.0,1
2538*2442*NA,3,2,9.0,12.0,1
2538*NA*NA,3,3,6.0,15.0,1
2540*NA*NA,2,2,9.0,12.0,1
2546*2734*NA,2,2,12.0,21.0,1
2548*NA*NA,1,1,21.0,21.0,1
2549*NA*NA,3,1,15.0,15.0,1
2551*NA*NA,2,1,12.0,12.0,1
2553*2463*NA,2,1,15.0,15.0,1
2553*NA*NA,2,1,12.0,12.0,1
2558*2367*NA,4,3,12.0,21.0,1
2560*NA*NA,7,3,9.0,21.0,1
2571*2083*NA,3,3,6.0,21.0,1
2571*2332*NA,8,4,9.0,28.0,2
2571*2593*NA,4,2,12.0,15.0,1
2578*NA*NA,1,1,9.0,9.0,1
2581*NA*NA,30,5,9.0,28.0,2
2585*NA*NA,5,2,9.0,12.0,2
2588*NA*NA,2,2,12.0,15.0,1
2589*NA*NA,13,5,9.0,28.0,2
2597*NA*NA,4,3,6.0,12.0,1
2598*NA*NA,3,2,9.0,15.0,1
2599*NA*NA,1,1,9.0,9.0,1
2600*2216*NA,30,5,9.0,28.0,2
2600*2281*NA,1,1,21.0,21.0,1
2600*2634*NA,7,3,12.0,21.0,2
2600*2654*NA,8,4,12.0,28.0,2
2600*2748*NA,3,2,12.0,15.0,1
2600*NA*NA,7,2,21.0,28.0,2
2609*NA*NA,1,1,28.0,28.0,1
2610*2753*NA,3,2,12.0,15.0,1
2610*NA*NA,8,3,9.0,15.0,1
2619*2246*NA,12,4,9.0,21.0,1
2619*2510*NA,4,4,9.0,28.0,2
2619*NA*NA,3,2,12.0,15.0,1
2624*NA*NA,2,1,12.0,12.0,1
2626*2126*NA,17,2,15.0,21.0,2
2626*NA*NA,1,1,21.0,21.0,1
2627*2127*NA,2,2,6.0,12.0,1
2627*NA*NA,7,3,12.0,21.0,2
2628*NA*NA,7,3,12.0,21.0,1
2630*2130*NA,2,2,12.0,15.0,1
2630*NA*NA,3,2,12.0,15.0,1
2631*NA*NA,2,2,6.0,12.0,1
2632*NA*NA,2,2,12.0,15.0,1
2634*NA*NA,26,4,9.0,21.0,1
2635*NA*NA,2,1,12.0,12.0,1
2636*NA*NA,4,3,9.0,21.0,1
2639*2139*NA,4,2,9.0,12.0,1
2639*NA*NA,1,1,28.0,28.0,1
2640*2382*NA,2,2,9.0,12.0,1
2640*NA*NA,1,1,12.0,12.0,1
2641*2141*NA,2,1,15.0,15.0,1
2641*2281*NA,1,1,28.0,28.0,1
2641*2418*NA,21,5,9.0,28.0,2
2641*2538*NA,1,1,21.0,21.0,1
2641*NA*NA,42,4,12.0,28.0,3
2642*NA*NA,3,2,15.0,21.0,1
2650*2161*NA,2,1,9.0,9.0,1
2650*NA*NA,1,1,9.0,9.0,1
2651*NA*2002,2,1,15.0,15.0,1
2651*NA*NA,28,4,9.0,21.0,2
2657*NA*NA,16,3,9.0,15.0,1
2658*2174*NA,4,3,9.0,21.0,1
2658*NA*NA,4,1,21.0,21.0,2
2661*2237*NA,1,1,12.0,12.0,1
2662*2022*NA,1,1,9.0,9.0,1
2662*NA*NA,10,2,9.0,12.0,1
2664*NA*2009,2,1,15.0,15.0,1
2664*NA*NA,33,5,9.0,28.0,2
2668*NA*NA,19,5,9.0,28.0,1
2678*2205*NA,2,2,9.0,21.0,1
2679*2518*NA,3,2,9.0,15.0,1
2682*2742*NA,7,3,15.0,28.0,2
2683*2045*NA,1,1,9.0,9.0,1
2683*2211*NA,4,2,9.0,12.0,1
2683*2364*NA,1,1,9.0,9.0,1
2686*NA*NA,5,3,12.0,21.0,2
2688*2219*NA,6,3,9.0,21.0,1
2688*NA*NA,2,1,12.0,12.0,1
2690*2677*NA,1,1,15.0,15.0,1
2690*NA*NA,9,3,9.0,21.0,1
2695*2281*2025,1,1,15.0,15.0,1
2695*2281*2095,1,1,28.0,28.0,1
2695*2281*2174,1,1,28.0,28.0,1
2695*2281*2276,1,1,28.0,28.0,1
2695*2281*NA,180,5,9.0,28.0,3
2695*2315*NA,6,4,9.0,21.0,2
2695*2451*NA,2,2,12.0,21.0,1
2695*2561*NA,1,1,28.0,28.0,1
2695*2870*NA,2,1,28.0,28.0,1
2695*2872*NA,2,2,21.0,28.0,1
2695*2922*NA,1,1,21.0,21.0,1
2695*NA*NA,1,1,9.0,9.0,1
2697*2589*NA,5,3,12.0,28.0,1
2697*2614*NA,2,2,12.0,21.0,1
2697*NA*NA,1,1,28.0,28.0,1
2698*NA*NA,4,3,9.0,15.0,1
2706*NA*NA,2,2,12.0,15.0,1
2708*2258*NA,6,4,9.0,21.0,1
2708*NA*NA,1,1,12.0,12.0,1
2709*NA*NA,1,1,21.0,21.0,1
2710*NA*NA,17,5,9.0,28.0,2
2711*NA*NA,1,1,9.0,9.0,1
2712*NA*NA,3,2,9.0,15.0,1
2714*NA*NA,2,2,9.0,12.0,1
2717*2265*NA,5,3,9.0,21.0,1
2718*2266*NA,3,2,9.0,21.0,1
2719*NA*NA,3,1,12.0,12.0,2
2720*NA*NA,4,4,9.0,21.0,1
2721*2024*NA,132,5,9.0,28.0,3
2721*2281*NA,1,1,21.0,21.0,1
2721*2297*NA,1,1,21.0,21.0,1
2721*2406*NA,1,1,21.0,21.0,1
2721*2538*NA,1,1,15.0,15.0,1
2721*2613*NA,1,1,21.0,21.0,1
2721*2868*NA,1,1,21.0,21.0,1
2721*2872*NA,1,1,21.0,21.0,1
2721*NA*2075,1,1,21.0,21.0,1
2721*NA*2212,2,1,28.0,28.0,1
2721*NA*NA,199,5,9.0,28.0,2
2724*NA*NA,2,2,9.0,21.0,1
2730*2697*NA,2,2,12.0,15.0,1
2732*NA*NA,19,5,9.0,28.0,1
2734*NA*NA,1,1,9.0,9.0,1
2736*NA*NA,4,2,9.0,12.0,1
2737*NA*NA,6,2,12.0,15.0,1
2738*2305*NA,4,3,9.0,15.0,1
2741*2371*NA,7,3,12.0,21.0,1
2741*NA*NA,6,3,9.0,15.0,1
2745*NA*NA,4,2,15.0,21.0,1
2746*2229*NA,2,2,9.0,12.0,1
2749*NA*NA,7,3,9.0,15.0,2
2750*2320*NA,4,2,9.0,12.0,1
2752*2281*NA,7,2,21.0,28.0,2
2752*2388*NA,2,1,28.0,28.0,1
2752*2553*NA,1,1,21.0,21.0,1
2752*2618*NA,1,1,21.0,21.0,1
2752*2872*NA,2,2,21.0,28.0,1
2752*2908*NA,1,1,21.0,21.0,1
2752*NA*2068,3,1,28.0,28.0,2
2752*NA*2100,2,2,21.0,28.0,2
2752*NA*2101,2,1,28.0,28.0,1
2752*NA*2124,2,1,28.0,28.0,1
2752*NA*2155,3,1,21.0,21.0,1
2752*NA*2160,2,2,21.0,28.0,1
2752*NA*2256,2,1,28.0,28.0,1
2752*NA*2262,1,1,28.0,28.0,1
2752*NA*2283,3,1,28.0,28.0,1
2752*NA*2288,1,1,28.0,28.0,1
2752*NA*NA,268,5,9.0,28.0,3
2754*NA*NA,3,2,9.0,12.0,1
2756*2397*NA,8,3,9.0,15.0,1
2756*NA*NA,8,4,9.0,21.0,1
2757*2621*NA,3,2,12.0,21.0,1
2757*NA*NA,3,2,21.0,28.0,1
2760*2530*NA,4,1,15.0,15.0,1
2760*NA*NA,6,5,9.0,28.0,1
2762*2594*NA,9,3,12.0,21.0,1
2763*NA*NA,3,3,9.0,21.0,1
2764*2525*NA,21,5,9.0,28.0,1
2764*NA*NA,3,2,15.0,21.0,1
2768*2350*NA,3,2,9.0,12.0,1
2768*NA*NA,1,1,15.0,15.0,1
2770*2355*NA,2,1,9.0,9.0,1
2770*NA*NA,3,2,12.0,15.0,1
2772*2360*NA,7,4,9.0,21.0,1
2772*2495*NA,3,3,9.0,21.0,1
2772*NA*NA,1,1,15.0,15.0,1
2774*NA*NA,4,3,12.0,21.0,1
2775*NA*NA,2,1,15.0,15.0,1
2777*NA*NA,3,2,9.0,21.0,1
2781*NA*NA,2,2,9.0,12.0,1
2785*NA*NA,5,2,12.0,15.0,1
2793*2366*NA,5,2,9.0,12.0,1
2795*NA*NA,2,1,15.0,15.0,1
2796*2391*NA,13,4,9.0,21.0,2
2796*2741*NA,2,1,21.0,21.0,1
2796*NA*NA,3,2,9.0,21.0,1
2798*NA*NA,4,3,9.0,15.0,1
2799*NA*NA,3,3,9.0,15.0,1
2803*2481*NA,5,2,9.0,12.0,1
2803*NA*NA,2,2,9.0,12.0,1
2810*NA*NA,20,4,9.0,21.0,2
2811*2416*NA,2,2,12.0,15.0,1
2815*NA*NA,8,4,9.0,21.0,1
2816*2268*NA,1,1,15.0,15.0,1
2816*2528*NA,2,2,12.0,21.0,2
2816*NA*NA,5,2,12.0,15.0,1
2819*2430*NA,12,3,9.0,21.0,1
2819*NA*NA,2,1,21.0,21.0,1
2820*2749*NA,3,2,12.0,15.0,1
2822*NA*NA,3,3,9.0,15.0,1
2826*NA*NA,3,2,9.0,12.0,1
2828*NA*NA,6,4,12.0,28.0,1
2833*NA*NA,2,2,9.0,21.0,1
2835*NA*NA,5,3,9.0,15.0,1
2836*NA*NA,3,2,9.0,12.0,1
2843*2473*NA,3,2,9.0,12.0,1
2843*NA*NA,1,1,9.0,9.0,1
2844*NA*NA,2,2,12.0,21.0,1
2845*NA*NA,6,3,9.0,15.0,1
2847*NA*NA,2,1,9.0,9.0,1
2848*2485*NA,3,2,15.0,21.0,1
2852*NA*NA,1,1,12.0,12.0,1
2857*2502*NA,2,2,9.0,12.0,1
2858*NA*NA,3,2,12.0,21.0,1
2859*NA*NA,7,3,9.0,15.0,1
2863*2560*NA,7,3,12.0,21.0,1
2863*NA*NA,1,1,21.0,21.0,1
2866*2511*NA,2,2,9.0,21.0,1
2866*NA*NA,1,1,15.0,15.0,1
2867*2513*NA,3,3,9.0,21.0,1
2867*2651*NA,6,2,12.0,28.0,2
2867*2656*NA,5,3,12.0,21.0,1
2867*NA*2077,1,1,21.0,21.0,1
2867*NA*2113,1,1,21.0,21.0,1
2867*NA*NA,10,3,12.0,21.0,2
2871*2105*NA,1,1,15.0,15.0,1
2871*2524*NA,4,1,15.0,15.0,1
2874*NA*NA,2,2,9.0,12.0,1
2875*NA*NA,7,3,12.0,28.0,1
2876*2532*2007,1,1,15.0,15.0,1
2876*2532*NA,9,4,12.0,28.0,2
2876*NA*2007,1,1,15.0,15.0,1
2877*2533*NA,1,1,21.0,21.0,1
2878*2513*NA,1,1,12.0,12.0,1
2878*NA*2077,1,1,21.0,21.0,1
2878*NA*NA,5,2,21.0,28.0,2
2880*2544*NA,3,2,12.0,15.0,1
2882*2546*NA,6,3,12.0,21.0,1
2884*2927*NA,3,2,21.0,28.0,2
2884*NA*2157,2,1,21.0,21.0,1
2884*NA*NA,60,4,12.0,28.0,2
2886*2564*NA,4,3,12.0,21.0,1
2886*NA*NA,1,1,28.0,28.0,1
2890*NA*NA,2,1,12.0,12.0,1
2891*NA*NA,8,4,12.0,28.0,1
2893*2281*NA,13,3,15.0,28.0,2
2893*2315*NA,1,1,15.0,15.0,1
2894*2927*NA,1,1,28.0,28.0,1
2894*NA*NA,5,4,12.0,28.0,2
2895*2602*NA,4,2,12.0,15.0,1
2901*2620*NA,1,1,12.0,12.0,1
2902*2266*NA,6,2,12.0,21.0,1
2904*2546*NA,2,1,15.0,15.0,1
2904*2640*NA,1,1,12.0,12.0,1
2904*NA*NA,3,2,12.0,15.0,1
2910*NA*NA,3,2,12.0,15.0,1
2913*2643*NA,4,4,12.0,28.0,1
2913*NA*NA,1,1,15.0,15.0,1
2914*2090*NA,1,1,12.0,12.0,1
2914*2118*NA,1,1,12.0,12.0,1
2914*NA*NA,2,2,12.0,15.0,1
2915*NA*NA,5,1,12.0,12.0,2
2920*2665*NA,4,1,12.0,12.0,1
2920*NA*NA,1,1,21.0,21.0,1
2922*2001*NA,1,1,12.0,12.0,1
2923*2391*NA,5,3,12.0,21.0,2
2923*NA*NA,3,1,21.0,21.0,1
2924*2232*NA,1,1,21.0,21.0,1
2925*NA*NA,3,2,12.0,15.0,1
2926*NA*NA,2,1,21.0,21.0,1
2928*2684*NA,3,2,12.0,21.0,1
2928*NA*NA,1,1,21.0,21.0,1
2933*2753*NA,1,1,12.0,12.0,1
2933*NA*NA,2,1,12.0,12.0,1
2938*NA*NA,4,2,12.0,15.0,1
2939*2671*NA,1,1,28.0,28.0,1
2939*NA*NA,3,2,12.0,21.0,2
2940*2665*NA,4,2,12.0,21.0,1
2940*NA*NA,2,1,12.0,12.0,1
2948*2713*NA,4,3,12.0,21.0,1
2948*NA*NA,2,1,21.0,21.0,1
2951*2573*NA,3,2,15.0,21.0,1
2951*2752*NA,1,1,28.0,28.0,1
2951*NA*NA,1,1,21.0,21.0,1
2954*2418*NA,4,2,12.0,21.0,1
2954*NA*NA,17,3,15.0,28.0,3
2957*2281*2175,1,1,21.0,21.0,1
2957*2281*2234,1,1,21.0,21.0,1
2957*2281*NA,7,2,21.0,28.0,2
2957*2315*NA,1,1,21.0,21.0,1
2957*2921*2175,1,1,21.0,21.0,1
2957*NA*NA,1,1,15.0,15.0,1
2961*2387*NA,3,2,12.0,15.0,1
2961*NA*NA,2,2,15.0,21.0,1
2962*2777*NA,2,1,15.0,15.0,1
2962*NA*NA,1,1,12.0,12.0,1
2963*2281*NA,3,2,21.0,28.0,2
2963*2315*NA,1,1,12.0,12.0,1
2965*2281*NA,3,2,21.0,28.0,2
2965*2315*NA,1,1,12.0,12.0,1
2966*2663*NA,7,3,12.0,21.0,1
2966*2688*NA,5,2,15.0,21.0,1
2966*2899*NA,2,1,21.0,21.0,1
2966*NA*NA,2,2,21.0,28.0,1
2969*2760*NA,1,1,15.0,15.0,1
2970*2624*NA,9,3,12.0,21.0,1
2974*NA*NA,2,1,28.0,28.0,1
2975*NA*NA,3,1,15.0,15.0,1
2979*2862*NA,5,2,15.0,21.0,1
2979*NA*NA,4,2,15.0,21.0,1
2985*NA*NA,5,1,15.0,15.0,1
2994*2381*NA,4,2,15.0,21.0,2
2998*2281*NA,4,1,21.0,21.0,2
2998*NA*NA,1,1,21.0,21.0,1
3002*2052*2074,1,1,28.0,28.0,1
3002*2052*NA,7,3,15.0,28.0,2
3004*2281*2134,1,1,28.0,28.0,1
3004*2281*2234,1,1,28.0,28.0,1
3004*2281*2276,1,1,28.0,28.0,1
3004*2281*NA,10,2,15.0,28.0,3
3004*2315*NA,1,1,28.0,28.0,1
3004*2561*NA,1,1,21.0,21.0,1
3005*NA*NA,2,2,15.0,21.0,1
3007*2404*NA,5,2,15.0,21.0,1
3023*2052*NA,3,2,21.0,28.0,2
3026*NA*2068,1,1,28.0,28.0,1
3026*NA*2101,1,1,28.0,28.0,1
3026*NA*2160,1,1,28.0,28.0,1
3026*NA*2283,1,1,28.0,28.0,1
3026*NA*2288,1,1,28.0,28.0,1
3026*NA*NA,57,2,21.0,28.0,3
3035*2281*NA,1,1,28.0,28.0,1
3035*NA*NA,28,2,21.0,28.0,3
3036*2513*NA,1,1,28.0,28.0,1
3036*2651*NA,1,1,21.0,21.0,1
3036*2656*NA,1,1,21.0,21.0,1
3036*NA*NA,2,2,21.0,28.0,2
3038*NA*NA,22,2,21.0,28.0,2
NA*2*NA,1,1,6.0,6.0,1
NA*4*NA,3,2,9.0,12.0,2
NA*13*NA,2,1,15.0,15.0,1
NA*18*NA,2,2,6.0,12.0,1
NA*21*NA,1,1,6.0,6.0,1
NA*22*NA,13,4,9.0,28.0,1
NA*25*NA,1,1,9.0,9.0,1
NA*26*NA,7,4,6.0,15.0,1
NA*28*NA,1,1,15.0,15.0,1
NA*35*NA,1,1,9.0,9.0,1
NA*36*NA,1,1,12.0,12.0,1
NA*38*NA,1,1,21.0,21.0,1
NA*39*NA,1,1,21.0,21.0,1
NA*40*NA,2,2,9.0,12.0,1
NA*41*NA,1,1,15.0,15.0,1
NA*43*NA,3,3,12.0,21.0,1
NA*45*NA,12,3,12.0,21.0,1
NA*51*NA,4,3,6.0,15.0,1
NA*60*NA,24,4,12.0,28.0,2
NA*63*NA,11,4,6.0,15.0,2
NA*65*NA,2,2,9.0,15.0,1
NA*68*NA,8,3,9.0,15.0,1
NA*83*NA,7,2,9.0,12.0,1
NA*85*NA,1,1,15.0,15.0,1
NA*89*NA,2,1,21.0,21.0,1
NA*90*NA,5,3,6.0,15.0,1
NA*92*NA,7,2,12.0,15.0,1
NA*94*NA,8,3,9.0,15.0,1
NA*95*NA,1,1,9.0,9.0,1
NA*96*NA,4,1,12.0,12.0,1
NA*97*75,2,1,21.0,21.0,1
NA*97*NA,17,5,6.0,28.0,1
NA*100*NA,10,4,9.0,21.0,2
NA*101*NA,3,2,6.0,9.0,1
NA*104*NA,14,4,9.0,21.0,2
NA*106*NA,7,3,9.0,15.0,1
NA*113*NA,2,2,15.0,21.0,1
NA*117*NA,4,3,6.0,12.0,1
NA*123*NA,4,3,9.0,15.0,1
NA*124*NA,4,1,12.0,12.0,1
NA*132*NA,1,1,12.0,12.0,1
NA*139*NA,1,1,12.0,12.0,1
NA*141*NA,1,1,12.0,12.0,1
NA*143*NA,2,1,9.0,9.0,1
NA*153*NA,3,2,6.0,12.0,1
