clone_id,clone_size,n_time_points,start_time,end_time,n_lineages
349*NA*NA,2,2,12.0,15.0,1
355*405*NA,5,3,9.0,15.0,1
355*NA*NA,5,2,9.0,12.0,1
361*NA*NA,2,2,6.0,9.0,2
362*NA*NA,20,3,9.0,15.0,1
365*NA*NA,3,2,6.0,9.0,1
367*NA*NA,1,1,15.0,15.0,1
369*130*NA,4,3,6.0,21.0,1
369*188*NA,7,3,12.0,21.0,1
370*NA*NA,5,3,12.0,21.0,2
373*224*NA,1,1,12.0,12.0,1
373*NA*NA,3,1,12.0,12.0,1
375*133*NA,2,2,9.0,15.0,1
376*NA*NA,1,1,12.0,12.0,1
381*NA*NA,8,4,6.0,15.0,1
383*139*NA,2,2,6.0,12.0,1
383*NA*NA,10,3,9.0,21.0,1
384*NA*NA,1,1,21.0,21.0,1
393*224*NA,1,1,21.0,21.0,1
393*NA*NA,5,3,12.0,21.0,1
402*343*NA,1,1,28.0,28.0,1
402*NA*NA,41,5,9.0,28.0,2
406*NA*NA,4,3,9.0,15.0,2
410*150*NA,11,6,6.0,28.0,1
410*314*NA,1,1,12.0,12.0,1
410*NA*NA,21,5,9.0,28.0,1
411*558*NA,16,3,12.0,21.0,1
411*NA*NA,11,5,9.0,28.0,2
413*NA*NA,1,1,6.0,6.0,1
414*NA*NA,4,4,6.0,15.0,1
418*NA*NA,1,1,9.0,9.0,1
419*NA*NA,1,1,12.0,12.0,1
420*499*NA,3,2,12.0,15.0,1
420*NA*NA,1,1,15.0,15.0,1
421*504*NA,1,1,28.0,28.0,1
421*NA*60,1,1,28.0,28.0,1
421*NA*66,1,1,28.0,28.0,1
421*NA*72,1,1,21.0,21.0,1
421*NA*102,2,2,21.0,28.0,1
421*NA*108,1,1,28.0,28.0,1
421*NA*113,1,1,21.0,21.0,1
421*NA*122,1,1,28.0,28.0,1
421*NA*124,2,1,28.0,28.0,1
421*NA*133,1,1,28.0,28.0,1
421*NA*138,1,1,28.0,28.0,1
421*NA*139,1,1,28.0,28.0,1
421*NA*143,1,1,28.0,28.0,1
421*NA*150,1,1,28.0,28.0,1
421*NA*169,1,1,28.0,28.0,1
421*NA*175,1,1,28.0,28.0,1
421*NA*196,1,1,28.0,28.0,1
421*NA*250,1,1,28.0,28.0,1
421*NA*NA,210,5,6.0,28.0,2
424*2*NA,2,2,9.0,15.0,1
424*237*NA,11,3,9.0,15.0,1
424*476*NA,4,2,12.0,15.0,1
424*647*NA,1,1,15.0,15.0,1
424*NA*NA,27,5,9.0,28.0,2
425*160*NA,4,2,12.0,15.0,1
426*566*NA,11,3,12.0,21.0,1
426*NA*NA,3,3,6.0,12.0,1
428*631*NA,3,2,12.0,15.0,1
431*714*NA,1,1,15.0,15.0,1
434*NA*NA,3,3,15.0,28.0,1
438*NA*NA,2,2,6.0,15.0,1
439*NA*NA,1,1,6.0,6.0,1
441*168*NA,2,1,12.0,12.0,1
444*346*NA,2,1,9.0,9.0,1
444*547*NA,1,1,12.0,12.0,1
445*NA*NA,1,1,12.0,12.0,1
446*NA*NA,3,3,6.0,15.0,1
447*NA*NA,1,1,9.0,9.0,1
449*NA*NA,11,4,9.0,21.0,1
450*NA*NA,4,4,6.0,21.0,1
451*NA*NA,3,2,6.0,12.0,1
460*253*NA,5,2,9.0,12.0,1
460*NA*NA,2,1,12.0,12.0,1
462*NA*NA,1,1,6.0,6.0,1
466*300*NA,3,2,9.0,12.0,1
466*NA*NA,2,2,12.0,28.0,1
467*NA*NA,5,2,9.0,12.0,1
469*165*NA,3,2,6.0,15.0,1
472*194*NA,1,1,21.0,21.0,1
472*NA*NA,1,1,9.0,9.0,1
474*391*NA,4,3,9.0,21.0,1
474*NA*NA,1,1,21.0,21.0,1
475*NA*NA,1,1,12.0,12.0,1
478*198*NA,5,2,12.0,15.0,1
478*NA*NA,10,3,9.0,15.0,1
480*NA*NA,1,1,12.0,12.0,1
481*NA*NA,1,1,12.0,12.0,1
487*204*31,2,1,15.0,15.0,1
487*204*37,2,2,15.0,21.0,1
487*204*43,2,1,15.0,15.0,1
487*204*47,1,1,15.0,15.0,1
487*204*57,2,1,21.0,21.0,1
487*204*83,2,1,21.0,21.0,1
487*204*104,2,1,21.0,21.0,1
487*204*111,2,1,21.0,21.0,1
487*204*128,1,1,21.0,21.0,1
487*204*NA,267,4,9.0,21.0,2
487*240*25,2,1,15.0,15.0,1
487*240*62,2,1,21.0,21.0,1
487*240*93,2,1,21.0,21.0,1
487*240*114,2,1,21.0,21.0,1
487*240*178,2,1,28.0,28.0,2
487*240*NA,229,5,9.0,28.0,2
487*488*47,1,1,15.0,15.0,1
487*488*NA,47,4,12.0,28.0,1
487*522*NA,1,1,21.0,21.0,1
487*764*NA,1,1,15.0,15.0,1
487*767*128,1,1,28.0,28.0,1
487*767*NA,6,2,21.0,28.0,1
487*770*NA,4,2,21.0,28.0,1
487*779*NA,6,2,21.0,28.0,2
487*784*NA,2,1,28.0,28.0,1
487*NA*110,2,1,21.0,21.0,1
487*NA*NA,58,4,12.0,28.0,2
490*NA*NA,1,1,15.0,15.0,1
491*153*NA,4,2,9.0,15.0,1
491*408*NA,7,3,9.0,21.0,1
491*479*NA,7,3,12.0,21.0,1
491*NA*NA,3,2,12.0,21.0,2
492*NA*NA,6,2,9.0,12.0,1
493*222*NA,1,1,15.0,15.0,1
493*324*NA,1,1,15.0,15.0,1
493*326*NA,2,2,21.0,28.0,1
493*329*53,1,1,21.0,21.0,1
493*329*NA,1,1,28.0,28.0,1
493*395*NA,1,1,28.0,28.0,1
493*477*NA,1,1,28.0,28.0,1
493*478*NA,4,2,12.0,28.0,2
493*522*NA,1,1,28.0,28.0,1
493*588*NA,1,1,15.0,15.0,1
493*636*NA,1,1,28.0,28.0,1
493*676*NA,1,1,28.0,28.0,1
493*766*155,1,1,28.0,28.0,1
493*766*NA,5,2,21.0,28.0,2
493*795*NA,1,1,28.0,28.0,1
493*796*NA,1,1,28.0,28.0,1
493*NA*7,2,1,15.0,15.0,1
493*NA*9,1,1,15.0,15.0,1
493*NA*12,2,1,15.0,15.0,1
493*NA*14,2,2,15.0,28.0,2
493*NA*15,2,1,15.0,15.0,1
493*NA*18,2,2,15.0,21.0,1
493*NA*27,2,1,15.0,15.0,1
493*NA*29,2,1,15.0,15.0,1
493*NA*38,2,2,15.0,28.0,1
493*NA*42,2,1,15.0,15.0,1
493*NA*44,2,1,15.0,15.0,1
493*NA*49,2,1,15.0,15.0,1
493*NA*52,2,1,21.0,21.0,1
493*NA*53,1,1,21.0,21.0,1
493*NA*54,2,2,21.0,28.0,2
493*NA*56,2,1,21.0,21.0,2
493*NA*58,3,2,21.0,28.0,2
493*NA*60,1,1,21.0,21.0,1
493*NA*63,2,2,21.0,28.0,1
493*NA*64,2,2,21.0,28.0,1
493*NA*66,4,1,28.0,28.0,2
493*NA*68,2,2,21.0,28.0,1
493*NA*74,1,1,21.0,21.0,1
493*NA*76,1,1,21.0,21.0,1
493*NA*82,1,1,21.0,21.0,1
493*NA*84,2,1,21.0,21.0,1
493*NA*91,2,1,21.0,21.0,1
493*NA*92,3,1,21.0,21.0,1
493*NA*96,4,2,21.0,28.0,1
493*NA*98,2,2,21.0,28.0,2
493*NA*101,1,1,21.0,21.0,1
493*NA*102,2,2,21.0,28.0,2
493*NA*108,3,2,21.0,28.0,2
493*NA*109,3,2,21.0,28.0,1
493*NA*113,1,1,28.0,28.0,1
493*NA*117,1,1,21.0,21.0,1
493*NA*118,1,1,21.0,21.0,1
493*NA*119,1,1,21.0,21.0,1
493*NA*121,2,2,21.0,28.0,1
493*NA*122,2,2,21.0,28.0,1
493*NA*123,1,1,21.0,21.0,1
493*NA*124,6,2,21.0,28.0,2
493*NA*125,1,1,21.0,21.0,1
493*NA*127,2,2,21.0,28.0,2
493*NA*129,1,1,21.0,21.0,1
493*NA*130,1,1,28.0,28.0,1
493*NA*131,1,1,21.0,21.0,1
493*NA*132,3,2,21.0,28.0,2
493*NA*133,1,1,28.0,28.0,1
493*NA*134,2,1,28.0,28.0,1
493*NA*135,6,1,28.0,28.0,2
493*NA*136,3,1,28.0,28.0,1
493*NA*137,2,1,28.0,28.0,1
493*NA*139,1,1,28.0,28.0,1
493*NA*140,1,1,28.0,28.0,1
493*NA*141,1,1,28.0,28.0,1
493*NA*143,7,1,28.0,28.0,2
493*NA*145,1,1,28.0,28.0,1
493*NA*148,2,1,28.0,28.0,2
493*NA*150,3,1,28.0,28.0,2
493*NA*153,1,1,28.0,28.0,1
493*NA*155,3,1,28.0,28.0,2
493*NA*156,1,1,28.0,28.0,1
493*NA*162,2,1,28.0,28.0,2
493*NA*164,1,1,28.0,28.0,1
493*NA*165,1,1,28.0,28.0,1
493*NA*168,2,1,28.0,28.0,1
493*NA*169,2,1,28.0,28.0,1
