dataset,permutation,random_gene_score,random_activation_effect,random_receiver_priming_effect,random_ge_observed,observed_score,observed_activation_effect,observed_receiver_priming_effect
internal_native,0,0.036796875410910146,0.03808277893891046,0.04894830872699307,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,1,0.07201247893117557,0.07275499819516718,0.07152566354940332,True,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,2,0.06621350101941618,0.0671386526840407,0.07618493570204593,True,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,3,0.04898371664799027,0.049025568023476046,0.03981859178421138,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,4,0.052340660755797234,0.05304769045805138,0.05439393783473567,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,5,0.05568910676497288,0.056514282173069724,0.051337533716789674,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,6,0.03676945103478156,0.037943635996679326,0.03765022879723329,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,7,0.07156301744399385,0.07152401342580111,0.08130395864369233,True,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,8,0.048436749905006835,0.048945988123487216,0.05378227514663286,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,9,0.06568469370188446,0.06645882108522583,0.07202676426092541,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,10,0.05732812296445673,0.05865904283580789,0.05887552029739329,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,11,0.06447279949089749,0.06483321301600098,0.0634449012469761,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,12,0.04032284961338798,0.04166109339355267,0.04610103186417802,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,13,0.045146267168937416,0.045615546959592884,0.04260187151909267,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,14,0.06608604685653617,0.06649610188781838,0.07684031284927179,True,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,15,0.07894210000081409,0.07750913567823445,0.07103140307089278,True,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,16,0.06327275473241162,0.06390912861447842,0.07451831731144548,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,17,0.05279187060842565,0.05280920303510636,0.05701822900332332,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,18,0.04241796754698407,0.04162255264780518,0.033829909467363584,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,19,0.07333797321473447,0.07263381028120422,0.06978974350725858,True,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,20,0.0766616274485202,0.07627820669261554,0.07587614994206887,True,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,21,0.055111701862545645,0.055860474827911455,0.05653610093734063,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,22,0.06952657264621814,0.07067971356069924,0.06750127316134269,True,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,23,0.04935434097902517,0.048220878416807555,0.050309538434978596,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
internal_native,24,0.047063004163076114,0.04827626180145242,0.06735047285980372,False,0.06575418842511922,0.06693840252113911,0.07086824854670304
E1_MouseGastrulationData,0,-0.05923001148957535,-0.06522230630274933,-0.07352257509990995,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,1,-0.02784999722861093,-0.031903591509176044,0.010212810238983794,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,2,-0.06962963216993796,-0.076355916429801,-0.11802396516839625,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,3,-0.05260814578940496,-0.059220731254511216,-0.07760918591416949,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,4,-0.04483992925877251,-0.054073262352643536,-0.06839508711881037,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,5,-0.05461632173798436,-0.0644270814490761,-0.0987852599519018,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,6,-0.03402992206940424,-0.04053638145327895,-0.06447898926529694,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,7,-0.05675406077921536,-0.06560018716197194,-0.087316567837525,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,8,-0.060785794680037517,-0.06778200864214032,-0.09648511142806748,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,9,-0.044666392301419285,-0.05274060885243517,-0.1503746257717548,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,10,-0.06667002535160738,-0.07349056693580175,-0.11169814409544593,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,11,-0.055490652433281024,-0.06273673606565328,-0.020010262572690563,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
