dataset,neighbor_rule,k_or_radius,n_neighbors_mean,n_neighbors_std,branch_event_detected,lineage_separation_effect,normalized_separation_effect,alignment_effect,entropy_effect,density_effect,teacher_fidelity_tier,composition_rmse,seed_stability,permutation_p,permutation_q,negative_control_pass,external_direction_match,runtime,interpretation
internal,random,1.0,1.0,0.0,True,0.9216883983831595,0.04646143067352007,0.03249873013312896,-0.23445884275278916,-0.0036472839080171717,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.39441960002295673,divergence_or_no_condensation
internal,random,2.0,2.0,0.0,True,0.8916245718417244,0.030891444936903392,-0.07457369694632494,-0.07639201644078912,-0.0028631319620447634,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.4163249999983236,divergence_or_no_condensation
internal,random,3.0,3.0,0.0,True,-1.8066001050430505,-0.05287137572601024,-0.19086587311374478,0.36871396182976923,0.006129124669237314,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.44367999996757135,condensation
internal,random,5.0,5.0,0.0,True,2.369050730088103,0.07287066904705534,-0.012618458381101623,-0.3707874279129731,-0.015514281248389402,acceptable,,True,0.3482587064676617,0.41791044776119407,True,False,0.47548429999733344,divergence_or_no_condensation
internal,random,7.0,7.0,0.0,True,-1.8253785908013331,-0.05161828189384723,-0.1929030904260819,0.36871396182976923,0.011424753196860473,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.4420166999916546,condensation
internal,random,9.0,9.0,0.0,True,1.1938937599147106,0.038408741198078904,-0.06082785915638891,-0.22007686111459876,-0.014058080600488595,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.4432481999974698,divergence_or_no_condensation
internal,random,12.0,12.0,0.0,True,1.2584542988546186,0.040493289695286226,-0.06176797668644227,-0.22007686111459876,-0.020897769670939925,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.43858279997948557,divergence_or_no_condensation
internal,random,15.0,15.0,0.0,True,-0.29291387161852595,-0.006034257215012368,-0.12536988213537067,0.07431855035758524,-0.0005954191821528898,acceptable,,False,0.3482587064676617,0.41791044776119407,False,True,0.45958190003875643,condensation
internal,random,20.0,20.0,0.0,True,-1.9011432008997886,-0.053821572395993146,-0.19296916675580847,0.36871396182976923,0.035110708787707647,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.4739918000414036,condensation
internal,random,30.0,30.0,0.0,True,1.2873332451277477,0.041175826377393865,-0.06248898930261674,-0.22007686111459876,-0.048723497793660954,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.4546286999830045,divergence_or_no_condensation
E1,random,1.0,1.0,0.0,True,-1.6889782532133968,-0.14931085176264083,-0.09120096464070203,-0.45668848663773626,0.007227868126594705,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.16131060000043362,condensation
E1,random,2.0,2.0,0.0,True,-1.3074892966476372,-0.10711663271600763,-0.09101462737192245,-0.45668848663773626,0.018501944651915996,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.1577087999903597,condensation
E1,random,3.0,3.0,0.0,True,-1.3048423102861377,-0.10558626629354247,-0.08636037413897284,-0.45668848663773626,0.035421797469727345,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.16466180002316833,condensation
E1,random,5.0,5.0,0.0,True,-1.194452216460137,-0.09658879227857393,-0.08868661581129104,-0.45668848663773626,0.05041367402788246,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.18009099998744205,condensation
E1,random,7.0,7.0,0.0,True,-1.1609561392382772,-0.09379410461118803,-0.08463673999195065,-0.45668848663773626,0.07107354379496962,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.17037030000938103,condensation
E1,random,9.0,9.0,0.0,True,-1.2281555688159216,-0.09938657577562583,-0.08784269478812652,-0.45668848663773626,0.09657770825152001,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.1779683000058867,condensation
E1,random,12.0,12.0,0.0,True,-1.2082836766728804,-0.09750078001169953,-0.08524301177977699,-0.45668848663773626,0.12686038115538545,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.17075370001839474,condensation
E1,random,15.0,15.0,0.0,True,-1.199814636300444,-0.09694622635640764,-0.08586378644701849,-0.45668848663773626,0.15377961842016682,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.17017869994742796,condensation
E1,random,20.0,20.0,0.0,True,-1.2752213385282485,-0.10295881738886985,-0.08579973201019984,-0.45668848663773626,0.21936857724882128,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.1798605999792926,condensation
E1,random,30.0,30.0,0.0,True,-1.2846932835088314,-0.103706160802908,-0.08590885067017877,-0.45668848663773626,0.334163697106276,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.19449829997029155,condensation
L2,random,1.0,1.0,0.0,True,6.232397265904822,13.265465734195272,-0.12678296463945857,0.09667453732044184,-0.011663854554731698,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.2469384999712929,divergence_or_no_condensation
L2,random,2.0,2.0,0.0,True,8.931373204786803,13.398154369991758,-0.12396550667063805,0.09667453732044184,-0.02350110482891879,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.25419319997308776,divergence_or_no_condensation
L2,random,3.0,3.0,0.0,True,10.38677061661631,11.485088706637185,-0.12271584461089559,0.09667453732044184,-0.03344547458357138,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.254135099996347,divergence_or_no_condensation
L2,random,5.0,5.0,0.0,True,12.04243869008546,8.678871387357178,-0.12265625176426316,0.09667453732044184,-0.0559375372945333,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.2771879999781959,divergence_or_no_condensation
