seed,variant,step,time,local_velocity_alignment_A,branch_cohesion_C,lineage_separation_S,fate_entropy_H,branch_imbalance_B,local_density_mean,local_density_var,n_agents,per_lineage_counts
7,M7_ot_swarm_birth_death_diffusion,0,14.25,0.5847787857055664,0.9000533434973828,17.354738726236942,0.1449895680038748,0.0,0.3309445233968714,0.1167296007625093,900,"{""erythroid"": 300, ""mesoderm_muscle"": 300, ""neural"": 300}"
7,M7_ot_swarm_birth_death_diffusion,1,14.5,0.6295006275177002,0.8979625715499802,17.354930772663305,0.150194099357006,0.0349099099099099,0.3416663874897695,0.1188887849899552,888,"{""erythroid"": 308, ""mesoderm_muscle"": 303, ""neural"": 277}"
7,M7_ot_swarm_birth_death_diffusion,2,14.75,0.6724323630332947,0.8954848054463559,17.386760148187946,0.1519552478800732,0.0416197975253093,0.3383598148750529,0.1127549998574631,889,"{""erythroid"": 310, ""mesoderm_muscle"": 306, ""neural"": 273}"
7,M7_ot_swarm_birth_death_diffusion,3,15.0,0.7101686000823975,0.890851282330864,17.25340896563787,0.1600202066209926,0.0426966292134831,0.3378207243495583,0.1088992873944802,890,"{""erythroid"": 304, ""mesoderm_muscle"": 312, ""neural"": 274}"
7,M8_ot_swarm_birth_death_diffusion_cci,0,14.25,0.5847700238227844,0.9000533434973828,17.354738726236942,0.1449895680038748,0.0,0.3309445233968714,0.1167296007625093,900,"{""erythroid"": 300, ""mesoderm_muscle"": 300, ""neural"": 300}"
7,M8_ot_swarm_birth_death_diffusion_cci,1,14.5,0.6294959783554077,0.8979623799713318,17.35490986667919,0.150194099357006,0.0349099099099099,0.341666926681823,0.1188881011559444,888,"{""erythroid"": 308, ""mesoderm_muscle"": 303, ""neural"": 277}"
7,M8_ot_swarm_birth_death_diffusion_cci,2,14.75,0.6724308133125305,0.8954819714227383,17.38672768757439,0.1519552478800732,0.0416197975253093,0.3383669170649672,0.1127520485089741,889,"{""erythroid"": 310, ""mesoderm_muscle"": 306, ""neural"": 273}"
7,M8_ot_swarm_birth_death_diffusion_cci,3,15.0,0.7101728320121765,0.8908446718277675,17.25336356510262,0.1600202066209926,0.0426966292134831,0.3377765954834915,0.1089115385296294,890,"{""erythroid"": 304, ""mesoderm_muscle"": 312, ""neural"": 274}"
7,M9_full_memory,0,14.25,0.578853189945221,0.9000533434973828,17.354738726236942,0.1449895680038748,0.0,0.3309445233968714,0.1167296007625093,900,"{""erythroid"": 300, ""mesoderm_muscle"": 300, ""neural"": 300}"
7,M9_full_memory,1,14.5,0.6248472929000854,0.8979463524283446,17.360818006028254,0.150194099357006,0.0349099099099099,0.3416507989312299,0.1187795497829588,888,"{""erythroid"": 308, ""mesoderm_muscle"": 303, ""neural"": 277}"
7,M9_full_memory,2,14.75,0.6692646741867065,0.8954048591483836,17.39666015697766,0.1519552478800732,0.0416197975253093,0.3375677800639989,0.1128517145699651,889,"{""erythroid"": 310, ""mesoderm_muscle"": 306, ""neural"": 273}"
7,M9_full_memory,3,15.0,0.7078519463539124,0.8907183791962127,17.26591774290351,0.1600202066209926,0.0426966292134831,0.3387257540713849,0.1086837374467248,890,"{""erythroid"": 304, ""mesoderm_muscle"": 312, ""neural"": 274}"
17,M7_ot_swarm_birth_death_diffusion,0,14.25,0.5834468603134155,0.9003016187855816,17.38347384005787,0.1442118558196352,0.0166666666666666,0.3278601367469131,0.1183978221197856,900,"{""erythroid"": 294, ""mesoderm_muscle"": 297, ""neural"": 309}"
17,M7_ot_swarm_birth_death_diffusion,1,14.5,0.6232505440711975,0.8983917180292168,17.205951131994482,0.1503069471639656,0.0056561085972851,0.3388015016326003,0.1191839043982402,884,"{""erythroid"": 293, ""mesoderm_muscle"": 298, ""neural"": 293}"
17,M7_ot_swarm_birth_death_diffusion,2,14.75,0.6683223843574524,0.8937960218556505,17.087949530149405,0.1592181365491129,0.0123456790123456,0.3474071086891127,0.1209364236857023,891,"{""erythroid"": 298, ""mesoderm_muscle"": 291, ""neural"": 302}"
17,M7_ot_swarm_birth_death_diffusion,3,15.0,0.7076885104179382,0.885620680816271,16.92375452535086,0.1633171351967492,0.0173812282734646,0.3515588595291676,0.1186905478106195,863,"{""erythroid"": 296, ""mesoderm_muscle"": 281, ""neural"": 286}"
17,M8_ot_swarm_birth_death_diffusion_cci,0,14.25,0.5834456086158752,0.9003016187855816,17.38347384005787,0.1442118558196352,0.0166666666666666,0.3278601367469131,0.1183978221197856,900,"{""erythroid"": 294, ""mesoderm_muscle"": 297, ""neural"": 309}"
17,M8_ot_swarm_birth_death_diffusion_cci,1,14.5,0.623249888420105,0.8983912350390235,17.205947235618947,0.1503069471639656,0.0056561085972851,0.338802486482853,0.119183486389504,884,"{""erythroid"": 293, ""mesoderm_muscle"": 298, ""neural"": 293}"
17,M8_ot_swarm_birth_death_diffusion_cci,2,14.75,0.6683220267295837,0.8937953706636906,17.0879404153278,0.1592181365491129,0.0123456790123456,0.3474086056572891,0.1209357394978314,891,"{""erythroid"": 298, ""mesoderm_muscle"": 291, ""neural"": 302}"
17,M8_ot_swarm_birth_death_diffusion_cci,3,15.0,0.7077006697654724,0.8856196581576651,16.923748218890204,0.1633171351967492,0.0173812282734646,0.3515398216636733,0.1186965973656023,863,"{""erythroid"": 296, ""mesoderm_muscle"": 281, ""neural"": 286}"
17,M9_full_memory,0,14.25,0.577400267124176,0.9003016187855816,17.38347384005787,0.1442118558196352,0.0166666666666666,0.3278601367469131,0.1183978221197856,900,"{""erythroid"": 294, ""mesoderm_muscle"": 297, ""neural"": 309}"
17,M9_full_memory,1,14.5,0.6182478070259094,0.8983337240553967,17.212213963680192,0.1503069471639656,0.0056561085972851,0.3385762916723834,0.1191143536028781,884,"{""erythroid"": 293, ""mesoderm_muscle"": 298, ""neural"": 293}"
17,M9_full_memory,2,14.75,0.6647411584854126,0.8936685004956377,17.098579762708184,0.1592181365491129,0.0123456790123456,0.3473128229281937,0.120833746641828,891,"{""erythroid"": 298, ""mesoderm_muscle"": 291, ""neural"": 302}"
17,M9_full_memory,3,15.0,0.7052745819091797,0.8853460089580644,16.937716651448802,0.1633171351967492,0.0173812282734646,0.3524113665365441,0.11872634498312,863,"{""erythroid"": 296, ""mesoderm_muscle"": 281, ""neural"": 286}"
23,M7_ot_swarm_birth_death_diffusion,0,14.25,0.5750576853752136,0.9010405907451552,17.27945550070031,0.1469101367146256,0.0088888888888888,0.3349597890618296,0.1199172617168179,900,"{""erythroid"": 302, ""mesoderm_muscle"": 303, ""neural"": 295}"
23,M7_ot_swarm_birth_death_diffusion,1,14.5,0.615337610244751,0.901266175366059,17.28261607917643,0.1500114718373094,0.0388127853881278,0.3450488881282156,0.1259231139059802,876,"{""erythroid"": 304, ""mesoderm_muscle"": 302, ""neural"": 270}"
