seed,variant,density_bin,local_density,empirical_birth_rate_by_density_bin,empirical_death_rate_by_density_bin,empirical_net_growth_rate_by_density_bin,event_count
7,M10_shuffled_time_ot,"(0.999, 3523.875]",0.08911215673124852,0.5246478873239436,0.4753521126760563,0.04929577464788732,284
7,M10_shuffled_time_ot,"(10569.625, 14092.5]",0.13011377512342784,0.4327731092436975,0.5672268907563025,-0.13445378151260504,238
7,M10_shuffled_time_ot,"(17615.375, 21138.25]",0.7408265613015556,0.5391304347826087,0.4608695652173913,0.0782608695652174,230
7,M11_random_lr_labels,"(0.999, 3523.875]",0.08911215673124852,0.4782608695652174,0.5217391304347826,-0.043478260869565216,230
7,M11_random_lr_labels,"(10569.625, 14092.5]",0.13011377512342787,0.5267489711934157,0.4732510288065844,0.053497942386831275,243
7,M11_random_lr_labels,"(17615.375, 21138.25]",0.7408265613015554,0.4883720930232558,0.5116279069767442,-0.023255813953488372,258
7,M11_random_lr_labels,"(21138.25, 24661.125]",0.7408265613015554,1.0,0.0,1.0,8
7,M3_ot_birth_death,"(0.999, 3523.875]",0.0891121567312485,0.5156794425087108,0.4843205574912892,0.0313588850174216,287
7,M3_ot_birth_death,"(17615.375, 21138.25]",0.7408265613015554,0.536697247706422,0.463302752293578,0.07339449541284404,218
7,M3_ot_birth_death,"(7046.75, 10569.625]",0.13011377512342784,0.4435146443514644,0.5564853556485355,-0.11297071129707113,239
7,M6_ot_swarm_birth_death,"(0.999, 3523.875]",0.08911215673124852,0.5173611111111112,0.4826388888888889,0.034722222222222224,288
7,M6_ot_swarm_birth_death,"(17615.375, 21138.25]",0.7408265613015554,0.536697247706422,0.463302752293578,0.07339449541284404,218
7,M6_ot_swarm_birth_death,"(7046.75, 10569.625]",0.13011377512342784,0.4435146443514644,0.5564853556485355,-0.11297071129707113,239
7,M7_ot_swarm_birth_death_diffusion,"(0.999, 3523.875]",0.0891121567312485,0.5156794425087108,0.4843205574912892,0.0313588850174216,287
7,M7_ot_swarm_birth_death_diffusion,"(17615.375, 21138.25]",0.7408265613015554,0.536697247706422,0.463302752293578,0.07339449541284404,218
7,M7_ot_swarm_birth_death_diffusion,"(7046.75, 10569.625]",0.13011377512342787,0.44583333333333336,0.5541666666666667,-0.10833333333333334,240
7,M8_ot_swarm_birth_death_diffusion_cci,"(0.999, 3523.875]",0.0891121567312485,0.5156794425087108,0.4843205574912892,0.0313588850174216,287
7,M8_ot_swarm_birth_death_diffusion_cci,"(10569.625, 14092.5]",0.13011377512342792,0.5576923076923077,0.4423076923076923,0.11538461538461539,156
7,M8_ot_swarm_birth_death_diffusion_cci,"(17615.375, 21138.25]",0.7408265613015554,0.536697247706422,0.463302752293578,0.07339449541284404,218
7,M8_ot_swarm_birth_death_diffusion_cci,"(7046.75, 10569.625]",0.13011377512342792,0.23809523809523808,0.7619047619047619,-0.5238095238095238,84
7,M9_full_memory,"(0.999, 3523.875]",0.0891121567312485,0.5156794425087108,0.4843205574912892,0.0313588850174216,287
7,M9_full_memory,"(10569.625, 14092.5]",0.13011377512342787,0.44583333333333336,0.5541666666666667,-0.10833333333333334,240
7,M9_full_memory,"(17615.375, 21138.25]",0.7408265613015554,0.536697247706422,0.463302752293578,0.07339449541284404,218
