dataset,control,observed_score,control_score,negative_control_pass
internal_native,time_shuffle,0.2917397344114968,0.6716639813859073,False
internal_native,lineage_label_shuffle,0.2917397344114968,0.7203595969966838,False
internal_native,regulon_activity_shuffle,0.2917397344114968,0.5043020453670009,False
internal_native,random_tf_program,0.2917397344114968,0.3147145086899631,False
E1_MouseGastrulationData,time_shuffle,0.14126159748861664,0.4858782467031465,False
E1_MouseGastrulationData,lineage_label_shuffle,0.14126159748861664,1.064956552117855,False
E1_MouseGastrulationData,regulon_activity_shuffle,0.14126159748861664,0.06714003266952989,True
E1_MouseGastrulationData,random_tf_program,0.14126159748861664,0.7364817800415423,False
E3_MouseGastrulationData_full,time_shuffle,0.6938285448819709,2.045210240785952,False
E3_MouseGastrulationData_full,lineage_label_shuffle,0.6938285448819709,0.8380319240515466,False
E3_MouseGastrulationData_full,regulon_activity_shuffle,0.6938285448819709,0.6325525695804349,False
E3_MouseGastrulationData_full,random_tf_program,0.6938285448819709,1.1133481689196034,False
E5_zebrafish_Farrell,time_shuffle,3.1644298238097512,0.8094760414885334,True
E5_zebrafish_Farrell,lineage_label_shuffle,3.1644298238097512,1.5534081327524605,True
E5_zebrafish_Farrell,regulon_activity_shuffle,3.1644298238097512,1.7399123948298416,True
E5_zebrafish_Farrell,random_tf_program,3.1644298238097512,1.7347530164531764,True
GSE154572_EB_proxy,time_shuffle,3.5791556172697,1.163558602699299,True
GSE154572_EB_proxy,lineage_label_shuffle,3.5791556172697,0.7452405450552362,True
GSE154572_EB_proxy,regulon_activity_shuffle,3.5791556172697,0.9913270811854845,True
GSE154572_EB_proxy,random_tf_program,3.5791556172697,1.1559337855125589,True
