dataset,source,window_type,branch_window_score,lineage_separation_effect,alignment_effect,entropy_effect,negative_control_clean,support_tier,interpretation
internal_native,M5_ot_swarm_rollout,condensation_before_divergence,0.2658223551991732,-0.2658223551991732,0.0369052052497863,0.0,True,strong,transient_condensation_before_divergence
E1_MouseGastrulationData,external_time_series,condensation_before_divergence,1.1248865582615797,-1.1248865582615797,0.0195906639099121,0.0,True,acceptable,transient_condensation_before_divergence
E5_CellRank_Farrell_zebrafish_axial_mesoderm,developmental_atlas,divergence_without_condensation,0.2359743154757238,0.1042045811958631,0.144537226150542,-0.0024806261062622,False,weak,a branch event is detected but condensation-before-divergence direction is incomplete
E2_GSE212050_gastruloid_native_atlas,developmental_atlas,no_branch_or_false_positive_window,-0.0891699128578668,-0.2089331022116516,-0.0426848821001093,-0.0405249595642089,True,fail,score_below_pre_registered_threshold
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,developmental_atlas,condensation_before_divergence,0.1266241455991187,-0.1164237652771644,0.0410679016719987,0.1005545854568481,False,weak,"branch-window signature direction is present, but teacher backend, controls or baseline specificity limit support"
