dataset_id,sampling_strategy,model,outcome,control,control_effect,control_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_fate_entropy,clone_label_shuffle,-0.02301085907631513,0.7678629261959166,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_fate_entropy,time_label_shuffle,-0.11553312362305376,0.13707124893219014,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_fate_entropy,exposure_shuffle,-0.09672330477857473,0.21369467105874998,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_fate_entropy,teacher_velocity_shuffle,-0.1051728163416386,0.17615833974244574,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_lineage_entropy,outcome_label_shuffle,-0.11568219279257053,0.13656172636408553,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_lineage_entropy,clone_label_shuffle,-0.020002372200613155,0.7975093437883021,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_lineage_entropy,time_label_shuffle,0.08931727740212819,0.2510263674506262,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_lineage_entropy,exposure_shuffle,0.11082841028815343,0.15390939187664593,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_lineage_entropy,teacher_velocity_shuffle,-0.02830507321794084,0.716524533982098,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,clone_multilineage_score,outcome_label_shuffle,-0.028314107713063065,0.7164379276169007,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,clone_multilineage_score,clone_label_shuffle,-0.012045240621710699,0.8772192381227661,True
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,clone_multilineage_score,time_label_shuffle,0.06703821243071353,0.3893555986832772,True
