seed,time,event,parent_index,lineage,variant,step
7,14.25,death,889,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,death,894,neural,M3_ot_birth_death,0
7,14.25,death,899,neural,M3_ot_birth_death,0
7,14.25,birth,8,neural,M3_ot_birth_death,0
7,14.25,birth,15,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,34,erythroid,M3_ot_birth_death,0
7,14.25,birth,35,erythroid,M3_ot_birth_death,0
7,14.25,birth,38,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,53,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,59,erythroid,M3_ot_birth_death,0
7,14.25,birth,62,erythroid,M3_ot_birth_death,0
7,14.25,birth,64,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,83,erythroid,M3_ot_birth_death,0
7,14.25,birth,88,neural,M3_ot_birth_death,0
7,14.25,birth,112,erythroid,M3_ot_birth_death,0
7,14.25,birth,133,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,136,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,139,neural,M3_ot_birth_death,0
7,14.25,birth,142,neural,M3_ot_birth_death,0
7,14.25,birth,181,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,184,erythroid,M3_ot_birth_death,0
7,14.25,birth,206,neural,M3_ot_birth_death,0
7,14.25,birth,207,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,216,erythroid,M3_ot_birth_death,0
7,14.25,birth,221,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,227,erythroid,M3_ot_birth_death,0
7,14.25,birth,248,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,270,neural,M3_ot_birth_death,0
7,14.25,birth,272,neural,M3_ot_birth_death,0
7,14.25,birth,290,erythroid,M3_ot_birth_death,0
7,14.25,birth,298,neural,M3_ot_birth_death,0
7,14.25,birth,300,erythroid,M3_ot_birth_death,0
7,14.25,birth,307,neural,M3_ot_birth_death,0
7,14.25,birth,311,erythroid,M3_ot_birth_death,0
7,14.25,birth,319,erythroid,M3_ot_birth_death,0
7,14.25,birth,335,erythroid,M3_ot_birth_death,0
7,14.25,birth,340,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,341,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,343,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,348,erythroid,M3_ot_birth_death,0
7,14.25,birth,353,neural,M3_ot_birth_death,0
7,14.25,birth,362,neural,M3_ot_birth_death,0
7,14.25,birth,365,erythroid,M3_ot_birth_death,0
7,14.25,birth,406,erythroid,M3_ot_birth_death,0
7,14.25,birth,412,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,427,neural,M3_ot_birth_death,0
7,14.25,birth,444,erythroid,M3_ot_birth_death,0
7,14.25,birth,448,erythroid,M3_ot_birth_death,0
7,14.25,birth,452,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,456,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,487,neural,M3_ot_birth_death,0
7,14.25,birth,499,erythroid,M3_ot_birth_death,0
7,14.25,birth,528,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,552,neural,M3_ot_birth_death,0
7,14.25,birth,553,erythroid,M3_ot_birth_death,0
7,14.25,birth,563,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,570,neural,M3_ot_birth_death,0
7,14.25,birth,580,erythroid,M3_ot_birth_death,0
