dataset_id,sampling_strategy,model,outcome,outcome_primary,n_clones,raw_effect,raw_p,bootstrap_ci_low,bootstrap_ci_high,covariate_adjusted_effect,adjusted_r2,n_adjusted,within_start_time_bin_effect,clone_size_matched_effect,time_span_matched_effect,permutation_q,support_tier
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,condensation_only,terminal_fate_entropy,True,42,0.10736181040576614,0.498566874341661,-0.07318568953304697,0.2955206657677311,0.18860363771904642,0.403030592719162,42,0.10736181040576616,0.4180039147272101,0.18477423110407906,0.5643564356435643,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,condensation_only,terminal_lineage_entropy,False,42,0.10736181040576614,0.498566874341661,-0.07318568953304697,0.2955206657677311,0.18860363771904642,0.403030592719162,42,0.10736181040576616,0.4180039147272101,0.18477423110407906,0.5643564356435643,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,condensation_only,clone_multilineage_score,False,42,0.11068804564480778,0.48527656891378,-0.07318568953304697,0.2955206657677311,0.19651665533330154,0.4128314759633661,42,0.11068804564480778,0.447213595499958,0.18477423110407906,0.5742574257425742,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,condensation_only,clone_branch_count,False,42,0.11068804564480778,0.48527656891378,-0.07318568953304697,0.2955206657677311,0.19651665533330154,0.4128314759633661,42,0.11068804564480778,0.447213595499958,0.18477423110407906,0.5742574257425742,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,condensation_only,clone_fate_diversification_index,False,42,0.10736181040576614,0.498566874341661,-0.07318568953304697,0.2955206657677311,0.15694061964271058,0.36647565645714464,42,0.10736181040576616,0.4180039147272101,0.18477423110407906,0.5643564356435643,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,condensation_only,clone_transition_entropy,False,42,0.008158410093390979,0.9591042211287942,-0.3138584852047849,0.3296452707331272,0.030266625596674212,0.48167130529686775,42,0.008158410093390979,0.03252906444724074,0.04873885530527136,0.9702970297029703,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,terminal_fate_entropy,True,42,-0.04830183699236923,0.7613090949475089,-0.21721356496262195,0.0923280409007365,-0.13988974857201522,0.387470935508865,42,-0.04830183699236922,0.05393598899705936,-0.13527507426461802,0.8415841584158416,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,terminal_lineage_entropy,False,42,-0.04830183699236923,0.7613090949475089,-0.21721356496262195,0.0923280409007365,-0.13988974857201522,0.387470935508865,42,-0.04830183699236922,0.05393598899705936,-0.13527507426461802,0.8415841584158416,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_multilineage_score,False,42,-0.046120019018669904,0.7717962870502444,-0.21629839380133134,0.09238446811745464,-0.14346865710322437,0.39552789759200335,42,-0.046120019018669904,0.07453559924999299,-0.13527507426461802,0.8613861386138614,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_branch_count,False,42,-0.046120019018669904,0.7717962870502444,-0.21629839380133134,0.09238446811745464,-0.14346865710322437,0.39552789759200335,42,-0.046120019018669904,0.07453559924999299,-0.13527507426461802,0.8613861386138614,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_fate_diversification_index,False,42,-0.04830183699236923,0.7613090949475089,-0.21721356496262195,0.0923280409007365,-0.12469674999145619,0.35694191263273845,42,-0.04830183699236922,0.05393598899705936,-0.13527507426461802,0.8415841584158416,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_transition_entropy,False,42,0.011953019439154222,0.940111867720518,-0.2916200698434431,0.30620126460697494,-0.09869237483313022,0.4869998491058902,42,0.011953019439154222,-0.049839522112915244,0.08943226373216902,0.9603960396039604,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_fate_entropy,True,42,-0.09199304409001231,0.5623044833671095,-0.21704193239307087,-0.0017733642215577413,-0.2364804756671254,0.401906017149224,42,-0.09199304409001231,0.08090398349558905,-0.027631373961221877,0.5346534653465347,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_lineage_entropy,False,42,-0.09199304409001231,0.5623044833671095,-0.21704193239307087,-0.0017733642215577413,-0.2364804756671254,0.401906017149224,42,-0.09199304409001231,0.08090398349558905,-0.027631373961221877,0.5346534653465347,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_multilineage_score,False,42,-0.09224003803733981,0.5612510065990308,-0.21772006051508566,-0.0017733642215577413,-0.22264264348773416,0.40631493324434154,42,-0.09224003803733981,0.07453559924999299,-0.027631373961221877,0.5643564356435643,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_branch_count,False,42,-0.09224003803733981,0.5612510065990308,-0.21772006051508566,-0.0017733642215577413,-0.22264264348773416,0.40631493324434154,42,-0.09224003803733981,0.07453559924999299,-0.027631373961221877,0.5643564356435643,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_fate_diversification_index,False,42,-0.09199304409001231,0.5623044833671095,-0.21704193239307087,-0.0017733642215577413,-0.2828004556119452,0.38530022927667784,42,-0.09199304409001231,0.08090398349558905,-0.027631373961221877,0.5346534653465347,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_transition_entropy,False,42,0.4716699416783714,0.0016145645060384461,0.25490714399835157,0.6646706541967345,0.10911220153283645,0.4866153088955203,42,0.47166994167837145,0.5583689222036361,0.45477540697092556,0.009900990099009901,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,terminal_fate_entropy,True,42,-0.24765669148814767,0.1138076401219942,-0.4456075712983948,-0.11318267536464348,-0.44298536394633736,0.4329344706814767,42,-0.24765669148814767,-0.4314879119764749,-0.2924179314074752,0.10891089108910891,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,terminal_lineage_entropy,False,42,-0.24765669148814767,0.1138076401219942,-0.4456075712983948,-0.11318267536464348,-0.44298536394633736,0.4329344706814767,42,-0.24765669148814767,-0.4314879119764749,-0.2924179314074752,0.10891089108910891,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,clone_multilineage_score,False,42,-0.24904810270081748,0.11172606788589724,-0.4482606276319756,-0.11318267536464348,-0.42617615343533616,0.4360738393155015,42,-0.24904810270081748,-0.447213595499958,-0.2924179314074752,0.10891089108910891,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,clone_branch_count,False,42,-0.24904810270081748,0.11172606788589724,-0.4482606276319756,-0.11318267536464348,-0.42617615343533616,0.4360738393155015,42,-0.24904810270081748,-0.447213595499958,-0.2924179314074752,0.10891089108910891,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,clone_fate_diversification_index,False,42,-0.24765669148814767,0.1138076401219942,-0.4456075712983948,-0.11318267536464348,-0.4967627890464148,0.41973347295769947,42,-0.24765669148814767,-0.4314879119764749,-0.2924179314074752,0.10891089108910891,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,clone_transition_entropy,False,42,0.35337299532420224,0.02169730458491148,0.09161742920286463,0.6300664939374409,-0.27605233499227394,0.5033268602132033,42,0.35337299532420224,0.2669104195096526,0.3095127109675812,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,post_divergence_only,terminal_fate_entropy,True,42,-0.10736181040576614,0.498566874341661,-0.2955206657677311,0.07318568953304674,-0.18860363771904684,0.403030592719162,42,-0.10736181040576616,-0.4180039147272101,-0.18477423110407906,0.5643564356435643,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,post_divergence_only,terminal_lineage_entropy,False,42,-0.10736181040576614,0.498566874341661,-0.2955206657677311,0.07318568953304674,-0.18860363771904684,0.403030592719162,42,-0.10736181040576616,-0.4180039147272101,-0.18477423110407906,0.5643564356435643,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,post_divergence_only,clone_multilineage_score,False,42,-0.11068804564480778,0.48527656891378,-0.2955206657677311,0.07318568953304674,-0.19651665533330162,0.4128314759633661,42,-0.11068804564480778,-0.447213595499958,-0.18477423110407906,0.5742574257425742,fail
