sensitivity,usable_clones,spearman,p_value
min_clone_size_5,398,-0.1964410030395987,7.974500852531719e-05
min_clone_size_10,214,-0.3524960852113655,1.1746991113505566e-07
min_clone_size_20,122,-0.3650421767130286,3.563336482496742e-05
min_clone_size_50,39,-0.21434761246741166,0.1900811253222431
downsample_seed_7,179,-0.3349670776543108,4.577731523595807e-06
downsample_seed_17,176,-0.31833834241418246,1.66464701523057e-05
downsample_seed_23,175,-0.3376006151456654,4.903074480018172e-06
downsample_seed_31,183,-0.3177737694530578,1.1680404559652749e-05
downsample_seed_43,182,-0.28340959873273985,0.00010581619124693266
