dataset,neighbor_rule,k_or_radius,n_neighbors_mean,n_neighbors_std,branch_event_detected,lineage_separation_effect,normalized_separation_effect,alignment_effect,entropy_effect,density_effect,teacher_fidelity_tier,composition_rmse,seed_stability,permutation_p,permutation_q,negative_control_pass,external_direction_match,runtime,interpretation
internal,metric,0.01,6.9155999999999995,12.489391553686843,True,-0.129633610891599,-0.6635425011085225,0.0004151454833418722,-0.5144722725867827,0.011398614789618344,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,35.206481500004884,condensation
internal,metric,0.03,17.8914,27.45661262572558,True,-0.129633610891599,-0.6635425011085225,-0.0031692618353122565,-0.5144722725867827,-0.18272830050308198,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,28.29469400004018,condensation
internal,metric,0.05,24.386,32.546987753458254,True,-0.1422989001106547,-0.6038575408980739,-0.003454126942597207,-0.5144722725867827,-0.4110488148421956,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,19.147859899967443,condensation
internal,metric,0.1,37.3454,30.956269303346495,True,-0.1113200427584482,-0.09785974597724567,0.00817741518043148,-0.5144722725867827,0.5298421681663541,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,1.2759657999849878,condensation
internal,metric,0.2,71.4446,16.801826988594613,True,-0.757204300503588,-0.09547442188248766,0.0022898008125160144,-0.5144722725867827,0.019258702235474878,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.24748650001129135,condensation
E1,metric,0.01,3.433183745598311,3.8413206940432523,True,-0.9875290881873375,-0.40888520906627807,-0.27047855808493165,-0.2405711729254637,-0.0707659078272922,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,6.7505267999949865,condensation
E1,metric,0.03,9.214178524776761,9.157983041321122,True,-0.784351011978516,-0.22042587527672935,-0.25350187596988355,-0.2405711729254637,-0.1855354345955833,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,3.1858624999877065,condensation
E1,metric,0.05,14.71524121362132,12.802563702491561,True,-1.1728433305043837,-0.3052856503455265,-0.5737793907572473,-0.4566884866377362,-4.281302528441585,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,1.8633715999894775,condensation
E1,metric,0.1,26.544847483423283,17.121596505712706,True,-1.310752121962473,-0.25195830555784177,-0.47935600086866925,-0.4566884866377362,-5.8868342277542665,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,1.0077966999961063,condensation
E1,metric,0.2,43.44454601946742,19.0633008023842,True,-1.7867409825657603,-0.24658368703559544,-0.3603609768117505,-0.4566884866377362,-6.492142580262746,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.5090872999862768,condensation
L2,metric,0.01,5.605956051240825,6.363058615673002,True,2.4237542837171118,4.245140548085793,-0.30690420327703005,0.09667453732044184,-0.030737743363879355,fail,,True,0.3482587064676617,0.41791044776119407,True,False,7.278731399972457,divergence_or_no_condensation
L2,metric,0.03,16.01654835152846,15.10199491365605,True,3.7450708841648948,2.5098069231326563,-0.2712348664081438,0.09667453732044184,-0.06958737018597372,fail,,True,0.3482587064676617,0.41791044776119407,True,False,2.5152726999949664,divergence_or_no_condensation
L2,metric,0.05,25.861961440220483,20.73463937690046,True,4.438594838490426,2.0579763836487723,-0.24961908038606218,0.09667453732044184,-0.13570317520675967,fail,,True,0.3482587064676617,0.41791044776119407,True,False,1.4795249000308104,divergence_or_no_condensation
L2,metric,0.1,43.58694141468871,24.154082440304332,True,4.9455514115295625,1.4142469942910558,-0.2222021059781144,0.09667453732044184,-0.25764985371653815,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.705004999996163,divergence_or_no_condensation
L2,metric,0.2,59.84433306629163,19.631347307683033,True,5.262230881702006,1.0572782548227742,-0.19510117546872663,0.09667453732044184,-0.6824736820096629,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.2718650999595411,divergence_or_no_condensation
E2,metric,0.01,3.8544444444444443,3.976512209334653,True,1.7611679094379855,1.065097468145197,0.0,0.0,-0.18723109303358698,weak,,True,0.3482587064676617,0.41791044776119407,True,False,4.745219199976418,divergence_or_no_condensation
E2,metric,0.03,10.874444444444446,10.122665802533398,True,2.9668278366504324,1.3067740640846206,0.0,0.0,-0.5306486839305711,weak,,True,0.3482587064676617,0.41791044776119407,True,False,1.9247225999715738,divergence_or_no_condensation
E2,metric,0.05,18.00722222222222,15.349285820737473,True,3.791124621917378,1.469832834365319,0.0,0.0,-0.8593613474644068,weak,,True,0.3482587064676617,0.41791044776119407,True,False,1.1690612999955192,divergence_or_no_condensation
E2,metric,0.1,34.87888888888889,24.247789783550765,True,4.99757342836829,1.6445660622045044,0.0,0.0,-1.3784828696572022,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.45026620000135154,divergence_or_no_condensation
E2,metric,0.2,57.21944444444445,25.88948133086266,True,6.342663634746847,1.7808447205811564,0.0,0.0,-1.703705935894427,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.170691600011196,divergence_or_no_condensation
