dataset_id,sampling_strategy,model,outcome,outcome_primary,n_clones_total,n_outcome_estimable_clones,raw_effect,raw_p,bootstrap_ci_low,bootstrap_ci_high,covariate_adjusted_effect,adjusted_r2,n_adjusted,within_start_time_bin_effect,clone_size_matched_effect,time_span_matched_effect,permutation_q,support_tier
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,condensation_only,terminal_fate_entropy,True,167,167,-0.178580347833523,0.02094213764370938,-0.33155125947383635,-0.052729318102889285,-0.04389896945659404,0.06463972018637276,167,-0.178580347833523,-0.18024500873164337,-0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,condensation_only,terminal_lineage_entropy,False,167,167,-0.178580347833523,0.02094213764370938,-0.33155125947383635,-0.052729318102889285,-0.04389896945659404,0.06463972018637276,167,-0.178580347833523,-0.18024500873164337,-0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,condensation_only,clone_multilineage_score,False,167,167,-0.178580347833523,0.02094213764370938,-0.33155125947383635,-0.052729318102889285,-0.13043412179362868,0.10012550104060658,167,-0.178580347833523,-0.18024500873164337,-0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,condensation_only,clone_branch_count,False,167,167,-0.178580347833523,0.02094213764370938,-0.33155125947383635,-0.052729318102889285,-0.13043412179362868,0.10012550104060658,167,-0.178580347833523,-0.18024500873164337,-0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,condensation_only,clone_fate_diversification_index,False,167,167,-0.178580347833523,0.02094213764370938,-0.33155125947383635,-0.052729318102889285,-0.1304341217936287,0.10012550104060658,167,-0.178580347833523,-0.18024500873164337,-0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,condensation_only,clone_transition_entropy,False,167,167,-0.010236359859866578,0.8955436939748402,-0.18071168076719551,0.12021844292917153,-0.06465637241871139,0.08625687300725737,167,-0.010236359859866578,-0.009453499854260566,-0.009036379295042578,0.9108910891089109,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_fate_entropy,True,167,167,0.178580347833523,0.02094213764370938,0.052729318102889326,0.3315512594738364,0.04389896945659417,0.06463972018637276,167,0.178580347833523,0.18024500873164337,0.17915247319959718,0.019801980198019802,acceptable
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,terminal_lineage_entropy,False,167,167,0.178580347833523,0.02094213764370938,0.052729318102889326,0.3315512594738364,0.04389896945659417,0.06463972018637276,167,0.178580347833523,0.18024500873164337,0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,clone_multilineage_score,False,167,167,0.178580347833523,0.02094213764370938,0.052729318102889326,0.3315512594738364,0.13043412179362865,0.10012550104060658,167,0.178580347833523,0.18024500873164337,0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,clone_branch_count,False,167,167,0.178580347833523,0.02094213764370938,0.052729318102889326,0.3315512594738364,0.13043412179362865,0.10012550104060658,167,0.178580347833523,0.18024500873164337,0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,clone_fate_diversification_index,False,167,167,0.178580347833523,0.02094213764370938,0.052729318102889326,0.3315512594738364,0.13043412179362865,0.10012550104060691,167,0.178580347833523,0.18024500873164337,0.17915247319959718,0.019801980198019802,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,post_event_divergence_only,clone_transition_entropy,False,167,167,0.010236359859866578,0.8955436939748402,-0.12021844292917153,0.18071168076719554,0.06465637241871125,0.08625687300725737,167,0.010236359859866578,0.009453499854260566,0.009036379295042578,0.9108910891089109,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,fate_entropy_only,terminal_fate_entropy,True,167,167,-0.10376562688559646,0.18204627646876503,-0.25234917528271816,0.051718393183917015,-0.0770461430203963,0.06745902508823642,167,-0.10376562688559644,-0.1125960256802953,-0.11344483809854232,0.2376237623762376,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,fate_entropy_only,terminal_lineage_entropy,False,167,167,-0.10376562688559646,0.18204627646876503,-0.25234917528271816,0.051718393183917015,-0.0770461430203963,0.06745902508823642,167,-0.10376562688559644,-0.1125960256802953,-0.11344483809854232,0.2376237623762376,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,fate_entropy_only,clone_multilineage_score,False,167,167,-0.10376562688559646,0.18204627646876503,-0.25234917528271816,0.051718393183917015,-0.07531731943656673,0.09170800595395212,167,-0.10376562688559644,-0.1125960256802953,-0.11344483809854232,0.2376237623762376,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,fate_entropy_only,clone_branch_count,False,167,167,-0.10376562688559646,0.18204627646876503,-0.25234917528271816,0.051718393183917015,-0.07531731943656673,0.09170800595395212,167,-0.10376562688559644,-0.1125960256802953,-0.11344483809854232,0.2376237623762376,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,fate_entropy_only,clone_fate_diversification_index,False,167,167,-0.10376562688559646,0.18204627646876503,-0.25234917528271816,0.051718393183917015,-0.07531731943656672,0.09170800595395212,167,-0.10376562688559644,-0.1125960256802953,-0.11344483809854232,0.2376237623762376,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,fate_entropy_only,clone_transition_entropy,False,167,167,0.027147489130146828,0.7276508872743623,-0.11783378304470779,0.20448977689756018,0.08249037174229361,0.0880448524712858,167,0.027147489130146828,0.06301889916282602,0.06710226328774183,0.7326732673267327,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,teacher_bias_only,terminal_fate_entropy,True,167,167,-0.13057999113586422,0.09256873792246229,-0.27912979648971387,0.03464033936175656,-0.151041351596522,0.07795443510159239,167,-0.13057999113586422,-0.12824908972166446,-0.13038164916917916,0.12871287128712872,fail
