dataset,neighbor_rule,k_or_radius,n_neighbors_mean,n_neighbors_std,branch_event_detected,lineage_separation_effect,normalized_separation_effect,alignment_effect,entropy_effect,density_effect,teacher_fidelity_tier,composition_rmse,seed_stability,permutation_p,permutation_q,negative_control_pass,external_direction_match,runtime,interpretation
internal,topological,1.0,1.0,0.0,True,-0.129633610891599,-0.6635425011085225,-0.003110201384434571,-0.5144722725867827,-0.001516305967894288,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.43650630000047386,condensation
internal,topological,2.0,2.0,0.0,True,-0.38623049136083176,-0.8146261183649476,0.006210896629258382,-0.5144722725867827,-0.003985592861935533,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.26975400000810623,condensation
internal,topological,3.0,3.0,0.0,True,-0.46657560474891047,-0.7755975852897637,0.004811037832736731,-0.5144722725867827,-0.006734424108453152,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.27179480000631884,condensation
internal,topological,5.0,5.0,0.0,True,-0.7072942646919541,-0.7660518032175379,0.005735587444692103,-0.5144722725867827,-0.012995605773670205,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.30051720002666116,condensation
internal,topological,7.0,7.0,0.0,True,-0.8693962747068811,-0.7376239317750353,0.00571064060522003,-0.5144722725867827,-0.01991891649167732,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.27760239999042824,condensation
internal,topological,9.0,9.0,0.0,True,-1.0523561363531662,-0.6986979476259341,0.008238734145645216,-0.5144722725867827,-0.02721856304308723,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.301455199951306,condensation
internal,topological,12.0,12.0,0.0,True,-1.373575797438354,-0.6890158596125466,0.005874542955890467,-0.5144722725867827,-0.03849572257458034,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.2874699999811128,condensation
internal,topological,15.0,15.0,0.0,True,-1.585239107212495,-0.6570768191662054,0.006251402479091617,-0.5144722725867827,-0.0503809600399181,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.29914669995196164,condensation
internal,topological,20.0,20.0,0.0,True,-2.096331840571846,-0.6626311880152279,0.004861596817534133,-0.5144722725867827,-0.07142064770035628,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.29113309999229386,condensation
internal,topological,30.0,30.0,0.0,True,-2.851378054233962,-0.6323318908580154,0.004052592029438473,-0.5144722725867827,-0.11667241381493021,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.30070089997025207,condensation
internal,metric,0.01,6.9155999999999995,12.489391553686843,True,-0.129633610891599,-0.6635425011085225,0.0004151454833418722,-0.5144722725867827,0.011398614789618344,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,35.206481500004884,condensation
internal,metric,0.03,17.8914,27.45661262572558,True,-0.129633610891599,-0.6635425011085225,-0.0031692618353122565,-0.5144722725867827,-0.18272830050308198,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,28.29469400004018,condensation
internal,metric,0.05,24.386,32.546987753458254,True,-0.1422989001106547,-0.6038575408980739,-0.003454126942597207,-0.5144722725867827,-0.4110488148421956,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,19.147859899967443,condensation
internal,metric,0.1,37.3454,30.956269303346495,True,-0.1113200427584482,-0.09785974597724567,0.00817741518043148,-0.5144722725867827,0.5298421681663541,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,1.2759657999849878,condensation
internal,metric,0.2,71.4446,16.801826988594613,True,-0.757204300503588,-0.09547442188248766,0.0022898008125160144,-0.5144722725867827,0.019258702235474878,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.24748650001129135,condensation
internal,random,1.0,1.0,0.0,True,0.9216883983831595,0.04646143067352007,0.03249873013312896,-0.23445884275278916,-0.0036472839080171717,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.39441960002295673,divergence_or_no_condensation
internal,random,2.0,2.0,0.0,True,0.8916245718417244,0.030891444936903392,-0.07457369694632494,-0.07639201644078912,-0.0028631319620447634,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.4163249999983236,divergence_or_no_condensation
internal,random,3.0,3.0,0.0,True,-1.8066001050430505,-0.05287137572601024,-0.19086587311374478,0.36871396182976923,0.006129124669237314,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.44367999996757135,condensation
internal,random,5.0,5.0,0.0,True,2.369050730088103,0.07287066904705534,-0.012618458381101623,-0.3707874279129731,-0.015514281248389402,acceptable,,True,0.3482587064676617,0.41791044776119407,True,False,0.47548429999733344,divergence_or_no_condensation
internal,random,7.0,7.0,0.0,True,-1.8253785908013331,-0.05161828189384723,-0.1929030904260819,0.36871396182976923,0.011424753196860473,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.4420166999916546,condensation
internal,random,9.0,9.0,0.0,True,1.1938937599147106,0.038408741198078904,-0.06082785915638891,-0.22007686111459876,-0.014058080600488595,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.4432481999974698,divergence_or_no_condensation
internal,random,12.0,12.0,0.0,True,1.2584542988546186,0.040493289695286226,-0.06176797668644227,-0.22007686111459876,-0.020897769670939925,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.43858279997948557,divergence_or_no_condensation
internal,random,15.0,15.0,0.0,True,-0.29291387161852595,-0.006034257215012368,-0.12536988213537067,0.07431855035758524,-0.0005954191821528898,acceptable,,False,0.3482587064676617,0.41791044776119407,False,True,0.45958190003875643,condensation
internal,random,20.0,20.0,0.0,True,-1.9011432008997886,-0.053821572395993146,-0.19296916675580847,0.36871396182976923,0.035110708787707647,acceptable,,True,0.3482587064676617,0.41791044776119407,False,True,0.4739918000414036,condensation
internal,random,30.0,30.0,0.0,True,1.2873332451277477,0.041175826377393865,-0.06248898930261674,-0.22007686111459876,-0.048723497793660954,acceptable,,False,0.3482587064676617,0.41791044776119407,True,False,0.4546286999830045,divergence_or_no_condensation
internal,label,1.0,1.0,0.0,True,0.0,0.0,-0.0018062366087242439,-0.5144722725867827,-0.0014793738572810577,acceptable,,True,1.0,1.0,True,False,0.48228600004222244,divergence_or_no_condensation
