variant,branch_nucleation_tier,lineage_separation_effect,effect_ci_low,effect_ci_high,permutation_p,permutation_q,seed_stability_pass,sign_consistency,n_seed_windows,local_velocity_alignment_A_effect,branch_cohesion_C_effect,lineage_separation_S_effect,fate_entropy_H_effect,branch_imbalance_B_effect,local_density_mean_effect,n_agents_effect,best_interpretation
M5_ot_swarm,strong,-0.2658223551991732,-0.29410350710736494,-0.24281413923084472,0.009900990099009901,0.009900990099009901,True,1.0,5,0.036905205249786376,-0.002472821029063077,-0.2658223551991732,0.0,0.0,-0.0022580424835946687,0.0,transient_condensation_before_divergence
M7_ot_swarm_birth_death_diffusion,strong,-0.21571956563636335,-0.2842702864320373,-0.1325479524404237,0.009900990099009901,0.009900990099009901,True,1.0,5,0.04481915235519409,-0.007666411909268933,-0.21571956563636335,0.009462602742051619,0.02526945254563955,0.010676024156215191,-27.8,transient_condensation_before_divergence
M8_ot_swarm_birth_death_diffusion_cci,strong,-0.21577161486401905,-0.2843310565854331,-0.13258711792016484,0.009900990099009901,0.009900990099009901,True,1.0,5,0.04481823444366455,-0.007665375414036402,-0.21577161486401905,0.009462602742051619,0.02526945254563955,0.010669272517434792,-27.8,transient_condensation_before_divergence
M9_full_memory,strong,-0.20768071767147306,-0.27631119915497565,-0.12431942986557373,0.009900990099009901,0.009900990099009901,True,1.0,5,0.04730333685874939,-0.00771596570670352,-0.20768071767147306,0.009462602742051619,0.02526945254563955,0.010483237856445938,-27.8,transient_condensation_before_divergence
