dataset_id,sampling_strategy,model,outcome,control,control_effect,control_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,terminal_fate_entropy,teacher_velocity_shuffle,-0.026785564150313843,0.8662830248347386,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,terminal_lineage_entropy,clone_label_shuffle,-0.0720136478795323,0.6503999858310217,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,terminal_lineage_entropy,time_label_shuffle,0.2283359566912,0.1458295575870534,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,terminal_lineage_entropy,outcome_label_shuffle,-0.13656246640569844,0.38848536910442,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,terminal_lineage_entropy,exposure_shuffle,-0.18727939524768614,0.23498151191772618,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,terminal_lineage_entropy,teacher_velocity_shuffle,0.15939606207481843,0.31331286079500814,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_multilineage_score,clone_label_shuffle,0.1383600570560097,0.3822115013084644,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_multilineage_score,time_label_shuffle,-0.00922400380373398,0.9537681262384745,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_multilineage_score,outcome_label_shuffle,-0.1014640418410738,0.5225814986011459,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_multilineage_score,exposure_shuffle,0.1014640418410738,0.5225814986011459,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_multilineage_score,teacher_velocity_shuffle,0.1937040798784136,0.21901816177634614,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_branch_count,clone_label_shuffle,0.11991204944854175,0.4494081934942501,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_branch_count,time_label_shuffle,0.01844800760746796,0.9076854634088504,True
