memory_context,final_fate_belief_delta,diffusion_delta,birth_hazard_delta,death_hazard_delta,branch_probability_shift
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.0007798880338668823,0.0014831997914529472,0.0,-0.0,0.0007798880338668823
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.07349505722522735,0.031860587641462594,0.0,-0.0,0.07349505722522735
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.07500019669532776,0.03306027043116257,0.0,-0.0,0.07500019669532776
erythroid_rich_memory,0.001310393214225769,0.0022821279556555934,0.0,-0.0,0.001310393214225769
erythroid_rich_memory,1.3053417205810546e-06,5.2700986520796655e-06,0.0,-0.0,1.3053417205810546e-06
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.00037217438220977784,0.0007908567235498546,0.0,-0.0,0.00037217438220977784
erythroid_rich_memory,0.01052255630493164,0.011761930333237374,0.0,-0.0,0.01052255630493164
erythroid_rich_memory,0.05834803283214569,0.031101305032008832,0.0,-0.0,0.05834803283214569
erythroid_rich_memory,0.0019534528255462646,0.0031846464778094103,0.0,-0.0,0.0019534528255462646
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.0042184174060821535,0.005887951244846724,0.0,-0.0,0.0042184174060821535
erythroid_rich_memory,0.0003360629081726074,0.0007245698481664491,0.0,-0.0,0.0003360629081726074
erythroid_rich_memory,0.0041585594415664675,0.0058078623080461585,0.0,-0.0,0.0041585594415664675
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,4.5427680015563963e-05,0.00012656183296309693,0.0,-0.0,4.5427680015563963e-05
erythroid_rich_memory,0.0008804440498352051,0.0017348804012978292,0.0,-0.0,0.0008804440498352051
erythroid_rich_memory,0.0002538710832595825,0.000570350592525364,0.0,-0.0,0.0002538710832595825
erythroid_rich_memory,2.1189451217651365e-06,8.243833048908039e-06,0.0,-0.0,2.1189451217651365e-06
erythroid_rich_memory,9.895563125610352e-05,0.00027047690219163007,0.0,-0.0,9.895563125610352e-05
erythroid_rich_memory,0.010467705130577086,0.01200408938750876,0.0,-0.0,0.010467705130577086
erythroid_rich_memory,0.005171200633049011,0.006826096716886533,0.0,-0.0,0.005171200633049011
erythroid_rich_memory,0.002417492866516113,0.003815913700014077,0.0,-0.0,0.002417492866516113
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.002546408772468567,0.003922862506426026,0.0,-0.0,0.002546408772468567
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.0017516076564788817,0.0029010345562995887,0.0,-0.0,0.0017516076564788817
erythroid_rich_memory,1.867711544036865e-05,6.030422382110004e-05,0.0,-0.0,1.867711544036865e-05
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.011955875158309936,0.013159123263702997,0.0,-0.0,0.011955875158309936
erythroid_rich_memory,2.682209014892578e-08,1.2398544152943812e-07,0.0,-0.0,2.682209014892578e-08
erythroid_rich_memory,0.007811549305915832,0.009312648064015026,0.0,-0.0,0.007811549305915832
erythroid_rich_memory,2.1198391914367674e-05,6.786841948008243e-05,0.0,-0.0,2.1198391914367674e-05
erythroid_rich_memory,0.0009640663862228393,0.001769263430195452,0.0,-0.0,0.0009640663862228393
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,8.195042610168456e-05,0.0002286678412283467,0.0,-0.0,8.195042610168456e-05
erythroid_rich_memory,9.450316429138183e-06,3.256365739931832e-05,0.0,-0.0,9.450316429138183e-06
erythroid_rich_memory,8.940696716308593e-09,4.243820653615095e-08,0.0,-0.0,8.940696716308593e-09
erythroid_rich_memory,0.00027615129947662355,0.0006125239370606539,0.0,-0.0,0.00027615129947662355
erythroid_rich_memory,3.665685653686523e-07,1.6233327112178333e-06,0.0,-0.0,3.665685653686523e-07
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.0002538710832595825,0.000570350592525364,0.0,-0.0,0.0002538710832595825
erythroid_rich_memory,0.062302100658416744,0.031087202330752347,0.0,-0.0,0.062302100658416744
erythroid_rich_memory,0.005094087123870849,0.0067553414477324065,0.0,-0.0,0.005094087123870849
erythroid_rich_memory,0.0004368424415588379,0.0009491089416747999,0.0,-0.0,0.0004368424415588379
erythroid_rich_memory,0.02058430016040802,0.01994697215536484,0.0,-0.0,0.02058430016040802
erythroid_rich_memory,0.0026026278734207152,0.003987548846607159,0.0,-0.0,0.0026026278734207152
erythroid_rich_memory,7.063150405883789e-07,3.0025341705838637e-06,0.0,-0.0,7.063150405883789e-07
erythroid_rich_memory,0.00037655532360076905,0.0007982168209602343,0.0,-0.0,0.00037655532360076905
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.002516108751296997,0.0040931531732696065,0.0,-0.0,0.002516108751296997
erythroid_rich_memory,0.001486605405807495,0.002618640743515308,0.0,-0.0,0.001486605405807495
erythroid_rich_memory,0.030423134565353394,0.022951876511678352,0.0,-0.0,0.030423134565353394
erythroid_rich_memory,0.0019296795129776,0.0031363031920360477,0.0,-0.0,0.0019296795129776
erythroid_rich_memory,4.827976226806641e-06,1.763246733119099e-05,0.0,-0.0,4.827976226806641e-06
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,1.7881393432617187e-08,9.454083262127828e-08,0.0,-0.0,1.7881393432617187e-08
erythroid_rich_memory,0.008341795206069947,0.009775716302347179,0.0,-0.0,0.008341795206069947
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.0053461968898773195,0.007002207570441912,0.0,-0.0,0.0053461968898773195
erythroid_rich_memory,0.0011021196842193604,0.0019784140642478873,0.0,-0.0,0.0011021196842193604
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,8.940696716308593e-09,6.388681189973995e-08,0.0,-0.0,8.940696716308593e-09
erythroid_rich_memory,0.0013357311487197875,0.002323081498125729,0.0,-0.0,0.0013357311487197875
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.0007694810628890991,0.0014641800311502584,0.0,-0.0,0.0007694810628890991
erythroid_rich_memory,0.0537284642457962,0.02969196046084509,0.0,-0.0,0.0537284642457962
erythroid_rich_memory,0.006871461868286133,0.008500391349051825,0.0,-0.0,0.006871461868286133
erythroid_rich_memory,8.583068847656249e-07,3.547291557791189e-06,0.0,-0.0,8.583068847656249e-07
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,6.258487701416016e-08,3.142930440024545e-07,0.0,-0.0,6.258487701416016e-08
erythroid_rich_memory,0.0005030393600463867,0.0010291223017845116,0.0,-0.0,0.0005030393600463867
erythroid_rich_memory,0.0001660555601119995,0.0004265437111600138,0.0,-0.0,0.0001660555601119995
erythroid_rich_memory,0.00029321014881134033,0.0006755406188199659,0.0,-0.0,0.00029321014881134033
erythroid_rich_memory,0.016834527254104614,0.017407340526038012,0.0,-0.0,0.016834527254104614
erythroid_rich_memory,0.0013355612754821777,0.002335824045570091,0.0,-0.0,0.0013355612754821777
erythroid_rich_memory,0.007423111796379089,0.009330046873071979,0.0,-0.0,0.007423111796379089
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.002220681309700012,0.003507533193007464,0.0,-0.0,0.002220681309700012
erythroid_rich_memory,0.01352408230304718,0.01393812025766355,0.0,-0.0,0.01352408230304718
erythroid_rich_memory,9.924173355102538e-07,4.088642780797048e-06,0.0,-0.0,9.924173355102538e-07
erythroid_rich_memory,1.7881393432617188e-07,8.470613099309843e-07,0.0,-0.0,1.7881393432617188e-07
erythroid_rich_memory,0.0042866080999374384,0.00590586865437133,0.0,-0.0,0.0042866080999374384
erythroid_rich_memory,0.00010751187801361084,0.0002903402326772265,0.0,-0.0,0.00010751187801361084
erythroid_rich_memory,0.005614462494850159,0.00732427449266506,0.0,-0.0,0.005614462494850159
erythroid_rich_memory,0.0017380356788635253,0.002893981244647615,0.0,-0.0,0.0017380356788635253
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,1.2874603271484374e-06,5.220126549093772e-06,0.0,-0.0,1.2874603271484374e-06
erythroid_rich_memory,0.003648215532302856,0.005210189433801095,0.0,-0.0,0.003648215532302856
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.005882987380027771,0.007654767788786709,0.0,-0.0,0.005882987380027771
erythroid_rich_memory,0.0001421213150024414,0.0003490430605508706,0.0,-0.0,0.0001421213150024414
erythroid_rich_memory,0.0,2.515083929147261e-12,0.0,-0.0,0.0
erythroid_rich_memory,0.003606221079826355,0.005160315592771654,0.0,-0.0,0.003606221079826355
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.003680714964866638,0.005280129061352402,0.0,-0.0,0.003680714964866638
