dataset,tf,target,rank,target_source,signed_prior,correlation_proxy
internal_native,Runx1,Cdh1,9,pathwayfinder_omnipath_prior,1.0,
internal_native,Runx1,Tpo,10,pathwayfinder_omnipath_prior,1.0,0.0
internal_native,Gata1,Bcl2l1,1,pathwayfinder_omnipath_prior,1.0,0.01563294251471149
internal_native,Gata1,Epb42,2,pathwayfinder_omnipath_prior,1.0,
internal_native,Gata1,Sptb,3,pathwayfinder_omnipath_prior,1.0,0.5563047582692424
internal_native,Gata1,Mpl,4,pathwayfinder_omnipath_prior,1.0,-0.018023157492870374
internal_native,Gata1,Spi1,5,pathwayfinder_omnipath_prior,-1.0,0.03396511933578535
internal_native,Gata1,Pf4,6,pathwayfinder_omnipath_prior,1.0,
internal_native,Gata1,Esr1,7,pathwayfinder_omnipath_prior,1.0,-0.025344271752432493
internal_native,Gata1,Myb,8,pathwayfinder_omnipath_prior,1.0,0.09116870439298895
internal_native,Gata1,Tal1,9,pathwayfinder_omnipath_prior,1.0,0.42172202432081934
internal_native,Gata1,Gata2,10,pathwayfinder_omnipath_prior,-1.0,-0.03772908753264672
internal_native,Gata2,Nos3,1,pathwayfinder_omnipath_prior,1.0,
internal_native,Gata2,Spi1,2,pathwayfinder_omnipath_prior,1.0,-0.00403693745818606
internal_native,Gata2,Tal1,3,pathwayfinder_omnipath_prior,1.0,0.00020968092260003775
internal_native,Gata2,Gata1,4,pathwayfinder_omnipath_prior,1.0,
internal_native,Gata2,Kit,5,pathwayfinder_omnipath_prior,1.0,
internal_native,Gata2,Pparg,6,pathwayfinder_omnipath_prior,-1.0,-0.004032863052936722
internal_native,Gata2,Gfi1b,7,pathwayfinder_omnipath_prior,1.0,-0.02212963077681124
internal_native,Gata2,Egfl7,8,pathwayfinder_omnipath_prior,1.0,-0.022091155433981418
internal_native,Gata2,Emcn,9,pathwayfinder_omnipath_prior,1.0,-0.011473433847346533
internal_native,Gata2,Snca,10,pathwayfinder_omnipath_prior,1.0,-0.05285448929402979
internal_native,Lmo2,Gypa,1,pathwayfinder_omnipath_prior,-1.0,0.2503383811147722
internal_native,Lmo2,Nfe2,2,pathwayfinder_omnipath_prior,1.0,0.08884281407525982
internal_native,Lmo2,Cdh5,3,pathwayfinder_omnipath_prior,1.0,0.014235017520639846
internal_native,Lmo2,Plek,4,pathwayfinder_omnipath_prior,1.0,
internal_native,Lmo2,Mecom,5,pathwayfinder_omnipath_prior,1.0,-0.1280718533376263
internal_native,Lmo2,Prdm16,6,pathwayfinder_omnipath_prior,1.0,-0.0911876031036122
internal_native,Lmo2,Erg,7,pathwayfinder_omnipath_prior,1.0,-0.022365752370577526
internal_native,Lmo2,Fli1,8,pathwayfinder_omnipath_prior,1.0,-0.10898381939982085
internal_native,Lmo2,Lck,9,pathwayfinder_omnipath_prior,1.0,-0.03736170439980748
internal_native,Lmo2,Nrp2,10,pathwayfinder_omnipath_prior,1.0,-0.1232419001151896
internal_native,Spi1,Btk,1,pathwayfinder_omnipath_prior,1.0,-0.006908312527074407
internal_native,Spi1,Cyp11a1,2,pathwayfinder_omnipath_prior,1.0,
internal_native,Spi1,Csf2rb,3,pathwayfinder_omnipath_prior,1.0,
internal_native,Spi1,Th,4,pathwayfinder_omnipath_prior,1.0,-0.001968967003299951
internal_native,Spi1,Itgb2,5,pathwayfinder_omnipath_prior,1.0,-0.003417344851559474
internal_native,Spi1,Prtn3,6,pathwayfinder_omnipath_prior,1.0,-0.006741691342834596
internal_native,Spi1,Pax5,7,pathwayfinder_omnipath_prior,1.0,
internal_native,Spi1,Acan,8,pathwayfinder_omnipath_prior,1.0,-0.001969920139072872
internal_native,Spi1,Gata1,9,pathwayfinder_omnipath_prior,1.0,
