model,n_conditions,n_pairs_total,mean_pair_latent_mse,mean_centroid_latent_mse,mean_effect_cosine,mean_rbf_mmd
gene_context_ridge_residual,39,8391,0.22087359695862496,0.01014217077635033,0.5339208936844116,0.06993141693946638
gene_context_mlp_residual,39,8391,0.2817574955331973,0.010113726370036548,0.499674087533584,0.034124681582817624
global_mean_shift,39,8391,0.7886369281854385,0.011809615286974518,0.17753564222202373,0.08160866071016357
identity,39,8391,0.7889163165520399,0.012089013432462962,,0.08031942905523834
gene_context_shift,39,8391,0.7975475367827293,0.020720218260509796,0.18931773938955018,0.09987558004183643
