tf_name,devvcell_system,stage,stage_num,target_stage,response_amplitude,fate_displacement,recovery_cost,recovery_probability,alignment_with_normal_transition,devvcell_priority_score,rescue_candidate,best_rescue_fraction,rescue_candidate_status,matched_global_grn_targets,matched_system_targets
Eya1,erythroid,Theiler stage 12,12,Theiler stage 13,2.484384298324585,2.484384298324585,2.4001858696288623,0.0003354626279025,-0.0450923182070255,0.6874957220103752,Eya2,0.0338910645798657,observed_in_rescue_table,10,27
Lef1,erythroid,Theiler stage 12,12,Theiler stage 13,2.175321340560913,2.175320863723755,2.175321340560913,0.0003354626279025,-0.0864655449986457,0.6669700902954203,not_observed,0.0,not_observed,10,24
Rfx4,erythroid,Theiler stage 12,12,Theiler stage 13,1.9090559482574463,1.9090559482574463,1.509676950106551,0.0023846383522261,-0.0695055872201919,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
Nrg1,erythroid,Theiler stage 12,12,Theiler stage 13,1.8145509958267207,1.8145509958267207,1.8145509958267207,0.000704371964054,-0.0208369921892881,0.562445635633383,not_observed,0.0,not_observed,10,17
Eya4,erythroid,Theiler stage 12,12,Theiler stage 13,1.6392019987106323,1.6392016410827637,1.6392019987106323,0.0014204124456743,-0.0230140686035156,0.5801603409284204,not_observed,0.0,not_observed,10,16
Zbtb16,erythroid,Theiler stage 12,12,Theiler stage 13,1.6271858215332031,1.6271858215332031,1.6271858215332031,0.0014903514920611,-0.1105800420045852,0.532417423355394,not_observed,0.0,not_observed,10,26
Pax3,erythroid,Theiler stage 12,12,Theiler stage 13,1.6158320903778076,1.6158322095870972,1.6158320903778076,0.0015595961623665,-0.0668053850531578,0.5626863715216118,not_observed,0.0,not_observed,10,17
Eya1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,1.5164211988449097,1.51642107963562,1.4650280700645797,0.0028509235622743,-0.0216081086546182,0.6874957220103752,Eya2,0.0338910645798657,observed_in_rescue_table,10,22
Lef1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,1.510299801826477,1.5102999210357666,1.510299801826477,0.0023787046425416,0.1614638417959213,0.6669700902954203,not_observed,0.0,not_observed,10,22
Prox1,erythroid,Theiler stage 12,12,Theiler stage 13,1.434717059135437,1.4347169399261477,1.434717059135437,0.0032184086922244,0.0491223558783531,0.6226286711254221,not_observed,0.0,not_observed,10,0
Eya1,neural,Theiler stage 12,12,Theiler stage 13,1.4144015312194824,1.4144014120101929,1.3664659575830622,0.0042286866010977,0.0823382139205932,0.6874957220103752,Eya2,0.0338910645798657,observed_in_rescue_table,10,8
Lef1,neural,Theiler stage 12,12,Theiler stage 13,1.3848557472229004,1.3848557472229004,1.3848557472229004,0.0039287931416869,0.2663164734840393,0.6669700902954203,not_observed,0.0,not_observed,10,3
Otx2,erythroid,Theiler stage 12,12,Theiler stage 13,1.3623239994049072,1.3623241186141968,1.3623239994049072,0.0042993303643971,-0.0281726345419883,0.5197067146592651,not_observed,0.0,not_observed,10,0
Nrg1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,1.3321800231933594,1.3321799039840698,1.3321800231933594,0.0048502739418438,0.0124654518440365,0.562445635633383,not_observed,0.0,not_observed,10,13
Satb1,erythroid,Theiler stage 12,12,Theiler stage 13,1.3242045640945437,1.3242045640945437,1.0603182901127055,0.0143892603389353,-0.0507984571158885,0.5203752443922943,Glis3,0.1992790850726875,observed_in_rescue_table,10,23
Rfx4,neural,Theiler stage 12,12,Theiler stage 13,1.3210793733596802,1.3210794925689695,1.0447064587304382,0.0153164810899363,-0.0798309370875358,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
Satb2,erythroid,Theiler stage 12,12,Theiler stage 13,1.3015632629394531,1.3015636205673218,1.1435596307494629,0.0103141501766001,-0.0514962263405323,0.8485568526711808,Zbtb16,0.1213952765024686,observed_in_rescue_table,10,17
Glis3,erythroid,Theiler stage 12,12,Theiler stage 13,1.299821376800537,1.2998214960098269,1.299821376800537,0.0055205073747466,-0.069460429251194,0.5658900407020623,not_observed,0.0,not_observed,10,0
Rfx4,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,1.260385274887085,1.260385274887085,0.9967097085276948,0.0185582873160734,0.0587516352534294,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
Nrg1,neural,Theiler stage 12,12,Theiler stage 13,1.1366171836853027,1.1366173028945925,1.1366171836853027,0.0106045859488416,0.022399328649044,0.562445635633383,not_observed,0.0,not_observed,10,4
Eya4,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,1.1258034706115725,1.1258034706115725,1.1258034706115725,0.0110733508404954,-0.1119697839021682,0.5801603409284204,not_observed,0.0,not_observed,10,23
Pax3,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,1.124200701713562,1.1242005825042725,1.124200701713562,0.0111445709847151,0.1706186830997467,0.5626863715216118,not_observed,0.0,not_observed,10,19
Eya4,neural,Theiler stage 12,12,Theiler stage 13,1.1016634702682495,1.10166335105896,1.1016634702682495,0.0121959191259472,-0.010999952442944,0.5801603409284204,not_observed,0.0,not_observed,10,5
Zbtb16,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,1.0909836292266846,1.0909836292266846,1.0909836292266846,0.0127282096451225,0.172293022274971,0.532417423355394,not_observed,0.0,not_observed,10,25
Prox1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,1.0402690172195437,1.0402690172195437,1.0402690172195437,0.0155907721455852,-0.0477067530155181,0.6226286711254221,not_observed,0.0,not_observed,10,0
Pax3,neural,Theiler stage 12,12,Theiler stage 13,1.0375577211380005,1.03755784034729,1.0375577211380005,0.0157607771447666,-0.0720301121473312,0.5626863715216118,not_observed,0.0,not_observed,10,6
Zbtb16,neural,Theiler stage 12,12,Theiler stage 13,1.034605860710144,1.0346059799194336,1.034605860710144,0.0159479745888351,0.0398031957447528,0.532417423355394,not_observed,0.0,not_observed,10,7
Prox1,neural,Theiler stage 12,12,Theiler stage 13,1.003334879875183,1.0033345222473145,1.003334879875183,0.0180729394126806,0.0535684935748577,0.6226286711254221,not_observed,0.0,not_observed,10,0
Otx2,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,0.996088445186615,0.9960886240005492,0.996088445186615,0.0186044630011619,0.0424043722450733,0.5197067146592651,not_observed,0.0,not_observed,10,0
Satb1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,0.967717707157135,0.9677175879478456,0.7748718078662221,0.0450723081305182,0.2479170858860016,0.5203752443922943,Glis3,0.1992790850726875,observed_in_rescue_table,10,25
Otx2,neural,Theiler stage 12,12,Theiler stage 13,0.9659343361854552,0.9659343957901,0.9659343361854552,0.0209894080989049,-0.1128068566322326,0.5197067146592651,not_observed,0.0,not_observed,10,0
Glis3,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,0.9335325360298156,0.9335325360298156,0.9335325360298156,0.0238939463214209,0.0596384741365909,0.5658900407020623,not_observed,0.0,not_observed,10,0
Satb2,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,0.928156554698944,0.928156554698944,0.8154827331036871,0.0383143441349999,0.0013226275332272,0.8485568526711808,Zbtb16,0.1213952765024686,observed_in_rescue_table,10,33
Glis3,neural,Theiler stage 12,12,Theiler stage 13,0.9032212495803832,0.9032212495803832,0.9032212495803832,0.0269739148045341,0.0250860452651977,0.5658900407020623,not_observed,0.0,not_observed,10,0
Satb2,neural,Theiler stage 12,12,Theiler stage 13,0.8713793158531189,0.8713794946670532,0.7655979828665976,0.0467756770896584,0.2262250185012817,0.8485568526711808,Zbtb16,0.1213952765024686,observed_in_rescue_table,10,7
