model,n_strata,n_pairs_total,mean_pair_latent_mse,mean_centroid_latent_mse,mean_rbf_mmd
context_residual_mlp,6,4794,0.31390176713466644,0.017845217720605367,0.02956926822662348
ridge,6,4794,0.3254404825468858,0.020748994313180415,0.04451610644658404
mlp,6,4794,0.3301703842977683,0.017716054183741368,0.026277581850687615
identity,6,4794,0.38130854070186615,0.022964146764328036,0.03776681423187252
mean_shift,6,4794,0.3855854372183482,0.027241044289742864,0.04443850119908647
