tf_name,n_system_stage_tests,mean_response_amplitude,max_response_amplitude,mean_fate_displacement,mean_recovery_cost,mean_recovery_probability,mean_priority_score,rescue_candidate,best_rescue_fraction
Eya1,21,0.5958168513718105,2.484384298324585,0.5958168364706493,0.5756239839841963,0.20961187365530595,0.6874957220103752,Eya2,0.0338910645798657
Lef1,21,0.5798512356621879,2.175321340560913,0.5798512455962953,0.5798512356621879,0.2024016476684836,0.6669700902954203,not_observed,0.0
Rfx4,21,0.5144440971669697,1.9090559482574463,0.5144441092298144,0.4068211810765717,0.30448233261774466,0.7101176189887484,Satb1,0.209202353925479
Nrg1,21,0.49680569767951965,1.8145509958267207,0.49680571329025996,0.49680569767951965,0.23567682673055587,0.562445635633383,not_observed,0.0
Satb2,21,0.4787890783378056,1.3015632629394531,0.47878908685275484,0.42066634578662554,0.2362938396414675,0.8485568526711808,Zbtb16,0.1213952765024686
Eya4,21,0.4559225816102255,1.6392019987106323,0.4559225574845359,0.4559225816102255,0.25429955878122407,0.5801603409284204,not_observed,0.0
Pax3,21,0.43719370166460675,1.6158320903778076,0.4371936995358694,0.43719370166460675,0.27645745456788423,0.5626863715216118,not_observed,0.0
Zbtb16,21,0.4325255446490787,1.6271858215332031,0.4325255772897175,0.4325255446490787,0.2786597004830537,0.532417423355394,not_observed,0.0
Prox1,21,0.4122302007107508,1.434717059135437,0.4122301808425358,0.4122302007107508,0.2856993255687832,0.6226286711254221,not_observed,0.0
Glis3,21,0.36524381807872225,1.299821376800537,0.3652438336894625,0.36524381807872225,0.3318781955195379,0.5658900407020623,not_observed,0.0
Satb1,21,0.35973526892207913,1.3242045640945437,0.35973524834428516,0.28804755366291,0.4099849469965419,0.5203752443922943,Glis3,0.1992790850726875
Otx2,21,0.34549452009655174,1.3623239994049072,0.34549454918929506,0.34549452009655174,0.3768197191412173,0.5197067146592651,not_observed,0.0
