pairing_method,model,mean_pair_latent_mse,sd_pair_latent_mse,mean_centroid_latent_mse,mean_rbf_mmd,n_evaluations
nearest,ridge,0.1413096057044134,0.0913853270312139,0.0023511908431019,0.0170272191365559,18
nearest,context_residual_mlp,0.1485074959281417,0.1009113375194394,0.0016630183478506,0.0046636462211608,18
nearest,identity,0.2217784900632169,0.1348907768310706,0.0047709703665329,0.0122763978110418,18
nearest,mean_shift,0.2231950983405113,0.1337674785405384,0.0061875712514543,0.0152829289436339,18
sinkhorn,context_residual_mlp,0.2973575596180227,0.2051751928928589,0.0194882312660208,0.0267561276753743,18
sinkhorn,ridge,0.3094380663500892,0.2040766709291729,0.0229793983615106,0.0440372294849819,18
sinkhorn,identity,0.3464738590021928,0.1939633660104855,0.0261132717391268,0.0337955289416842,18
sinkhorn,mean_shift,0.3528395253751012,0.1935698117497655,0.0324789370772324,0.0414895084169175,18
