model,mean_condition_centered_pair_latent_mse,mean_pair_latent_mse,mean_effect_cosine,n_conditions
gene_context_ridge_residual,-0.35467277784378104,0.22087359695862496,0.5339208936844116,39
gene_context_mlp_residual,-0.2937888792692087,0.2817574955331973,0.499674087533584,39
global_mean_shift,0.2130905533830325,0.7886369281854385,0.17753564222202373,39
identity,0.21336994174963392,0.7889163165520399,,39
gene_context_shift,0.22200116198032327,0.7975475367827293,0.18931773938955018,39
