cohort,normality_class,module_name,mean_residual,mean_abs_residual,median_abs_residual,max_abs_residual,n_records,n_cells
T_chimera,abnormal_off_normal,erythroid,-0.0843081173053658,0.3262100051663407,0.270777889043774,0.8858624780269789,8,168
T_chimera,abnormal_off_normal,extraembryonic_mesoderm,0.031916321169170515,0.09896665398628408,0.0724151921342106,0.3133942230021584,8,168
T_chimera,abnormal_off_normal,cell_cycle,-0.0467659547362499,0.09617963203999377,0.09882735460748775,0.1855129493766353,8,168
T_chimera,abnormal_off_normal,cardiac,0.035747583987597115,0.08569598658658714,0.039567623252424106,0.4011609190801082,8,168
T_chimera,abnormal_off_normal,apoptosis,-0.022876856898615024,0.0787606127575326,0.06930338750806195,0.1438174677411973,8,168
T_chimera,abnormal_off_normal,wnt_response,-0.021016676892181087,0.058070993185694086,0.0557316639072305,0.1242008155836499,8,168
T_chimera,abnormal_off_normal,haematoendothelial,0.02942192105055235,0.0555131027096084,0.036237231397592995,0.1583229809005516,8,168
T_chimera,abnormal_off_normal,endothelial,0.045435130122100875,0.0530943930739461,0.037981103763758,0.1553833723482489,8,168
T_chimera,abnormal_off_normal,stress,0.021026898843449313,0.05241490113985576,0.030514940202933848,0.1220781938107082,8,168
T_chimera,abnormal_off_normal,neural,-0.0461195073617083,0.04864714040332142,0.0260182694720534,0.1173197079352254,8,168
T_chimera,abnormal_off_normal,intermediate,-0.03339231908231119,0.043791870516972815,0.0409498074214982,0.0859543477825545,8,168
T_chimera,abnormal_off_normal,paraxial_mesoderm,-0.01690981264511949,0.018035610646700437,0.0071305449842858,0.0478953681584873,8,168
T_chimera,abnormal_off_normal,mesoderm,-0.009158947218794988,0.012942919905152438,0.008186072534214,0.0420400403790021,8,168
T_chimera,fate_deviation,erythroid,-0.18713001474117114,0.21206084419898985,0.18073480221665494,0.7175861235311886,18,627
T_chimera,fate_deviation,cell_cycle,-0.07362192485900551,0.0897554840464891,0.0731360050054437,0.2290785513953064,18,627
T_chimera,fate_deviation,wnt_response,0.020806454706633063,0.07708951034787022,0.0527152932236755,0.318628027370124,18,627
T_chimera,fate_deviation,extraembryonic_mesoderm,0.02304833206168082,0.05298777697074111,0.02491330585545485,0.2601543042060912,18,627
T_chimera,fate_deviation,intermediate,-0.008547723293415589,0.051304695434768524,0.0305986709440739,0.1910631235780023,18,627
T_chimera,fate_deviation,apoptosis,0.0014004318018957839,0.04488517052086695,0.04157646014919155,0.1192565098870271,18,627
T_chimera,fate_deviation,haematoendothelial,0.006719910592391061,0.04363345165474011,0.0406119413281139,0.1705796746166595,18,627
T_chimera,fate_deviation,cardiac,0.01487708296607206,0.036032749522535164,0.0236521996026277,0.1351347036678984,18,627
T_chimera,fate_deviation,neural,-0.015812570180825523,0.03458092605211549,0.006325397781157,0.1298440740875218,18,627
T_chimera,fate_deviation,stress,0.006911414420750817,0.02745478160144277,0.02744227187803165,0.0625286389651464,18,627
T_chimera,fate_deviation,paraxial_mesoderm,-0.01573180082581221,0.024165481553269967,0.01449162720814795,0.1133691840043655,18,627
T_chimera,fate_deviation,mesoderm,-0.01509108171542375,0.022910321328193994,0.013390164826974499,0.1661224722443382,18,627
T_chimera,fate_deviation,endothelial,0.0063117445127795335,0.021759562505217368,0.0183428213752858,0.090332667629543,18,627
T_chimera,within_stage_normal,erythroid,-0.2264628184264412,0.22736314788685827,0.1951664474762091,1.1806170626090051,27,14920
T_chimera,within_stage_normal,cell_cycle,0.035201883615627635,0.04666856602946279,0.0407994903892298,0.1143129863195113,27,14920
T_chimera,within_stage_normal,wnt_response,0.009221230498837616,0.044622144692612324,0.0180398225857815,0.3516373319178782,27,14920
T_chimera,within_stage_normal,extraembryonic_mesoderm,-0.006658345445999313,0.03294890998505364,0.0135561536136458,0.3300371229453583,27,14920
T_chimera,within_stage_normal,intermediate,0.0021818349888458994,0.031643690813023234,0.0180679173220857,0.1718289484298754,27,14920
T_chimera,within_stage_normal,stress,0.02572435140834917,0.03029728444657096,0.0223157587986917,0.1809594308903755,27,14920
T_chimera,within_stage_normal,mesoderm,-0.02392878921680737,0.024649809765230908,0.0029447537875186,0.2845595342512638,27,14920
T_chimera,within_stage_normal,apoptosis,0.016482034248232844,0.021876815441138626,0.012955776766693,0.1292833267337106,27,14920
T_chimera,within_stage_normal,haematoendothelial,0.0018380584400478368,0.015018035535475406,0.0049278602966059,0.0832626936876586,27,14920
T_chimera,within_stage_normal,paraxial_mesoderm,-0.006261722896080227,0.013302337040450952,0.0095032020970314,0.0491823742339834,27,14920
T_chimera,within_stage_normal,endothelial,0.0031172625837930187,0.01277766652455162,0.0077100116414564,0.0584399306032567,27,14920
T_chimera,within_stage_normal,neural,-0.00524759083793369,0.012073596364939865,0.0051669462054815,0.056261612039481,27,14920
T_chimera,within_stage_normal,cardiac,0.008729536569398396,0.011825099405407581,0.0062730184555801,0.0582919840022369,27,14920
