split,system,src_stage,tgt_stage,pairs,src_cells_available,tgt_cells_available,target_pool_cells,pairing_method,cost_median,transport_entropy,row_mass_abs_error,col_mass_abs_error
train,erythroid,12,13,350,800,756,700,sinkhorn,69.49102783203125,10.922334679599402,1.8218144974199342e-07,7.000848313763543e-19
train,erythroid,13,14,350,756,800,700,sinkhorn,25.877845764160156,10.51963674010294,2.3490256917974315e-06,6.5888514882190515e-19
train,erythroid,15,16,350,800,800,700,sinkhorn,18.311683654785156,10.544643300976714,1.572022636116221e-05,6.576460606247788e-19
train,erythroid,16,17,350,800,800,700,sinkhorn,15.457136154174805,10.494076948922372,3.014235400583196e-07,6.573362885754973e-19
train,erythroid,18,19,350,800,800,700,sinkhorn,19.895748138427734,10.685804414745254,1.4938287006467135e-07,6.288372600415926e-19
train,mesoderm_muscle,12,13,350,800,800,700,sinkhorn,64.13093566894531,10.706016399241848,2.486274345328298e-05,6.886232655529361e-19
train,mesoderm_muscle,13,14,350,800,800,700,sinkhorn,20.385066986083984,10.37611080592487,8.916780396821345e-06,6.489724432448948e-19
train,mesoderm_muscle,15,16,350,800,800,700,sinkhorn,34.668495178222656,10.49297776206135,1.661580934591668e-05,6.381304215200398e-19
train,mesoderm_muscle,16,17,350,800,800,700,sinkhorn,54.8465576171875,10.407695460191842,1.782931135857446e-06,6.92340530144315e-19
train,mesoderm_muscle,18,19,350,806,813,700,sinkhorn,77.90304565429688,10.4955163827332,4.921100350574098e-07,6.6848808234963385e-19
train,neural,12,13,350,800,800,700,sinkhorn,52.745086669921875,10.863082332768977,3.6970564919906993e-07,6.520701637377105e-19
train,neural,13,14,350,800,800,700,sinkhorn,16.801616668701172,10.519263766752658,3.257408670458971e-06,6.638415016104103e-19
train,neural,15,16,350,800,800,700,sinkhorn,28.30084228515625,10.561904006791085,1.7533654433093253e-06,6.443258625056712e-19
train,neural,16,17,350,800,800,700,sinkhorn,46.13322067260742,10.46095961649999,7.006969181019313e-06,6.421574581607002e-19
train,neural,18,19,350,794,787,700,sinkhorn,117.27075958251953,10.34036208792593,2.910257213657238e-06,6.759226115323916e-19
heldout,erythroid,14,15,350,800,800,700,sinkhorn,22.078250885009766,10.5377394339436,6.951390302419138e-06,6.3844019356932135e-19
heldout,erythroid,17,18,350,800,800,700,sinkhorn,18.578889846801758,10.642634684584978,2.205115384808394e-08,6.62602413413284e-19
heldout,mesoderm_muscle,14,15,350,800,800,700,sinkhorn,22.8072509765625,10.461972432327034,1.5513731671161425e-05,6.632219575118472e-19
heldout,mesoderm_muscle,17,18,350,800,806,700,sinkhorn,69.57630920410156,10.467299395532386,9.124619113092156e-06,6.641512736596918e-19
heldout,neural,14,15,350,800,800,700,sinkhorn,19.547786712646484,10.512245843365355,3.996983337168227e-06,6.595046929204683e-19
heldout,neural,17,18,350,800,794,700,sinkhorn,87.37989807128906,10.403608895436193,8.00996810355635e-06,6.681783103003523e-19
