model,split,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
identity,heldout,erythroid,14,15,350,0.34934201836586,0.05386398360133171,0.057300448417663574
identity,heldout,erythroid,17,18,350,0.11202728748321533,0.03879895806312561,0.07261097431182861
identity,heldout,mesoderm_muscle,14,15,350,0.22748644649982452,0.011635437607765198,0.023672938346862793
identity,heldout,mesoderm_muscle,17,18,350,0.5813806653022766,0.025826608762145042,0.01724553108215332
identity,heldout,neural,14,15,350,0.19164562225341797,0.0061529106460511684,0.03120124340057373
identity,heldout,neural,17,18,350,0.5803390145301819,0.02989855222404003,0.011477828025817871
mean_shift,heldout,erythroid,14,15,350,0.3666105270385742,0.07113242149353027,0.07684326171875
mean_shift,heldout,erythroid,17,18,350,0.12252228707075119,0.04929393529891968,0.08116459846496582
mean_shift,heldout,mesoderm_muscle,14,15,350,0.22956569492816925,0.01371465902775526,0.028748512268066406
mean_shift,heldout,mesoderm_muscle,17,18,350,0.5833333134651184,0.027779236435890198,0.020361661911010742
mean_shift,heldout,neural,14,15,350,0.19209808111190796,0.00660536577925086,0.031972646713256836
mean_shift,heldout,neural,17,18,350,0.5824114084243774,0.031970951706171036,0.010684490203857422
ridge,heldout,erythroid,14,15,350,0.31321460008621216,0.044141363352537155,0.040865421295166016
ridge,heldout,erythroid,17,18,350,0.10442540794610977,0.03300260379910469,0.11898434162139893
ridge,heldout,mesoderm_muscle,14,15,350,0.19596977531909943,0.009830343537032604,0.03660285472869873
ridge,heldout,mesoderm_muscle,17,18,350,0.5032505393028259,0.02270462177693844,0.026934027671813965
ridge,heldout,neural,14,15,350,0.08827802538871765,0.004049366805702448,0.019477367401123047
ridge,heldout,neural,17,18,350,0.607861340045929,0.030023986473679543,0.0194857120513916
context_residual_mlp,heldout,erythroid,14,15,350,0.3056233823299408,0.03999340161681175,0.026329874992370605
context_residual_mlp,heldout,erythroid,17,18,350,0.08674663305282593,0.02996639907360077,0.08879625797271729
context_residual_mlp,heldout,mesoderm_muscle,14,15,350,0.16926605999469757,0.005896599497646093,0.01370382308959961
context_residual_mlp,heldout,mesoderm_muscle,17,18,350,0.4832141697406769,0.01869785785675049,0.011743903160095215
context_residual_mlp,heldout,neural,14,15,350,0.10284026712179184,0.003213387681171298,0.011357307434082031
context_residual_mlp,heldout,neural,17,18,350,0.6150267720222473,0.02444118820130825,0.014133930206298828
