split,system,src_stage,tgt_stage,pairs,src_cells_available,tgt_cells_available,target_pool_cells,pairing_method,cost_median,transport_entropy,row_mass_abs_error,col_mass_abs_error
train,erythroid,12,13,350,800,756,700,sinkhorn,67.86444091796875,10.919746879667523,3.1772341255089513e-09,6.706564866946049e-19
train,erythroid,13,14,350,756,800,700,sinkhorn,26.21579360961914,10.535836427439804,9.30003837036198e-08,6.811887363701784e-19
train,erythroid,15,16,350,800,800,700,sinkhorn,18.544200897216797,10.56371844020614,2.684909850414291e-05,6.765421556309548e-19
train,erythroid,16,17,350,800,800,700,sinkhorn,15.24652099609375,10.47900648676317,1.4359741921143963e-06,6.765421556309548e-19
train,erythroid,18,19,350,800,800,700,sinkhorn,19.56155776977539,10.698729669942978,2.857954863318581e-09,6.632219575118472e-19
train,mesoderm_muscle,12,13,350,800,800,700,sinkhorn,66.78701782226562,10.778449352154828,8.811098571513693e-06,6.499017593927396e-19
train,mesoderm_muscle,13,14,350,800,800,700,sinkhorn,21.618125915527344,10.444711635924802,3.933272319947423e-06,6.291470320908741e-19
train,mesoderm_muscle,15,16,350,800,800,700,sinkhorn,35.080718994140625,10.501655443961283,8.961120654335262e-06,6.508310755405842e-19
train,mesoderm_muscle,16,17,350,800,800,700,sinkhorn,51.07066345214844,10.458563156609582,3.4177918862494096e-07,6.60434009068313e-19
train,mesoderm_muscle,18,19,350,806,813,700,sinkhorn,73.23482513427734,10.474710487840193,9.19119304961098e-06,6.774714717787994e-19
train,neural,12,13,350,800,800,700,sinkhorn,50.22327423095703,10.84351797727247,6.065614860035024e-07,6.452551786535159e-19
train,neural,13,14,350,800,800,700,sinkhorn,18.308570861816406,10.517847601816461,1.3846613909361279e-06,6.251199954502137e-19
train,neural,15,16,350,800,800,700,sinkhorn,30.014434814453125,10.51049874030275,1.0952322620203578e-06,6.551678842305262e-19
train,neural,16,17,350,800,800,700,sinkhorn,48.54264831542969,10.448184507373828,1.487949492241709e-05,6.777812438280811e-19
train,neural,18,19,350,794,787,700,sinkhorn,115.91392517089844,10.390236705077964,9.142616967957072e-06,6.703467146453234e-19
heldout,erythroid,14,15,350,800,800,700,sinkhorn,20.641098022460938,10.490602280566812,1.7674865893271805e-05,6.62602413413284e-19
heldout,erythroid,17,18,350,800,800,700,sinkhorn,18.94291114807129,10.659420949935761,1.7391384176386915e-08,6.827375966165862e-19
heldout,mesoderm_muscle,14,15,350,800,800,700,sinkhorn,22.431407928466797,10.446723713809494,3.571997458141992e-06,6.749932953845469e-19
heldout,mesoderm_muscle,17,18,350,800,806,700,sinkhorn,71.29841613769531,10.470574928385204,8.686306485980552e-06,6.849060009615572e-19
heldout,neural,14,15,350,800,800,700,sinkhorn,18.167116165161133,10.503348628720996,8.707717572767016e-07,6.641512736596918e-19
heldout,neural,17,18,350,800,794,700,sinkhorn,85.25243377685547,10.405835747978664,5.864258835339523e-06,6.449454066042343e-19
