model,split,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
identity,heldout,erythroid,14,15,350,0.4591655731201172,0.0468376986682415,0.04735100269317627
identity,heldout,erythroid,17,18,350,0.09864610433578491,0.035752929747104645,0.06425416469573975
identity,heldout,mesoderm_muscle,14,15,350,0.20411278307437897,0.010434751398861408,0.02325129508972168
identity,heldout,mesoderm_muscle,17,18,350,0.4771892726421356,0.023466041311621666,0.01664412021636963
identity,heldout,neural,14,15,350,0.16524691879749298,0.004684729035943747,0.03003239631652832
identity,heldout,neural,17,18,350,0.6423550248146057,0.030740639194846153,0.01052713394165039
mean_shift,heldout,erythroid,14,15,350,0.47837725281715393,0.06604941934347153,0.06738066673278809
mean_shift,heldout,erythroid,17,18,350,0.1066228523850441,0.043729644268751144,0.07951760292053223
mean_shift,heldout,mesoderm_muscle,14,15,350,0.20573030412197113,0.012052255682647228,0.025226950645446777
mean_shift,heldout,mesoderm_muscle,17,18,350,0.4779161512851715,0.024193042889237404,0.01969778537750244
mean_shift,heldout,neural,14,15,350,0.16781063377857208,0.007248423993587494,0.03409731388092041
mean_shift,heldout,neural,17,18,350,0.6430923342704773,0.03147795423865318,0.011423707008361816
ridge,heldout,erythroid,14,15,350,0.4425067901611328,0.04494662955403328,0.04731929302215576
ridge,heldout,erythroid,17,18,350,0.08356045931577682,0.027873406186699867,0.11426162719726562
ridge,heldout,mesoderm_muscle,14,15,350,0.18658046424388885,0.007690114434808493,0.030817866325378418
ridge,heldout,mesoderm_muscle,17,18,350,0.42179736495018005,0.020003002136945724,0.021860599517822266
ridge,heldout,neural,14,15,350,0.09706610441207886,0.004628420807421207,0.022900819778442383
ridge,heldout,neural,17,18,350,0.6339710354804993,0.031156321987509727,0.02682352066040039
context_residual_mlp,heldout,erythroid,14,15,350,0.4126512110233307,0.0405866764485836,0.02936875820159912
context_residual_mlp,heldout,erythroid,17,18,350,0.06434345245361328,0.024149075150489807,0.07494747638702393
context_residual_mlp,heldout,mesoderm_muscle,14,15,350,0.15633359551429749,0.004741955082863569,0.01607513427734375
context_residual_mlp,heldout,mesoderm_muscle,17,18,350,0.38311925530433655,0.014590363018214703,0.009200692176818848
context_residual_mlp,heldout,neural,14,15,350,0.09966510534286499,0.0034851988311856985,0.014398455619812012
context_residual_mlp,heldout,neural,17,18,350,0.6660003662109375,0.026153987273573875,0.012429118156433105
