model,n_conditions,mean_pair_latent_mse,mean_centroid_latent_mse,mean_effect_cosine,mean_rbf_mmd
gene_context_ridge_residual,39,0.22087359695862502,0.010142170776350375,0.5339208936844116,0.06993141693946643
gene_context_mlp_residual,39,0.28175749553319734,0.010113726370036602,0.499674087533584,0.034124681582817666
global_mean_shift,39,0.7886369281854385,0.01180961528697457,0.17753564222202373,0.08160866071016361
identity,39,0.7889163165520399,0.01208901343246301,,0.08031942905523838
gene_context_shift,39,0.7975475367827293,0.020720218260509845,0.18931773938955024,0.09987558004183647
